BASE_DE,BASE_YEAR,BASE_MT,BASE_DAY,CTPRVN_CD,CTPRVN_NM,KLEA_VIEWNG_NMPR_CO,KBO_VIEWNG_NMPR_CO,KBL_VIEWNG_NMPR_CO,WKBL_VIEWNG_NMPR_CO,KOVO_VIEWNG_NMPR_CO,SPORTS_VIEWNG_NMPR_CO,KLEA_MATCH_CO,KBO_MATCH_CO,KBL_MATCH_CO,WKBL_MATCH_CO,KOVO_MATCH_CO,SPORTS_MATCH_CO,COLCT_DE,UPDT_DE
20230128,2023,1,28,48,경남,0.0,0.0,3394.0,0.0,0.0,3394.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230129,2023,1,29,31,울산,0.0,0.0,2406.0,0.0,0.0,2406.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230129,2023,1,29,41,경기,0.0,0.0,5039.0,0.0,0.0,5039.0,0.0,0.0,2.0,0.0,0.0,2.0,20250721,20250721
20230130,2023,1,30,41,경기,0.0,0.0,1350.0,0.0,0.0,1350.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230131,2023,1,31,41,경기,0.0,0.0,730.0,0.0,0.0,730.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230131,2023,1,31,45,전북,0.0,0.0,3463.0,0.0,0.0,3463.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230201,2023,2,1,11,서울,0.0,0.0,2619.0,0.0,0.0,2619.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230202,2023,2,2,11,서울,0.0,0.0,767.0,0.0,0.0,767.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230202,2023,2,2,41,경기,0.0,0.0,2025.0,0.0,0.0,2025.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230203,2023,2,3,48,경남,0.0,0.0,2015.0,0.0,0.0,2015.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230204,2023,2,4,27,대구,0.0,0.0,1927.0,0.0,0.0,1927.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230204,2023,2,4,31,울산,0.0,0.0,2174.0,0.0,0.0,2174.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230204,2023,2,4,41,경기,0.0,0.0,3044.0,0.0,0.0,3044.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230205,2023,2,5,11,서울,0.0,0.0,5008.0,0.0,0.0,5008.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230205,2023,2,5,31,울산,0.0,0.0,2116.0,0.0,0.0,2116.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230205,2023,2,5,45,전북,0.0,0.0,4011.0,0.0,0.0,4011.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230206,2023,2,6,41,경기,0.0,0.0,1305.0,0.0,0.0,1305.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230207,2023,2,7,11,서울,0.0,0.0,2635.0,0.0,0.0,2635.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230208,2023,2,8,27,대구,0.0,0.0,1045.0,0.0,0.0,1045.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230209,2023,2,9,41,경기,0.0,0.0,1687.0,0.0,0.0,1687.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
