날짜,시간,경기종류,장소,홈팀,홈점수,원정팀,원정점수,중계채널
2025-11-01,19:00,정규시즌,부산사직체육관,KCC,58,한국가스공사,80,"TVING"
2025-11-01,19:00,정규시즌,창원체육관,LG,66,SK,72,"IB SPORTS, TVING"
2025-11-02,14:00,정규시즌,수원 KT 아레나,KT,80,DB,78,"tvN SPORTS, TVING"
2025-11-02,14:00,정규시즌,울산동천체육관,현대모비스,71,정관장,72,"IB SPORTS, TVING"
2025-11-02,16:00,정규시즌,잠실실내체육관,삼성,78,소노,76,"tvN SPORTS, TVING"
2025-11-03,14:00,정규시즌,창원체육관,LG,73,현대모비스,78,"tvN SPORTS, TVING"
2025-11-03,14:00,정규시즌,대구체육관,한국가스공사,91,SK,76,"IB SPORTS, TVING"
2025-11-03,16:00,정규시즌,부산사직체육관,KCC,102,정관장,71,"tvN SPORTS, TVING"
2025-11-04,19:00,정규시즌,원주종합체육관,DB,64,소노,79,"tvN SPORTS, TVING"
2025-11-05,19:00,정규시즌,대구체육관,한국가스공사,82,KT,74,"tvN SPORTS, TVING"
2025-11-06,19:00,정규시즌,울산동천체육관,현대모비스,76,SK,95,"IB SPORTS, TVING"
2025-11-07,19:00,정규시즌,잠실실내체육관,삼성,80,LG,79,"IB SPORTS, TVING"
2025-11-07,19:00,정규시즌,안양 정관장 아레나,정관장,74,KT,73,"tvN SPORTS, TVING"
2025-11-08,19:00,정규시즌,울산동천체육관,현대모비스,79,DB,70,"tvN SPORTS, TVING"
2025-11-08,19:00,정규시즌,대구체육관,한국가스공사,99,소노,65,"IB SPORTS, TVING"
2025-11-09,14:00,정규시즌,수원 KT 아레나,KT,65,LG,59,"IB SPORTS, TVING"
2025-11-09,14:00,정규시즌,잠실학생체육관,SK,93,KCC,57,"tvN SPORTS, TVING"
2025-11-09,16:00,정규시즌,안양 정관장 아레나,정관장,102,삼성,59,"tvN SPORTS, TVING"
2025-11-10,14:00,정규시즌,원주종합체육관,DB,73,LG,51,"tvN SPORTS, TVING"
2025-11-10,14:00,정규시즌,대구체육관,한국가스공사,64,현대모비스,67,"IB SPORTS, TVING"
2025-11-10,16:00,정규시즌,잠실학생체육관,SK,91,소노,71,"tvN SPORTS, TVING"
2025-11-11,19:00,정규시즌,수원 KT 아레나,KT,69,정관장,58,"tvN SPORTS, TVING"
2025-11-12,19:00,정규시즌,원주종합체육관,DB,80,SK,88,"tvN SPORTS, TVING"
2025-11-13,19:00,정규시즌,고양 소노 아레나,소노,78,현대모비스,80,"tvN SPORTS, TVING"
2025-11-14,19:00,정규시즌,대구체육관,한국가스공사,64,DB,69,"tvN SPORTS, TVING"
2025-11-14,19:00,정규시즌,창원체육관,LG,76,KT,78,"IB SPORTS, TVING"
2025-11-21,13:00,D리그 1차,이천 LG 챔피언스파크,삼성,90,KT,81,"기타"
2025-11-21,15:00,D리그 1차,이천 LG 챔피언스파크,한국가스공사,93,현대모비스,98,"기타"
2025-11-22,13:00,D리그 1차,이천 LG 챔피언스파크,KCC,72,SK,111,"기타"
2025-11-22,15:00,D리그 1차,이천 LG 챔피언스파크,한국가스공사,81,LG,75,"기타"
2025-11-23,13:00,D리그 1차,이천 LG 챔피언스파크,KCC,74,KT,80,"기타"
2025-11-23,15:00,D리그 1차,이천 LG 챔피언스파크,LG,58,현대모비스,74,"기타"
2025-11-25,13:00,D리그 1차,이천 LG 챔피언스파크,KT,87,KCC,78,"기타"
2025-11-25,15:00,D리그 1차,이천 LG 챔피언스파크,현대모비스,57,한국가스공사,61,"기타"
2025-11-26,13:00,D리그 1차,이천 LG 챔피언스파크,KT,89,상무,121,"기타"
2025-11-26,15:00,D리그 1차,이천 LG 챔피언스파크,삼성,71,한국가스공사,75,"기타"
2025-11-27,19:00,정규시즌,부산사직체육관,KCC,84,현대모비스,81,"tvN SPORTS, TVING"
2025-11-27,19:00,정규시즌,창원체육관,LG,73,SK,78,"IB SPORTS, TVING"
2025-11-28,19:00,정규시즌,잠실실내체육관,삼성,71,KT,83,"IB SPORTS, TVING"
2025-11-28,19:00,정규시즌,원주종합체육관,DB,88,소노,78,"tvN SPORTS, TVING"
2025-11-29,19:00,정규시즌,잠실학생체육관,SK,69,한국가스공사,67,"IB SPORTS, TVING"
2025-11-29,19:00,정규시즌,안양 정관장 아레나,정관장,85,KCC,79,"tvN SPORTS, TVING"
2025-11-30,14:00,정규시즌,수원 KT 아레나,KT,73,현대모비스,85,"tvN SPORTS, TVING"
2025-11-30,14:00,정규시즌,고양 소노 아레나,소노,78,LG,86,"IB SPORTS, TVING"
2025-11-30,16:00,정규시즌,잠실실내체육관,삼성,66,DB,76,"tvN SPORTS, TVING"
