일자,시간,홈팀,홈점수,VS,원정점수,원정팀,구장,중계,비고
03.23(토),14:00,한화,2,vs,8,LG,잠실,K-2T,-
03.23(토),14:00,롯데,3,vs,5,SSG,문학,S-T,-
03.23(토),14:00,두산,3,vs,4,NC,창원,KN-T; SPO-T; SPO-2T,-
03.23(토),14:00,삼성,6,vs,2,KT,수원,SS-T; MS-T,-
03.23(토),14:00,키움,5,vs,7,KIA,광주,M-T,-
03.24(일),14:00,한화,8,vs,4,LG,잠실,SS-T,-
03.24(일),14:00,롯데,6,vs,7,SSG,문학,KN-T,-
03.24(일),14:00,두산,6,vs,3,NC,창원,SPO-T,-
03.24(일),14:00,삼성,11,vs,8,KT,수원,SPO-2T,-
03.24(일),14:00,키움,,vs,,KIA,광주,MS-T,우천취소
03.26(화),18:30,삼성,3,vs,4,LG,잠실,MS-T,-
03.26(화),18:30,한화,6,vs,0,SSG,문학,SS-T,-
03.26(화),18:30,키움,5,vs,10,NC,창원,SPO-2T,-
03.26(화),18:30,두산,8,vs,5,KT,수원,TVING,-
03.26(화),18:30,롯데,1,vs,2,KIA,광주,SPO-T,-
03.27(수),18:30,삼성,2,vs,2,LG,잠실,MS-T,-
03.27(수),18:30,한화,3,vs,1,SSG,문학,SS-T,-
03.27(수),18:30,키움,2,vs,6,NC,창원,SPO-2T,-
03.27(수),18:30,두산,11,vs,8,KT,수원,KN-T,-
03.27(수),18:30,롯데,2,vs,8,KIA,광주,SPO-T,-
03.28(목),18:30,삼성,1,vs,18,LG,잠실,MS-T,-
03.28(목),18:30,한화,10,vs,6,SSG,문학,SS-T,-
03.28(목),18:30,키움,,vs,,NC,창원,SPO-2T,우천취소
03.28(목),18:30,두산,7,vs,8,KT,수원,TVING,-
03.28(목),18:30,롯데,,vs,,KIA,광주,SPO-T,우천취소
03.29(금),18:30,KIA,4,vs,2,두산,잠실,SPO-2T,-
03.29(금),18:30,NC,1,vs,3,롯데,사직,SS-T,-
03.29(금),18:30,SSG,6,vs,4,삼성,대구,MS-T,-
03.29(금),18:30,LG,3,vs,0,키움,고척,TVING,-
03.29(금),18:30,KT,2,vs,3,한화,대전,SPO-T,-
03.30(토),14:00,KT,5,vs,8,한화,대전,S-T,-
03.30(토),17:00,KIA,0,vs,8,두산,잠실,SPO-2T,-
03.30(토),17:00,NC,8,vs,0,롯데,사직,SS-T,-
03.30(토),17:00,SSG,9,vs,6,삼성,대구,MS-T,-
03.30(토),17:00,LG,3,vs,8,키움,고척,SPO-T,-
03.31(일),14:00,KIA,9,vs,3,두산,잠실,SPO-2T,-
03.31(일),14:00,NC,8,vs,7,롯데,사직,SS-T,-
03.31(일),14:00,SSG,4,vs,3,삼성,대구,MS-T,-
03.31(일),14:00,LG,4,vs,8,키움,고척,TVING,-
03.31(일),14:00,KT,3,vs,14,한화,대전,SPO-T,-
