일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
04.02(토),14:00,한화,4,6,두산,잠실,MS-T; SPO-2T,-
04.02(토),14:00,SSG,4,0,NC,창원,KN-T; SS-T; SPO-T,-
04.02(토),14:00,삼성,1,4,KT,수원,S-T,-
04.02(토),14:00,LG,9,0,KIA,광주,M-T,-
04.02(토),14:00,롯데,7,2,키움,고척,K-2T,-
04.03(일),14:00,한화,0,1,두산,잠실,SS-T,-
04.03(일),14:00,SSG,4,1,NC,창원,KN-T,-
04.03(일),14:00,삼성,6,5,KT,수원,SPO-2T,-
04.03(일),14:00,LG,3,2,KIA,광주,MS-T; G-CMB,-
04.03(일),14:00,롯데,3,4,키움,고척,SPO-T,-
04.05(화),18:30,삼성,6,5,두산,잠실,SPO-T,-
04.05(화),18:30,롯데,5,1,NC,창원,MS-T,-
04.05(화),18:30,SSG,8,5,KT,수원,SS-T; 네이버; wavve; Seezn; U+프로야구; DAUM,-
04.05(화),18:30,한화,3,4,KIA,광주,KN-T,-
04.05(화),18:30,LG,8,4,키움,고척,SPO-2T,-
04.06(수),18:30,삼성,7,1,두산,잠실,SPO-T,-
04.06(수),18:30,롯데,0,5,NC,창원,MS-T,-
04.06(수),18:30,SSG,3,0,KT,수원,SS-T,-
04.06(수),18:30,한화,4,7,KIA,광주,KN-T,-
04.06(수),18:30,LG,2,1,키움,고척,SPO-2T,-
04.07(목),18:30,삼성,5,6,두산,잠실,SPO-T,-
04.07(목),18:30,롯데,2,1,NC,창원,MS-T,-
04.07(목),18:30,SSG,4,3,KT,수원,SS-T; 네이버; wavve; Seezn; U+프로야구; DAUM,-
04.07(목),18:30,한화,2,6,KIA,광주,KN-T,-
04.07(목),18:30,LG,6,0,키움,고척,SPO-2T,-
04.08(금),18:30,NC,4,1,LG,잠실,SPO-2T,-
04.08(금),18:30,KIA,0,3,SSG,문학,SS-T,-
04.08(금),18:30,두산,6,1,롯데,사직,KN-T,-
04.08(금),18:30,키움,1,0,삼성,대구,MS-T,-
04.08(금),18:30,KT,4,2,한화,대전,SPO-T,-
04.09(토),17:00,NC,6,7,LG,잠실,SPO-2T,-
04.09(토),17:00,KIA,5,9,SSG,문학,SS-T,-
04.09(토),17:00,두산,4,5,롯데,사직,KN-T,-
04.09(토),17:00,키움,3,0,삼성,대구,MS-T,-
04.09(토),17:00,KT,1,7,한화,대전,SPO-T,-
04.10(일),14:00,NC,3,5,LG,잠실,SPO-2T,-
04.10(일),14:00,KIA,2,11,SSG,문학,SS-T,-
04.10(일),14:00,두산,4,3,롯데,사직,KN-T,-
04.10(일),14:00,키움,6,5,삼성,대구,MS-T,-
04.10(일),14:00,KT,4,6,한화,대전,SPO-T,-
04.12(화),18:30,SSG,4,1,LG,잠실,KN-T,-
04.12(화),18:30,한화,0,2,삼성,대구,SS-T,-
04.12(화),18:30,두산,3,1,KT,수원,,-
04.12(화),18:30,롯데,5,6,KIA,광주,SPO-T; G-CMB,-
04.12(화),18:30,NC,0,10,키움,고척,MS-T,-
04.13(수),18:30,SSG,4,2,LG,잠실,KN-T,-
04.13(수),18:30,한화,1,12,삼성,대구,SS-T,-
04.13(수),18:30,두산,,,KT,수원,SPO-2T,우천취소
04.13(수),18:30,롯데,,,KIA,광주,SPO-T; G-CMB,우천취소
04.13(수),18:30,NC,4,5,키움,고척,MS-T,-
04.14(목),18:30,SSG,1,5,LG,잠실,KN-T,-
04.14(목),18:30,한화,3,8,삼성,대구,SS-T,-
