일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
08.01(수),18:30,LG,8,14,두산,잠실,KN-T,-
08.01(수),18:30,넥센,8,14,SK,문학,SPO-T,-
08.01(수),18:30,NC,9,5,삼성,대구,SS-T,-
08.01(수),18:30,롯데,1,8,KIA,광주,SPO-2T; G-CMB,-
08.01(수),18:30,KT,3,4,한화,대전,MS-T; D-CMB,-
08.02(목),18:30,LG,5,6,두산,잠실,KN-T,-
08.02(목),18:30,넥센,4,3,SK,문학,SPO-T,-
08.02(목),18:30,NC,2,3,삼성,대구,SS-T,-
08.02(목),18:30,롯데,9,6,KIA,광주,SPO-2T; G-CMB,-
08.02(목),18:30,KT,3,5,한화,대전,MS-T; D-CMB,-
08.04(토),18:00,SK,9,2,LG,잠실,KN-T,-
08.04(토),18:00,삼성,4,5,롯데,사직,MS-T,-
08.04(토),18:00,넥센,3,1,KT,수원,SS-T,-
08.04(토),18:00,두산,5,13,KIA,광주,SPO-T; G-CMB,-
08.04(토),18:00,NC,7,5,한화,대전,SPO-2T; D-CMB,-
08.05(일),18:00,SK,12,3,LG,잠실,KN-T,-
08.05(일),18:00,삼성,8,2,롯데,사직,MS-T,-
08.05(일),18:00,넥센,20,2,KT,수원,SS-T,-
08.05(일),18:00,두산,3,6,KIA,광주,SPO-T; G-CMB,-
08.05(일),18:00,NC,10,8,한화,대전,SPO-2T; D-CMB,-
08.07(화),18:30,KT,12,10,NC,마산,SPO-2T,-
08.07(화),18:30,한화,4,6,두산,잠실,MS-T,-
08.07(화),18:30,삼성,10,8,SK,문학,SPO-T,-
08.07(화),18:30,KIA,1,9,넥센,고척,KN-T,-
08.07(화),18:30,LG,3,4,롯데,울산,SS-T,-
08.08(수),18:30,KT,3,7,NC,마산,SPO-2T,-
08.08(수),18:30,한화,8,2,두산,잠실,MS-T,-
08.08(수),18:30,삼성,0,12,SK,문학,SPO-T,-
08.08(수),18:30,KIA,6,7,넥센,고척,KN-T,-
08.08(수),18:30,LG,1,2,롯데,울산,SS-T,-
08.09(목),18:30,SK,3,6,NC,마산,SPO-2T,-
08.09(목),18:30,삼성,9,6,LG,잠실,SS-T,-
08.09(목),18:30,두산,4,2,KT,수원,SPO-T,-
08.09(목),18:30,롯데,11,4,KIA,광주,MS-T; G-CMB,-
08.09(목),18:30,넥센,16,5,한화,청주,KN-T,-
08.10(금),18:30,SK,12,8,NC,마산,SPO-2T,-
08.10(금),18:30,삼성,10,12,LG,잠실,SS-T,-
08.10(금),18:30,두산,1,7,KT,수원,SPO-T,-
08.10(금),18:30,롯데,,,KIA,광주,MS-T; G-CMB,우천취소
08.10(금),18:30,넥센,9,4,한화,청주,KN-T,-
08.11(토),18:00,롯데,2,5,두산,잠실,SPO-T,-
08.11(토),18:00,KIA,18,4,SK,문학,KN-T,-
08.11(토),18:00,NC,7,1,삼성,대구,SS-T,-
08.11(토),18:00,LG,8,13,넥센,고척,SPO-2T,-
08.11(토),18:00,KT,3,5,한화,대전,MS-T; D-CMB,-
08.12(일),18:00,롯데,12,11,두산,잠실,SPO-T,-
08.12(일),18:00,KIA,21,8,SK,문학,KN-T,-
08.12(일),18:00,NC,2,9,삼성,대구,SS-T,-
08.12(일),18:00,LG,3,11,넥센,고척,SPO-2T,-
08.12(일),18:00,KT,4,5,한화,대전,MS-T; D-CMB,-
08.14(화),18:30,SK,3,6,두산,잠실,SPO-T,-
08.14(화),18:30,한화,4,9,롯데,사직,MS-T,-
08.14(화),18:30,넥센,11,10,삼성,대구,SS-T,-
08.14(화),18:30,NC,0,10,KT,수원,SPO-2T,-
08.14(화),18:30,LG,8,14,KIA,광주,KN-T; G-CMB,-
08.15(수),18:00,SK,12,2,두산,잠실,SPO-T,-
08.15(수),18:00,한화,,,롯데,사직,MS-T,우천취소
08.15(수),18:00,넥센,3,2,삼성,대구,SS-T,-
08.15(수),18:00,NC,13,9,KT,수원,SPO-2T,-
08.15(수),18:00,LG,13,4,KIA,광주,KN-T; G-CMB,-
08.16(목),18:30,넥센,2,8,두산,잠실,SPO-2T,-
08.16(목),18:30,LG,14,3,SK,문학,SPO-T,-
08.16(목),18:30,KIA,6,8,롯데,사직,SS-T,-
08.16(목),18:30,한화,2,5,삼성,대구,KN-T,-
08.16(목),18:30,NC,3,5,KT,수원,MS-T,-
