순위,시즌,대회,대회명,경기번호,일자,홈팀,상대,경기결과,경기장,관중수,원정팀,비고
1,2023,K리그1,하나원큐 K리그1 2023,32,2023/04/08,서울,대구,3 : 0,서울 월드컵,"45,007","1,977",주말
2,2023,K리그1,하나원큐 K리그1 2023,62,2023/05/05,서울,전북,1 : 1,서울 월드컵,"37,008","4,909",
3,2023,K리그1,하나원큐 K리그1 2023,221,2023/11/25,서울,수원,0 : 1,서울 월드컵,"36,007","7,996",주말
4,2023,K리그1,하나원큐 K리그1 2023,195,2023/10/08,서울,전북,0 : 2,서울 월드컵,"33,103","4,405",주말
5,2023,K리그1,하나원큐 K리그1 2023,159,2023/08/19,울산,전북,1 : 0,울산 문수,"30,756","2,564",주말
6,2023,K리그1,하나원큐 K리그1 2023,43,2023/04/22,서울,수원,3 : 1,서울 월드컵,"30,186","4,139",주말
7,2023,K리그1,하나원큐 K리그1 2023,226,2023/12/03,울산,전북,1 : 0,울산 문수,"28,638","1,808",주말
8,2023,K리그1,하나원큐 K리그1 2023,1,2023/02/25,울산,전북,2 : 1,울산 문수,"28,039","2,037",주말
9,2023,K리그1,하나원큐 K리그1 2023,91,2023/06/03,전북,울산,2 : 0,전주 월드컵,"27,797","2,979",주말
10,2023,K리그1,하나원큐 K리그1 2023,167,2023/08/27,서울,울산,2 : 2,서울 월드컵,"27,051","5,000",주말
11,2023,K리그1,하나원큐 K리그1 2023,76,2023/05/14,울산,서울,3 : 2,울산 문수,"26,004","1,311",주말
12,2023,K리그1,하나원큐 K리그1 2023,225,2023/12/02,수원,강원,0 : 0,수원 월드컵,"24,932","3,398",주말
13,2023,K리그1,하나원큐 K리그1 2023,171,2023/09/02,수원,서울,0 : 1,수원 월드컵,"22,882","3,491",주말
14,2023,K리그1,하나원큐 K리그1 2023,117,2023/07/01,서울,대전,0 : 0,서울 월드컵,"22,637","2,232",주말
15,2023,K리그1,하나원큐 K리그1 2023,2,2023/02/25,서울,인천,2 : 1,서울 월드컵,"22,204","3,216",주말
16,2023,K리그1,하나원큐 K리그1 2023,125,2023/07/08,전북,서울,2 : 1,전주 월드컵,"21,139","1,245",주말
17,2023,K리그1,하나원큐 K리그1 2023,131,2023/07/12,대전,전북,2 : 2,대전 월드컵,"20,592","2,511",
18,2023,K리그1,하나원큐 K리그1 2023,16,2023/03/12,서울,울산,1 : 2,서울 월드컵,"20,549","2,000",주말
19,2023,K리그1,하나원큐 K리그1 2023,80,2023/05/20,서울,제주,1 : 1,서울 월드컵,"20,338",852,주말
20,2023,K리그1,하나원큐 K리그1 2023,104,2023/06/10,울산,제주,5 : 1,울산 문수,"20,190","1,883",주말
