MATCH_SEQ_NO,HOME_TEAM_NM,LEA_NM,STDM_NM,MATCH_DE,SPORTS_VIEWNG_NMPR_CO
106,SK,정규경기,잠실학생,20250328,3307.0
107,SK,정규경기,잠실학생,20250406,4005.0
108,SK,정규경기,잠실학생,20250408,3122.0
109,SK,플레이오프,잠실학생,20250423,4010.0
110,SK,플레이오프,잠실학생,20250425,4870.0
111,SK,챔피언결정전,잠실학생,20250505,5236.0
112,SK,챔피언결정전,잠실학생,20250507,5224.0
113,SK,챔피언결정전,잠실학생,20250513,5214.0
114,SK,챔피언결정전,잠실학생,20250517,5240.0
115,LG,정규경기,창원체육관,20241019,4757.0
116,LG,정규경기,창원체육관,20241021,2159.0
117,LG,정규경기,창원체육관,20241024,1845.0
118,LG,정규경기,창원체육관,20241101,2738.0
119,LG,정규경기,창원체육관,20241103,4068.0
120,LG,정규경기,창원체육관,20241114,2436.0
121,LG,정규경기,창원체육관,20241127,2392.0
122,LG,정규경기,창원체육관,20241207,3754.0
123,LG,정규경기,창원체육관,20241217,2394.0
124,LG,정규경기,창원체육관,20241220,3133.0
125,LG,정규경기,창원체육관,20241228,4950.0
126,LG,정규경기,창원체육관,20241229,4314.0
127,LG,정규경기,창원체육관,20250101,4363.0
128,LG,정규경기,창원체육관,20250105,3930.0
129,LG,정규경기,창원체육관,20250115,2340.0
130,LG,정규경기,창원체육관,20250123,2173.0
131,LG,정규경기,창원체육관,20250125,4156.0
132,LG,정규경기,창원체육관,20250130,4950.0
133,LG,정규경기,창원체육관,20250206,3146.0
134,LG,정규경기,창원체육관,20250227,3212.0
135,LG,정규경기,창원체육관,20250301,4697.0
136,LG,정규경기,창원체육관,20250309,3983.0
137,LG,정규경기,창원체육관,20250314,2743.0
138,LG,정규경기,창원체육관,20250320,3190.0
139,LG,정규경기,창원체육관,20250322,3363.0
140,LG,정규경기,창원체육관,20250323,4153.0
141,LG,정규경기,창원체육관,20250403,3063.0
142,LG,플레이오프,창원체육관,20250424,4501.0
143,LG,플레이오프,창원체육관,20250426,4950.0
144,LG,챔피언결정전,창원체육관,20250509,4950.0
145,LG,챔피언결정전,창원체육관,20250511,4950.0
146,LG,챔피언결정전,창원체육관,20250515,4950.0
147,KGC,정규경기,안양 정관장 아레나,20241026,3153.0
148,KGC,정규경기,안양 정관장 아레나,20241030,1132.0
149,KGC,정규경기,안양 정관장 아레나,20241107,1203.0
150,KGC,정규경기,안양 정관장 아레나,20241109,2156.0
151,KGC,정규경기,안양 정관장 아레나,20241129,2538.0
152,KGC,정규경기,안양 정관장 아레나,20241206,1875.0
153,KGC,정규경기,안양 정관장 아레나,20241211,1416.0
154,KGC,정규경기,안양 정관장 아레나,20241213,1609.0
155,KGC,정규경기,안양 정관장 아레나,20241215,2505.0
156,KGC,정규경기,안양 정관장 아레나,20241221,2546.0
157,KGC,정규경기,안양 정관장 아레나,20241222,2856.0
158,KGC,정규경기,안양 정관장 아레나,20241228,3215.0
159,KGC,정규경기,안양 정관장 아레나,20250101,2185.0
160,KGC,정규경기,안양 정관장 아레나,20250105,1826.0
161,KGC,정규경기,안양 정관장 아레나,20250111,1820.0
162,KGC,정규경기,안양 정관장 아레나,20250112,1993.0
163,KGC,정규경기,안양 정관장 아레나,20250122,1443.0
164,KGC,정규경기,안양 정관장 아레나,20250201,3727.0
165,KGC,정규경기,안양 정관장 아레나,20250210,2580.0
166,KGC,정규경기,안양 정관장 아레나,20250226,2355.0
167,KGC,정규경기,안양 정관장 아레나,20250308,3365.0
168,KGC,정규경기,안양 정관장 아레나,20250310,1611.0
169,KGC,정규경기,안양 정관장 아레나,20250321,1617.0
170,KGC,정규경기,안양 정관장 아레나,20250323,2831.0
171,KGC,정규경기,안양 정관장 아레나,20250325,1226.0
172,KGC,정규경기,안양 정관장 아레나,20250331,1653.0
173,KGC,정규경기,안양 정관장 아레나,20250405,2874.0
174,KGC,플레이오프,안양 정관장 아레나,20250417,3052.0
175,KCC,정규경기,부산사직,20241019,6661.0
176,KCC,정규경기,부산사직,20241023,2184.0
177,KCC,정규경기,부산사직,20241025,2615.0
178,KCC,정규경기,부산사직,20241101,2526.0
179,KCC,정규경기,부산사직,20241103,3897.0
180,KCC,정규경기,부산사직,20241127,3743.0
181,KCC,정규경기,부산사직,20241210,3036.0
182,KCC,정규경기,부산사직,20241214,4583.0
183,KCC,정규경기,부산사직,20241215,4603.0
184,KCC,정규경기,부산사직,20241222,4096.0
185,KCC,정규경기,부산사직,20241225,4283.0
186,KCC,정규경기,부산사직,20241227,2638.0
187,KCC,정규경기,부산사직,20241229,3737.0
188,KCC,정규경기,부산사직,20250104,3610.0
189,KCC,정규경기,부산사직,20250113,3348.0
190,KCC,정규경기,부산사직,20250125,3803.0
191,KCC,정규경기,부산사직,20250126,4019.0
192,KCC,정규경기,부산사직,20250202,4875.0
193,KCC,정규경기,부산사직,20250204,2050.0
194,KCC,정규경기,부산사직,20250208,4804.0
195,KCC,정규경기,부산사직,20250226,2086.0
196,KCC,정규경기,부산사직,20250228,2358.0
197,KCC,정규경기,부산사직,20250313,1595.0
198,KCC,정규경기,부산사직,20250328,1368.0
199,KCC,정규경기,부산사직,20250330,3238.0
200,KCC,정규경기,부산사직,20250402,1278.0
201,KCC,정규경기,부산사직,20250404,1356.0
202,KT,정규경기,수원 KT 아레나,20241020,3650.0
203,KT,정규경기,수원 KT 아레나,20241025,1787.0
204,KT,정규경기,수원 KT 아레나,20241027,2847.0
205,KT,정규경기,수원 KT 아레나,20241102,2200.0
206,KT,정규경기,수원 KT 아레나,20241109,2425.0
207,KT,정규경기,수원 KT 아레나,20241111,1840.0
208,KT,정규경기,수원 KT 아레나,20241130,2779.0
209,KT,정규경기,수원 KT 아레나,20241208,3136.0
210,KT,정규경기,수원 KT 아레나,20241214,2356.0
211,KT,정규경기,수원 KT 아레나,20241220,1642.0
212,KT,정규경기,수원 KT 아레나,20241224,2155.0
213,KT,정규경기,수원 KT 아레나,20250101,3650.0
214,KT,정규경기,수원 KT 아레나,20250103,1512.0
215,KT,정규경기,수원 KT 아레나,20250111,2642.0
216,KT,정규경기,수원 KT 아레나,20250113,1536.0
217,KT,정규경기,수원 KT 아레나,20250122,1640.0
218,KT,정규경기,수원 KT 아레나,20250124,1592.0
219,KT,정규경기,수원 KT 아레나,20250131,2082.0
220,KT,정규경기,수원 KT 아레나,20250208,3193.0
221,KT,정규경기,수원 KT 아레나,20250209,3650.0
222,KT,정규경기,수원 KT 아레나,20250304,1218.0
223,KT,정규경기,수원 KT 아레나,20250313,1078.0
224,KT,정규경기,수원 KT 아레나,20250316,3018.0
225,KT,정규경기,수원 KT 아레나,20250319,1397.0
226,KT,정규경기,수원 KT 아레나,20250327,1380.0
227,KT,정규경기,수원 KT 아레나,20250329,2765.0
228,KT,정규경기,수원 KT 아레나,20250408,2034.0
229,KT,플레이오프,수원 KT 아레나,20250412,2410.0
230,KT,플레이오프,수원 KT 아레나,20250414,1579.0
231,KT,플레이오프,수원 KT 아레나,20250420,3650.0
232,KT,플레이오프,수원 KT 아레나,20250427,3650.0
233,KT,플레이오프,수원 KT 아레나,20250429,2311.0
234,한국가스공사,정규경기,대구,20241026,2883.0
235,한국가스공사,정규경기,대구,20241103,2791.0
236,한국가스공사,정규경기,대구,20241105,2111.0
237,한국가스공사,정규경기,대구,20241108,2325.0
238,한국가스공사,정규경기,대구,20241110,3472.0
239,한국가스공사,정규경기,대구,20241114,2435.0
240,한국가스공사,정규경기,대구,20241201,3429.0
241,한국가스공사,정규경기,대구,20241203,1614.0
242,한국가스공사,정규경기,대구,20241205,1534.0
243,한국가스공사,정규경기,대구,20241209,1616.0
244,한국가스공사,정규경기,대구,20241212,2479.0
245,한국가스공사,정규경기,대구,20241226,2405.0
246,한국가스공사,정규경기,대구,20241228,3429.0
247,한국가스공사,정규경기,대구,20250110,2391.0
248,한국가스공사,정규경기,대구,20250116,2081.0
249,한국가스공사,정규경기,대구,20250128,3429.0
250,한국가스공사,정규경기,대구,20250201,3252.0
251,한국가스공사,정규경기,대구,20250202,3152.0
252,한국가스공사,정규경기,대구,20250209,3475.0
253,한국가스공사,정규경기,대구,20250307,2063.0
254,한국가스공사,정규경기,대구,20250312,1404.0
255,한국가스공사,정규경기,대구,20250315,3076.0
256,한국가스공사,정규경기,대구,20250317,1203.0
257,한국가스공사,정규경기,대구,20250322,2207.0
258,한국가스공사,정규경기,대구,20250330,2399.0
259,한국가스공사,정규경기,대구,20250405,2174.0
260,한국가스공사,정규경기,대구,20250408,1709.0
261,한국가스공사,플레이오프,대구,20250416,2646.0
262,한국가스공사,플레이오프,대구,20250418,2780.0
263,현대모비스,정규경기,울산동천,20241020,4756.0
264,현대모비스,정규경기,울산동천,20241102,2467.0
265,현대모비스,정규경기,울산동천,20241106,2477.0
266,현대모비스,정규경기,울산동천,20241108,1758.0
267,현대모비스,정규경기,울산동천,20241205,1711.0
268,현대모비스,정규경기,울산동천,20241207,2516.0
269,현대모비스,정규경기,울산동천,20241208,3604.0
270,현대모비스,정규경기,울산동천,20241212,1599.0
271,현대모비스,정규경기,울산동천,20241219,1828.0
272,현대모비스,정규경기,울산동천,20241229,3277.0
273,현대모비스,정규경기,울산동천,20241231,4806.0
274,현대모비스,정규경기,울산동천,20250104,2546.0
275,현대모비스,정규경기,울산동천,20250108,1537.0
276,현대모비스,정규경기,울산동천,20250123,2432.0
277,현대모비스,정규경기,울산동천,20250126,3684.0
278,현대모비스,정규경기,울산동천,20250130,3789.0
279,현대모비스,정규경기,울산동천,20250207,2248.0
280,현대모비스,정규경기,울산동천,20250228,2517.0
281,현대모비스,정규경기,울산동천,20250302,3008.0
282,현대모비스,정규경기,울산동천,20250306,1120.0
283,현대모비스,정규경기,울산동천,20250311,1133.0
284,현대모비스,정규경기,울산동천,20250316,2846.0
285,현대모비스,정규경기,울산동천,20250318,1144.0
286,현대모비스,정규경기,울산동천,20250329,1681.0
287,현대모비스,정규경기,울산동천,20250403,1200.0
288,현대모비스,정규경기,울산동천,20250405,2159.0
289,현대모비스,정규경기,울산동천,20250406,1750.0
290,현대모비스,플레이오프,울산동천,20250413,3813.0
291,현대모비스,플레이오프,울산동천,20250415,2278.0
292,현대모비스,플레이오프,울산동천,20250428,4319.0
293,DB,정규경기,원주종합,20231028,4363.0
294,DB,정규경기,원주종합,20231107,2054.0
295,DB,정규경기,원주종합,20231110,2511.0
296,DB,정규경기,원주종합,20231112,3420.0
297,DB,정규경기,원주종합,20231114,2270.0
298,DB,정규경기,원주종합,20231116,2039.0
299,DB,정규경기,원주종합,20231118,3523.0
300,DB,정규경기,원주종합,20231202,4042.0
301,DB,정규경기,원주종합,20231204,2091.0
302,DB,정규경기,원주종합,20231208,4339.0
303,DB,정규경기,원주종합,20231210,3179.0
304,DB,정규경기,원주종합,20231212,2265.0
305,DB,정규경기,원주종합,20231217,3641.0
306,DB,정규경기,원주종합,20231225,4358.0
307,DB,정규경기,원주종합,20231229,3327.0
308,DB,정규경기,원주종합,20240102,2287.0
309,DB,정규경기,원주종합,20240108,3008.0
310,DB,정규경기,원주종합,20240121,4394.0
311,DB,정규경기,원주종합,20240123,2653.0
312,DB,정규경기,원주종합,20240211,3850.0
313,DB,정규경기,원주종합,20240213,3885.0
314,DB,정규경기,원주종합,20240302,3402.0
315,DB,정규경기,원주종합,20240309,3797.0
316,DB,정규경기,원주종합,20240314,3499.0
317,DB,정규경기,원주종합,20240323,2358.0
318,DB,정규경기,원주종합,20240324,2008.0
319,DB,정규경기,원주종합,20240331,3071.0
320,DB,플레이오프,원주종합,20240415,3868.0
321,DB,플레이오프,원주종합,20240417,3489.0
322,삼성,정규경기,잠실실내,20231027,1696.0
323,삼성,정규경기,잠실실내,20231029,2591.0
324,삼성,정규경기,잠실실내,20231031,1065.0
325,삼성,정규경기,잠실실내,20231102,1046.0
326,삼성,정규경기,잠실실내,20231104,2218.0
327,삼성,정규경기,잠실실내,20231111,3475.0
328,삼성,정규경기,잠실실내,20231114,1156.0
329,삼성,정규경기,잠실실내,20231123,1062.0
330,삼성,정규경기,잠실실내,20231125,2575.0
