일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
08.02(화),18:30,LG,3,8,두산,잠실,,-
08.02(화),18:30,KIA,3,0,현대,수원,,-
08.03(수),18:30,한화,6,1,롯데,마산,,-
08.03(수),18:30,SK,9,0,삼성,시민,,-
08.04(목),18:30,한화,1,0,롯데,마산,,-
08.04(목),18:30,SK,5,1,삼성,시민,,-
08.04(목),18:30,LG,3,6,두산,잠실,,-
08.04(목),18:30,KIA,4,5,현대,수원,,-
08.05(금),18:30,SK,2,1,KIA,무등,,-
08.05(금),18:30,삼성,3,7,LG,잠실,,-
08.05(금),18:30,롯데,1,10,현대,수원,,-
08.05(금),18:30,두산,12,6,한화,대전,,-
08.06(토),18:30,SK,9,6,KIA,무등,,-
08.06(토),18:30,삼성,1,4,LG,잠실,,-
08.07(일),17:00,SK,5,3,KIA,무등,,-
08.07(일),17:00,삼성,4,0,LG,잠실,,-
08.07(일),17:00,롯데,4,4,현대,수원,,-
08.07(일),17:00,두산,8,3,한화,대전,,-
08.09(화),18:30,현대,0,2,두산,잠실,,-
08.09(화),18:30,LG,3,7,SK,문학,,-
08.09(화),18:30,KIA,0,7,롯데,사직,,-
08.09(화),18:30,삼성,7,4,한화,대전,,-
08.10(수),18:30,KIA,4,6,롯데,사직,,-
08.11(목),18:30,현대,9,3,두산,잠실,,-
08.11(목),18:30,LG,1,4,SK,문학,,-
08.11(목),18:30,KIA,1,2,롯데,사직,,-
08.13(토),18:30,LG,8,10,KIA,무등,,-
08.13(토),18:30,롯데,3,4,삼성,시민,,-
08.13(토),18:30,SK,4,1,두산,잠실,,-
08.13(토),18:30,한화,8,5,현대,수원,,-
08.14(일),17:00,LG,4,6,KIA,무등,,-
08.14(일),17:00,롯데,0,1,삼성,시민,,-
08.14(일),17:00,SK,3,8,두산,잠실,,-
08.14(일),17:00,한화,7,1,현대,수원,,-
08.15(월),17:00,LG,4,6,KIA,무등,,-
08.15(월),17:00,SK,3,4,두산,잠실,,-
08.15(월),17:00,한화,7,5,현대,수원,,-
08.16(화),18:30,두산,2,2,삼성,시민,,-
08.16(화),18:30,현대,0,4,LG,잠실,,-
08.16(화),18:30,롯데,4,5,SK,문학,,-
08.16(화),18:30,KIA,11,13,한화,대전,,-
08.17(수),18:30,두산,4,8,삼성,시민,,-
08.17(수),18:30,현대,7,4,LG,잠실,,-
08.17(수),18:30,롯데,3,6,SK,문학,,-
08.18(목),18:30,현대,5,9,LG,잠실,,-
08.20(토),18:30,삼성,1,5,KIA,무등,,-
08.20(토),18:30,한화,13,4,LG,잠실,,-
08.20(토),18:30,두산,6,1,롯데,사직,,-
08.20(토),18:30,SK,5,0,현대,수원,,-
08.21(일),14:00,한화,8,6,LG,잠실,,-
08.21(일),14:00,두산,10,1,롯데,사직,,-
08.21(일),14:00,SK,10,5,현대,수원,,-
08.23(화),18:30,LG,8,9,삼성,시민,,-
08.23(화),18:30,KIA,2,9,두산,잠실,,-
08.23(화),18:30,한화,1,2,SK,문학,,-
08.23(화),18:30,현대,0,4,롯데,사직,,-
08.24(수),18:30,KIA,0,2,두산,잠실,,-
08.25(목),18:30,LG,0,1,삼성,시민,,-
08.25(목),18:30,현대,3,6,롯데,사직,,-
08.26(금),18:30,현대,1,7,KIA,무등,,-
08.26(금),18:30,롯데,3,5,두산,잠실,,-
08.26(금),18:30,삼성,1,1,SK,문학,,-
08.26(금),18:30,LG,6,4,한화,대전,,-
08.27(토),18:30,현대,10,0,KIA,무등,,-
08.27(토),18:30,롯데,2,1,두산,잠실,,-
08.27(토),18:30,삼성,3,4,SK,문학,,-
08.27(토),18:30,LG,7,4,한화,대전,,-
08.28(일),14:00,현대,4,5,KIA,무등,,-
08.28(일),14:00,롯데,5,4,두산,잠실,,-
08.28(일),14:00,삼성,2,1,SK,문학,,-
08.28(일),14:00,LG,4,9,한화,대전,,-
08.30(화),18:30,한화,4,3,KIA,무등,,-
08.30(화),18:30,롯데,3,5,삼성,시민,,-
08.30(화),18:30,LG,4,7,두산,잠실,,-
08.30(화),18:30,SK,10,2,현대,수원,,-
08.31(수),18:30,한화,5,3,KIA,무등,,-
08.31(수),18:30,롯데,3,7,삼성,시민,,-
08.31(수),18:30,LG,3,2,두산,잠실,,-
08.31(수),18:30,SK,2,3,현대,수원,,-
