일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
06.01(수),18:30,현대,2,4,두산,잠실,,-
06.02(목),18:30,LG,3,6,KIA,무등,,-
06.02(목),18:30,롯데,8,1,삼성,시민,,-
06.02(목),18:30,현대,3,4,두산,잠실,,-
06.02(목),18:30,한화,2,3,SK,문학,,-
06.04(토),18:30,삼성,8,5,KIA,무등,,-
06.04(토),18:30,SK,7,3,LG,잠실,,-
06.04(토),18:30,롯데,13,3,현대,수원,,-
06.04(토),18:30,두산,3,6,한화,청주,,-
06.05(일),14:00,삼성,9,3,KIA,무등,,-
06.05(일),14:00,SK,2,5,LG,잠실,,-
06.05(일),14:00,롯데,0,3,현대,수원,,-
06.05(일),14:00,두산,1,5,한화,청주,,-
06.06(월),14:00,삼성,12,4,KIA,무등,,-
06.06(월),14:00,SK,4,1,LG,잠실,,-
06.06(월),14:00,롯데,6,8,현대,수원,,-
06.06(월),14:00,두산,4,8,한화,청주,,-
06.07(화),18:30,두산,14,1,삼성,시민,,-
06.07(화),18:30,현대,4,5,LG,잠실,,-
06.07(화),18:30,KIA,5,3,SK,문학,,-
06.07(화),18:30,한화,9,1,롯데,사직,,-
06.08(수),18:30,두산,8,2,삼성,시민,,-
06.08(수),18:30,현대,5,1,LG,잠실,,-
06.08(수),18:30,KIA,4,5,SK,문학,,-
06.08(수),18:30,한화,3,1,롯데,사직,,-
06.09(목),18:30,두산,11,3,삼성,시민,,-
06.09(목),18:30,현대,1,2,LG,잠실,,-
06.09(목),18:30,KIA,6,1,SK,문학,,-
06.09(목),18:30,한화,4,2,롯데,사직,,-
06.10(금),18:30,KIA,2,5,두산,잠실,,-
06.10(금),18:30,롯데,3,5,SK,문학,,-
06.10(금),18:30,삼성,4,9,현대,수원,,-
06.11(토),18:30,KIA,5,2,두산,잠실,,-
06.11(토),18:30,롯데,2,7,SK,문학,,-
06.11(토),18:30,삼성,3,2,현대,수원,,-
06.11(토),18:30,LG,1,3,한화,대전,,-
06.12(일),14:00,KIA,1,4,두산,잠실,,-
06.12(일),14:00,롯데,2,8,SK,문학,,-
06.12(일),14:00,삼성,4,3,현대,수원,,-
06.12(일),14:00,LG,5,7,한화,대전,,-
06.14(화),18:00,두산,2,1,롯데,마산,,-
06.14(화),18:30,한화,9,8,KIA,무등,,-
06.14(화),18:30,SK,5,8,현대,수원,,-
06.15(수),18:30,한화,1,8,KIA,무등,,-
06.15(수),18:30,두산,1,10,롯데,마산,,-
06.15(수),18:30,삼성,1,8,LG,잠실,,-
06.15(수),18:30,SK,3,5,현대,수원,,-
06.16(목),18:30,한화,4,6,KIA,무등,,-
06.16(목),18:30,두산,8,1,롯데,마산,,-
06.16(목),18:30,삼성,5,2,LG,잠실,,-
06.16(목),18:30,SK,5,4,현대,수원,,-
06.17(금),18:30,현대,9,1,KIA,군산,,-
06.17(금),18:30,SK,3,3,삼성,시민,,-
06.17(금),18:30,한화,5,0,두산,잠실,,-
06.17(금),18:30,LG,1,0,롯데,사직,,-
06.18(토),18:30,현대,3,1,KIA,군산,,-
06.18(토),18:30,SK,9,3,삼성,시민,,-
06.18(토),18:30,한화,0,1,두산,잠실,,-
06.18(토),18:30,LG,2,9,롯데,사직,,-
06.19(일),14:00,현대,4,5,KIA,군산,,-
06.19(일),14:00,SK,10,3,삼성,시민,,-
06.19(일),14:00,한화,2,4,두산,잠실,,-
06.19(일),14:00,LG,7,6,롯데,사직,,-
06.21(화),18:30,현대,0,12,삼성,시민,,-
06.21(화),18:30,KIA,13,8,LG,잠실,,-
06.21(화),18:30,두산,1,4,SK,문학,,-
06.21(화),18:30,롯데,3,0,한화,대전,,-
06.22(수),18:30,현대,5,3,삼성,시민,,-
06.22(수),18:30,KIA,5,3,LG,잠실,,-
06.22(수),18:30,두산,2,2,SK,문학,,-
06.22(수),18:30,롯데,6,8,한화,대전,,-
06.23(목),18:30,현대,4,5,삼성,시민,,-
06.23(목),18:30,KIA,4,7,LG,잠실,,-
06.23(목),18:30,두산,4,5,SK,문학,,-
06.23(목),18:30,롯데,6,7,한화,대전,,-
06.24(금),18:30,한화,7,8,LG,잠실,,-
06.24(금),18:30,삼성,7,5,SK,문학,,-
06.24(금),18:30,KIA,1,0,롯데,사직,,-
06.24(금),18:30,두산,15,4,현대,수원,,-
06.25(토),18:30,한화,3,10,LG,잠실,,-
06.25(토),18:30,삼성,2,5,SK,문학,,-
06.25(토),18:30,KIA,7,5,롯데,사직,,-
06.25(토),18:30,두산,11,4,현대,수원,,-
06.26(일),14:00,한화,5,15,LG,잠실,,-
06.26(일),14:00,삼성,2,9,SK,문학,,-
06.26(일),14:00,KIA,6,8,롯데,사직,,-
06.26(일),14:00,두산,4,0,현대,수원,,-
06.28(화),18:30,롯데,8,4,두산,잠실,,-
06.28(화),18:30,LG,2,5,현대,수원,,-
06.28(화),18:30,삼성,3,4,한화,대전,,-
06.29(수),18:30,SK,7,6,KIA,무등,,-
06.29(수),18:30,삼성,3,7,한화,대전,,-
06.30(목),18:30,SK,2,4,KIA,무등,,-
06.30(목),18:30,롯데,3,1,두산,잠실,,-
06.30(목),18:30,LG,6,4,현대,수원,,-
06.30(목),18:30,삼성,2,3,한화,대전,,-
