날짜,시간,경기종류,장소,홈팀,홈점수,원정팀,원정점수,중계채널
2025-02-01,19:00,정규시즌,수원 KT 아레나,KT,98,한국가스공사,87,""
2025-02-01,19:00,정규시즌,고양 소노 아레나,소노,77,LG,80,""
2025-02-02,19:00,정규시즌,울산동천체육관,현대모비스,82,DB,91,""
2025-02-02,19:00,정규시즌,부산사직체육관,KCC,81,정관장,75,""
2025-02-03,14:00,정규시즌,잠실학생체육관,SK,76,KT,78,""
2025-02-03,14:00,정규시즌,대구체육관,한국가스공사,83,소노,66,""
2025-02-03,16:00,정규시즌,잠실실내체육관,삼성,88,LG,86,""
2025-02-04,14:00,정규시즌,안양 정관장 아레나,정관장,84,DB,99,""
2025-02-04,14:00,정규시즌,울산동천체육관,현대모비스,92,SK,80,""
2025-02-04,16:00,정규시즌,잠실실내체육관,삼성,97,KCC,88,""
2025-02-05,19:00,정규시즌,고양 소노 아레나,소노,89,KT,92,""
2025-02-06,14:00,D리그 1차,이천 LG 챔피언스파크,현대모비스,87,KCC,96,""
2025-02-06,16:00,D리그 1차,이천 LG 챔피언스파크,KT,69,상무,78,""
2025-02-06,19:00,정규시즌,창원체육관,LG,79,DB,83,""
2025-02-06,19:00,정규시즌,대구체육관,한국가스공사,85,삼성,79,""
2025-02-08,19:00,정규시즌,부산사직체육관,KCC,90,LG,69,""
2025-02-08,19:00,정규시즌,대구체육관,한국가스공사,79,현대모비스,91,""
2025-02-09,14:00,정규시즌,수원 KT 아레나,KT,79,DB,76,""
2025-02-09,16:00,정규시즌,고양 소노 아레나,소노,89,삼성,99,""
2025-02-10,14:00,정규시즌,잠실학생체육관,SK,84,정관장,72,""
2025-02-10,14:00,정규시즌,대구체육관,한국가스공사,80,LG,87,""
2025-02-10,16:00,정규시즌,울산동천체육관,현대모비스,94,KCC,77,""
2025-02-11,14:00,정규시즌,잠실실내체육관,삼성,70,SK,80,""
2025-02-11,14:00,정규시즌,안양 정관장 아레나,정관장,77,KT,90,""
2025-02-11,16:00,정규시즌,원주종합체육관,DB,89,소노,74,""
2025-02-12,14:00,정규시즌,창원체육관,LG,95,현대모비스,98,""
2025-02-12,16:00,정규시즌,부산사직체육관,KCC,81,한국가스공사,72,""
2025-02-13,19:00,정규시즌,원주종합체육관,DB,82,SK,68,""
2025-02-13,19:00,정규시즌,잠실실내체육관,삼성,73,정관장,60,""
2025-02-14,19:00,정규시즌,수원 KT 아레나,KT,103,현대모비스,99,""
2025-02-14,19:00,정규시즌,고양 소노 아레나,소노,95,KCC,77,""
2025-02-15,14:00,D리그 1차,이천 LG 챔피언스파크,DB,71,KCC,67,""
2025-02-15,16:00,D리그 1차,이천 LG 챔피언스파크,현대모비스,95,KT,93,""
2025-02-15,19:00,정규시즌,안양 정관장 아레나,정관장,66,한국가스공사,77,""
2025-02-15,19:00,정규시즌,잠실학생체육관,SK,67,LG,76,""
2025-02-28,19:00,정규시즌,울산동천체육관,현대모비스,98,정관장,81,""
2025-02-28,19:00,정규시즌,잠실학생체육관,SK,98,소노,66,""
2025-02-29,19:00,정규시즌,부산사직체육관,KCC,78,DB,92,""
2025-02-29,19:00,정규시즌,잠실실내체육관,삼성,86,KT,106,""
