일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
08.01(수),18:30,한화,5,2,LG,잠실,KN-T,-
08.01(수),18:30,넥센,4,11,SK,문학,,-
08.01(수),18:30,KIA,13,4,롯데,사직,MS-T,-
08.01(수),18:30,두산,9,1,삼성,대구,XTM-T; SPO-T,-
08.02(목),18:30,한화,5,0,LG,잠실,KN-T,-
08.02(목),18:30,넥센,4,8,SK,문학,,-
08.02(목),18:30,KIA,4,3,롯데,사직,MS-T,-
08.02(목),18:30,두산,3,0,삼성,대구,XTM-T; SPO-T,-
08.03(금),18:30,LG,8,2,넥센,목동,,-
08.03(금),18:30,KIA,4,5,두산,잠실,XTM-T; SPO-T,-
08.03(금),18:30,삼성,3,4,롯데,사직,MS-T,-
08.03(금),18:30,SK,8,9,한화,대전,KN-T,-
08.04(토),17:00,LG,1,3,넥센,목동,,-
08.04(토),17:00,KIA,7,3,두산,잠실,XTM-T; SPO-T,-
08.04(토),17:00,삼성,6,1,롯데,사직,MS-T,-
08.04(토),17:00,SK,6,1,한화,대전,KN-T,-
08.05(일),17:00,LG,3,7,넥센,목동,,-
08.05(일),17:00,KIA,6,4,두산,잠실,XTM-T; SPO-T,-
08.05(일),17:00,삼성,0,1,롯데,사직,MS-T,-
08.05(일),17:00,SK,2,1,한화,대전,KN-T,-
08.07(화),18:30,넥센,3,4,KIA,무등,MS-T,-
08.07(화),18:30,롯데,5,6,LG,잠실,,-
08.07(화),18:30,삼성,1,2,SK,문학,KN-T,-
08.07(화),18:30,두산,10,5,한화,대전,XTM-T; SPO-T,-
08.08(수),18:30,넥센,0,2,KIA,무등,MS-T,-
08.08(수),18:30,롯데,6,5,LG,잠실,,-
08.08(수),18:30,삼성,8,5,SK,문학,KN-T,-
08.08(수),18:30,두산,3,1,한화,대전,XTM-T; SPO-T,-
08.09(목),18:30,넥센,0,5,KIA,무등,MS-T,-
08.09(목),18:30,롯데,6,1,LG,잠실,,-
08.09(목),18:30,삼성,3,4,SK,문학,KN-T,-
08.09(목),18:30,두산,8,6,한화,대전,XTM-T; SPO-T,-
08.10(금),18:30,한화,4,2,넥센,목동,XTM-T; SPO-T,-
