날짜,시간,경기종류,장소,홈팀,홈점수,원정팀,원정점수,중계채널
2025-02-01,14:00,정규시즌,원주종합체육관,DB,61,LG,76,"tvN SPORTS, TVING"
2025-02-01,14:00,정규시즌,대구체육관,한국가스공사,75,SK,80,"IB SPORTS, TVING"
2025-02-01,16:00,정규시즌,안양 정관장 아레나,정관장,85,현대모비스,78,"tvN SPORTS, TVING"
2025-02-02,14:00,정규시즌,부산사직체육관,KCC,84,KT,95,"tvN SPORTS, TVING"
2025-02-02,14:00,정규시즌,대구체육관,한국가스공사,72,삼성,69,"IB SPORTS, TVING"
2025-02-02,16:00,정규시즌,고양 소노 아레나,소노,86,DB,82,"tvN SPORTS, TVING"
2025-02-03,19:00,정규시즌,잠실학생체육관,SK,78,LG,70,"tvN SPORTS, TVING"
2025-02-04,13:00,D리그 1차,이천 LG 챔피언스파크,상무,104,한국가스공사,80,"기타"
2025-02-04,15:00,D리그 1차,이천 LG 챔피언스파크,KT,69,SK,64,"기타"
2025-02-04,19:00,정규시즌,부산사직체육관,KCC,86,정관장,91,"tvN SPORTS, TVING"
2025-02-05,19:00,정규시즌,잠실실내체육관,삼성,68,현대모비스,77,"tvN SPORTS, TVING"
2025-02-06,19:00,정규시즌,창원체육관,LG,90,KCC,80,"IB SPORTS, TVING"
2025-02-06,19:00,정규시즌,잠실학생체육관,SK,80,KT,75,"tvN SPORTS, TVING"
2025-02-07,19:00,정규시즌,울산동천체육관,현대모비스,85,한국가스공사,94,"tvN SPORTS, TVING"
2025-02-07,19:00,정규시즌,잠실실내체육관,삼성,77,소노,63,"IB SPORTS, TVING"
2025-02-08,14:00,정규시즌,부산사직체육관,KCC,78,LG,83,"tvN SPORTS, TVING"
2025-02-08,14:00,정규시즌,잠실학생체육관,SK,85,정관장,81,"IB SPORTS, TVING"
2025-02-08,16:00,정규시즌,수원 KT 아레나,KT,83,DB,76,"tvN SPORTS, TVING"
2025-02-09,14:00,정규시즌,대구체육관,한국가스공사,66,현대모비스,69,"IB SPORTS, TVING"
2025-02-09,14:00,정규시즌,잠실실내체육관,삼성,63,소노,76,"tvN SPORTS, TVING"
2025-02-09,16:00,정규시즌,수원 KT 아레나,KT,74,SK,85,"tvN SPORTS, TVING"
2025-02-10,19:00,정규시즌,안양 정관장 아레나,정관장,76,KCC,67,"tvN SPORTS, TVING"
2025-02-11,19:00,정규시즌,고양 소노 아레나,소노,80,현대모비스,101,"IB SPORTS, TVING"
2025-02-12,19:00,정규시즌,잠실학생체육관,SK,68,LG,77,"IB SPORTS, TVING"
2025-02-13,19:00,정규시즌,원주종합체육관,DB,88,KCC,75,"tvN SPORTS, TVING"
2025-02-14,13:00,D리그 1차,이천 LG 챔피언스파크,LG,74,한국가스공사,64,"기타"
2025-02-14,15:00,D리그 1차,이천 LG 챔피언스파크,현대모비스,78,상무,90,"기타"
2025-02-15,13:00,D리그 1차,이천 LG 챔피언스파크,SK,79,KCC,52,"기타"
2025-02-15,15:00,D리그 1차,이천 LG 챔피언스파크,현대모비스,78,LG,77,"기타"
2025-02-17,13:00,D리그 1차,이천 LG 챔피언스파크,삼성,76,현대모비스,77,"기타"
2025-02-17,15:00,D리그 1차,이천 LG 챔피언스파크,KT,66,LG,72,"기타"
2025-02-18,13:00,D리그 1차,이천 LG 챔피언스파크,상무,89,KCC,80,"기타"
2025-02-18,15:00,D리그 1차,이천 LG 챔피언스파크,현대모비스,64,SK,65,"기타"
2025-02-19,13:00,D리그 1차,이천 LG 챔피언스파크,상무,87,삼성,79,"기타"
2025-02-19,15:00,D리그 1차,이천 LG 챔피언스파크,KCC,80,한국가스공사,76,"기타"
2025-02-20,13:00,D리그 1차,이천 LG 챔피언스파크,SK,68,상무,74,"기타"
2025-02-20,15:00,D리그 1차,이천 LG 챔피언스파크,한국가스공사,66,삼성,68,"기타"
2025-02-21,13:00,D리그 1차,이천 LG 챔피언스파크,현대모비스,73,KCC,70,"기타"
2025-02-21,15:00,D리그 1차,이천 LG 챔피언스파크,한국가스공사,62,KT,71,"기타"
2025-02-22,13:00,D리그 1차,이천 LG 챔피언스파크,LG,74,KCC,58,"기타"
2025-02-22,15:00,D리그 1차,이천 LG 챔피언스파크,KT,85,삼성,72,"기타"
2025-02-24,13:00,D리그 1차,이천 LG 챔피언스파크,KT,58,한국가스공사,67,"기타"
2025-02-24,15:00,D리그 1차,이천 LG 챔피언스파크,KCC,92,LG,90,"기타"
2025-02-25,13:00,D리그 1차,이천 LG 챔피언스파크,SK,74,한국가스공사,58,"기타"
2025-02-25,15:00,D리그 1차,이천 LG 챔피언스파크,삼성,71,LG,84,"기타"
2025-02-26,19:00,정규시즌,부산사직체육관,KCC,85,소노,95,"tvN SPORTS, TVING"
2025-02-26,19:00,정규시즌,안양 정관장 아레나,정관장,56,KT,63,"IB SPORTS, TVING"
2025-02-27,19:00,정규시즌,원주종합체육관,DB,89,한국가스공사,80,"tvN SPORTS, TVING"
2025-02-27,19:00,정규시즌,창원체육관,LG,74,삼성,62,"IB SPORTS, TVING"
2025-02-28,19:00,정규시즌,부산사직체육관,KCC,67,KT,80,"IB SPORTS, TVING"
2025-02-28,19:00,정규시즌,울산동천체육관,현대모비스,77,SK,80,"tvN SPORTS, TVING"
