날짜,시간,경기종류,장소,홈팀,홈점수,원정팀,원정점수,중계채널
2025-05-05,14:00,챔피언결정전,잠실학생체육관,SK,66,LG,75,"tvN SPORTS, IB SPORTS, TVING"
2025-05-07,19:00,챔피언결정전,잠실학생체육관,SK,71,LG,76,"tvN SPORTS, IB SPORTS, TVING"
2025-05-09,19:00,챔피언결정전,창원체육관,LG,80,SK,63,"tvN SPORTS, IB SPORTS, TVING"
2025-05-11,14:00,챔피언결정전,창원체육관,LG,48,SK,73,"tvN SPORTS, IB SPORTS, TVING"
2025-05-13,19:00,챔피언결정전,잠실학생체육관,SK,86,LG,56,"tvN SPORTS, IB SPORTS, TVING"
2025-05-15,19:00,챔피언결정전,창원체육관,LG,51,SK,54,"tvN SPORTS, IB SPORTS, TVING"
2025-05-17,14:00,챔피언결정전,잠실학생체육관,SK,58,LG,62,"tvN SPORTS, IB SPORTS, TVING"
