날짜,시간,경기종류,장소,홈팀,홈점수,원정팀,원정점수,중계채널
2025-04-01,19:00,정규시즌,잠실실내체육관,삼성,61,한국가스공사,92,"tvN SPORTS, TVING"
2025-04-02,19:00,정규시즌,부산사직체육관,KCC,98,소노,85,"tvN SPORTS, TVING"
2025-04-03,19:00,정규시즌,창원체육관,LG,77,정관장,62,"IB SPORTS, TVING"
2025-04-03,19:00,정규시즌,울산동천체육관,현대모비스,91,KT,71,"tvN SPORTS, TVING"
2025-04-04,19:00,정규시즌,부산사직체육관,KCC,83,삼성,91,"IB SPORTS, TVING"
2025-04-04,19:00,정규시즌,고양 소노 아레나,소노,86,DB,70,"TVING"
2025-04-05,14:00,정규시즌,울산동천체육관,현대모비스,76,LG,83,"tvN SPORTS, TVING"
2025-04-05,14:00,정규시즌,안양 정관장 아레나,정관장,81,SK,76,"IB SPORTS, TVING"
2025-04-05,16:00,정규시즌,대구체육관,한국가스공사,83,KT,74,"tvN SPORTS, TVING"
2025-04-06,14:00,정규시즌,잠실학생체육관,SK,71,소노,96,"tvN SPORTS, TVING"
2025-04-06,14:00,정규시즌,울산동천체육관,현대모비스,88,삼성,78,"IB SPORTS, TVING"
2025-04-06,16:00,정규시즌,원주종합체육관,DB,84,KCC,76,"tvN SPORTS, TVING"
2025-04-07,13:00,챔피언결정전,이천 LG 챔피언스파크,상무,91,KT,80,"기타"
2025-04-08,19:00,정규시즌,수원 KT 아레나,KT,68,KCC,64,"TVING"
2025-04-08,19:00,정규시즌,원주종합체육관,DB,67,정관장,78,"tvN SPORTS, TVING"
2025-04-08,19:00,정규시즌,잠실학생체육관,SK,79,삼성,76,"IB SPORTS, TVING"
2025-04-08,19:00,정규시즌,대구체육관,한국가스공사,80,현대모비스,84,"TVING"
2025-04-08,19:00,정규시즌,고양 소노 아레나,소노,101,LG,99,"기타, TVING"
2025-04-12,14:00,플레이오프,수원 KT 아레나,KT,64,한국가스공사,67,"IB SPORTS, tvN SPORTS, TVING"
2025-04-13,14:00,플레이오프,울산동천체육관,현대모비스,87,정관장,84,"IB SPORTS, tvN SPORTS, TVING"
2025-04-14,19:00,플레이오프,수원 KT 아레나,KT,75,한국가스공사,71,"IB SPORTS, tvN SPORTS, TVING"
2025-04-15,19:00,플레이오프,울산동천체육관,현대모비스,90,정관장,72,"IB SPORTS, tvN SPORTS, TVING"
2025-04-16,19:00,플레이오프,대구체육관,한국가스공사,57,KT,63,"IB SPORTS, tvN SPORTS, TVING"
2025-04-17,19:00,플레이오프,안양 정관장 아레나,정관장,92,현대모비스,99,"IB SPORTS, tvN SPORTS, TVING"
2025-04-18,19:00,플레이오프,대구체육관,한국가스공사,79,KT,75,"IB SPORTS, tvN SPORTS, TVING"
2025-04-20,14:00,플레이오프,수원 KT 아레나,KT,78,한국가스공사,76,"IB SPORTS, tvN SPORTS, TVING"
2025-04-23,19:00,플레이오프,잠실학생체육관,SK,65,KT,61,"tvN SPORTS, IB SPORTS, TVING"
2025-04-24,19:00,플레이오프,창원체육관,LG,67,현대모비스,64,"tvN SPORTS, IB SPORTS, TVING"
2025-04-25,19:00,플레이오프,잠실학생체육관,SK,86,KT,70,"IB SPORTS, tvN SPORTS, TVING"
2025-04-26,14:00,플레이오프,창원체육관,LG,84,현대모비스,75,"IB SPORTS, tvN SPORTS, TVING"
2025-04-27,14:00,플레이오프,수원 KT 아레나,KT,77,SK,64,"IB SPORTS, tvN SPORTS, TVING"
2025-04-28,19:00,플레이오프,울산동천체육관,현대모비스,74,LG,76,"IB SPORTS, tvN SPORTS, TVING"
2025-04-29,19:00,플레이오프,수원 KT 아레나,KT,57,SK,69,"IB SPORTS, tvN SPORTS, TVING"
