"MATCH_SEQ_NO","MATCH_DE","LEA_NM","STDM_NM","HOME_TEAM_NM","AWAY_TEAM_NM"
402,"20240307",정규시즌,창원체육관,LG,한국가스공사
403,"20240307",정규시즌,잠실실내체육관,삼성,DB
404,"20240307",정규시즌,수원 KT 아레나,KT,KCC
405,"20240309",정규시즌,수원 KT 아레나,KT,현대모비스
406,"20240309",정규시즌,원주종합체육관,DB,KCC
407,"20240309",정규시즌,잠실실내체육관,삼성,소노
408,"20240311",정규시즌,창원체육관,LG,KT
409,"20240312",플레이오프,이천 LG 챔피언스파크,상무,DB
410,"20240312",플레이오프,이천 LG 챔피언스파크,현대모비스,KT
411,"20240313",챔피언결정전,이천 LG 챔피언스파크,상무,KT
412,"20240313",정규시즌,안양 정관장 아레나,KGC,소노
413,"20240313",정규시즌,잠실학생체육관,SK,한국가스공사
414,"20240314",정규시즌,원주종합체육관,DB,KT
415,"20240314",정규시즌,안양 정관장 아레나,KGC,삼성
416,"20240315",정규시즌,대구체육관,한국가스공사,KCC
417,"20240315",정규시즌,고양 소노 아레나,소노,LG
418,"20240316",정규시즌,수원 KT 아레나,KT,삼성
419,"20240316",정규시즌,울산동천체육관,현대모비스,DB
420,"20240316",정규시즌,안양 정관장 아레나,KGC,SK
421,"20240317",정규시즌,대구체육관,한국가스공사,소노
422,"20240317",정규시즌,부산사직체육관,KCC,KT
423,"20240317",정규시즌,창원체육관,LG,DB
424,"20240318",정규시즌,잠실실내체육관,삼성,현대모비스
425,"20240319",정규시즌,창원체육관,LG,KGC
426,"20240319",정규시즌,잠실학생체육관,SK,소노
427,"20240320",정규시즌,부산사직체육관,KCC,삼성
428,"20240321",정규시즌,안양 정관장 아레나,KGC,한국가스공사
429,"20240321",정규시즌,잠실학생체육관,SK,DB
430,"20240322",정규시즌,부산사직체육관,KCC,LG
431,"20240322",정규시즌,고양 소노 아레나,소노,현대모비스
432,"20240323",정규시즌,수원 KT 아레나,KT,한국가스공사
433,"20240323",정규시즌,원주종합체육관,DB,KGC
434,"20240323",정규시즌,잠실학생체육관,SK,삼성
435,"20240324",정규시즌,울산동천체육관,현대모비스,LG
436,"20240324",정규시즌,원주종합체육관,DB,소노
437,"20240324",정규시즌,잠실실내체육관,삼성,KCC
438,"20240325",정규시즌,잠실학생체육관,SK,KT
439,"20240326",정규시즌,부산사직체육관,KCC,KGC
440,"20240326",정규시즌,대구체육관,한국가스공사,현대모비스
441,"20240328",정규시즌,수원 KT 아레나,KT,KGC
442,"20240328",정규시즌,잠실학생체육관,SK,LG
443,"20240329",정규시즌,부산사직체육관,KCC,현대모비스
444,"20240331",정규시즌,울산동천체육관,현대모비스,KGC
445,"20240331",정규시즌,부산사직체육관,KCC,SK
