일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
09.01(금),18:30,한화,0,10,LG,잠실,KN-T,-
09.01(금),18:30,KIA,10,2,SSG,문학,MS-T,-
09.01(금),18:30,두산,,,롯데,사직,SPO-T,우천취소
09.01(금),18:30,NC,10,0,삼성,대구,SS-T,-
09.01(금),18:30,KT,2,6,키움,고척,SPO-2T,-
09.02(토),14:00,한화,5,3,LG,잠실,K-2T,-
09.02(토),17:00,KIA,12,4,SSG,문학,MS-T,-
09.02(토),17:00,두산,,,롯데,사직,KN-T,우천취소
09.02(토),17:00,NC,5,1,삼성,대구,SPO-T,-
09.02(토),17:00,KT,0,3,키움,고척,SPO-2T; SS-T,-
09.03(일),14:00,한화,5,3,LG,잠실,KN-T,-
09.03(일),14:00,KIA,8,6,SSG,문학,MS-T,-
09.03(일),14:00,두산,2,0,롯데,사직,SPO-T,-
09.03(일),14:00,NC,1,6,삼성,대구,SS-T,-
09.03(일),14:00,KT,0,7,키움,고척,네이버; Daum카카오; TVING; wavve; 스포키,-
09.04(월),18:30,두산,3,4,롯데,사직,KN-T,-
09.05(화),18:30,KIA,,,두산,잠실,SS-T,우천취소
09.05(화),18:30,키움,1,2,NC,창원,SPO-2T,-
09.05(화),18:30,LG,5,4,KT,수원,KN-T,-
09.05(화),18:30,SSG,11,6,한화,대전,SPO-T; D-CMB,-
09.05(화),18:30,삼성,3,10,롯데,울산,MS-T,-
09.06(수),18:30,KIA,7,1,두산,잠실,SS-T,-
09.06(수),18:30,키움,2,8,NC,창원,SPO-2T,-
09.06(수),18:30,LG,3,4,KT,수원,KN-T,-
09.06(수),18:30,SSG,5,6,한화,대전,SPO-T; D-CMB,-
09.06(수),18:30,삼성,7,2,롯데,울산,MS-T,-
09.07(목),18:30,KIA,0,3,두산,잠실,SS-T,-
09.07(목),18:30,키움,1,6,NC,창원,SPO-2T,-
09.07(목),18:30,LG,11,4,KT,수원,KN-T,-
09.07(목),18:30,SSG,3,4,한화,대전,SPO-T; D-CMB,-
09.07(목),18:30,삼성,1,2,롯데,울산,MS-T,-
09.08(금),18:30,삼성,7,8,두산,잠실,KN-T,-
