일자,시간,홈팀,홈점수,VS,원정점수,원정팀,구장,중계,비고
05.01(목),18:30,KT,3,vs,3,두산,잠실,SS-T,-
05.01(목),18:30,삼성,1,vs,4,SSG,문학,KN-T,-
05.01(목),18:30,NC,,vs,,KIA,광주,MS-T,우천취소
05.01(목),18:30,롯데,5,vs,0,키움,고척,SPO-T,-
05.01(목),18:30,LG,,vs,,한화,대전(신),SPO-2T,우천취소
05.02(금),18:30,SSG,2,vs,1,LG,잠실,SPO-T,-
05.02(금),18:30,NC,3,vs,4,롯데,사직,MS-T,-
05.02(금),18:30,두산,2,vs,6,삼성,대구,SPO-2T,-
05.02(금),18:30,키움,5,vs,3,KT,수원,KN-T,-
05.02(금),18:30,한화,3,vs,2,KIA,광주,SS-T,-
05.03(토),14:00,한화,,vs,,KIA,광주,K-2T,우천취소
05.03(토),17:00,SSG,1,vs,4,LG,잠실,SPO-2T,-
05.03(토),17:00,NC,13,vs,4,롯데,사직,SS-T,-
05.03(토),17:00,두산,6,vs,1,삼성,대구,MS-T,-
05.03(토),17:00,키움,0,vs,9,KT,수원,SPO-T; KN-T,-
05.04(일),14:00,SSG,4,vs,12,LG,잠실,SPO-2T,-
05.04(일),14:00,NC,9,vs,6,롯데,사직,SS-T,-
05.04(일),14:00,두산,11,vs,6,삼성,대구,MS-T,-
05.04(일),14:00,키움,4,vs,5,KT,수원,SPO-T; KN-T,-
05.04(일),14:00,한화,3,vs,1,KIA,광주,M-T,-
05.05(월),14:00,LG,2,vs,5,두산,잠실,S-T,-
05.05(월),14:00,SSG,7,vs,1,롯데,사직,SPO-2T,-
05.05(월),14:00,NC,6,vs,2,KT,수원,MS-T; SPO-T,-
05.05(월),14:00,KIA,13,vs,1,키움,고척,SS-T,-
05.05(월),14:00,삼성,1,vs,3,한화,대전(신),KN-T,-
05.06(화),14:00,LG,5,vs,1,두산,잠실,K-2T,-
05.06(화),14:00,SSG,0,vs,6,롯데,사직,SS-T; SPO-2T,-
05.06(화),14:00,NC,6,vs,3,KT,수원,MS-T; SPO-T,-
05.06(화),14:00,KIA,5,vs,3,키움,고척,KN-T,-
05.06(화),14:00,삼성,1,vs,3,한화,대전(신),M-T,-
05.07(수),18:30,LG,2,vs,5,두산,잠실,SPO-2T,-
05.07(수),18:30,SSG,2,vs,6,롯데,사직,MS-T,-
05.07(수),18:30,NC,12,vs,2,KT,수원,SPO-T,-
05.07(수),18:30,KIA,10,vs,11,키움,고척,SS-T,-
05.07(수),18:30,삼성,6,vs,10,한화,대전(신),KN-T,-
05.09(금),18:30,NC,,vs,,두산,잠실,MS-T,우천취소
05.09(금),18:30,KIA,,vs,,SSG,문학,KN-T,우천취소
05.09(금),18:30,LG,,vs,,삼성,대구,SPO-T,우천취소
05.09(금),18:30,롯데,,vs,,KT,수원,SPO-2T,우천취소
05.09(금),18:30,한화,7,vs,5,키움,고척,SS-T,-
05.10(토),14:00,한화,9,vs,1,키움,고척,S-T,-
05.10(토),14:00,NC,,vs,,두산,잠실,SPO-2T,우천취소
05.10(토),14:00,KIA,,vs,,SSG,문학,SPO-T; SS-T,우천취소
05.10(토),14:00,LG,5,vs,4,삼성,대구,K-2T,-
05.10(토),14:00,롯데,,vs,,KT,수원,KN-T,우천취소
05.10(토),17:00,NC,6,vs,6,두산,잠실,SPO-2T,-
05.10(토),17:00,KIA,5,vs,4,SSG,문학,SPO-T,-
05.10(토),17:00,롯데,8,vs,5,KT,수원,KN-T,-
05.10(토),17:00,LG,4,vs,1,삼성,대구,MS-T; SS-T,-
05.11(일),14:00,LG,7,vs,4,삼성,대구,SPO-T,-
05.11(일),14:00,한화,8,vs,0,키움,고척,KN-T,-
05.11(일),14:00,NC,11,vs,5,두산,잠실,SPO-2T; MS-T,-
05.11(일),14:00,KIA,4,vs,8,SSG,문학,M-T,-
05.11(일),14:00,롯데,6,vs,1,KT,수원,SS-T,-
05.11(일),17:00,NC,5,vs,2,두산,잠실,SPO-2T,-
05.11(일),17:00,KIA,1,vs,5,SSG,문학,MS-T; SPO-T,-
05.11(일),17:00,롯데,1,vs,1,KT,수원,SS-T; KN-T,-
05.13(화),18:30,키움,6,vs,9,LG,잠실,SPO-T,-
05.13(화),18:30,NC,3,vs,6,SSG,문학,KN-T,-
05.13(화),18:30,롯데,1,vs,4,KIA,광주,SPO-2T,-
05.13(화),18:30,두산,4,vs,3,한화,대전(신),MS-T,-
05.13(화),18:30,KT,3,vs,5,삼성,포항,SS-T,-
05.14(수),18:30,키움,0,vs,12,LG,잠실,SPO-T,-
05.14(수),18:30,NC,6,vs,3,SSG,문학,KN-T,-
05.14(수),18:30,롯데,4,vs,0,KIA,광주,SPO-2T,-
05.14(수),18:30,두산,7,vs,1,한화,대전(신),MS-T,-
05.14(수),18:30,KT,3,vs,2,삼성,포항,SS-T,-
05.15(목),18:30,키움,2,vs,6,LG,잠실,SPO-T,-
05.15(목),18:30,NC,0,vs,4,SSG,문학,KN-T,-
05.15(목),18:30,롯데,6,vs,7,KIA,광주,SPO-2T,-
05.15(목),18:30,두산,8,vs,2,한화,대전(신),MS-T,-
05.15(목),18:30,KT,0,vs,13,삼성,포항,SS-T,-
05.16(금),18:30,KT,,vs,,LG,잠실,SS-T,우천취소
05.16(금),18:30,삼성,,vs,,롯데,사직,SPO-2T,우천취소
05.16(금),18:30,두산,,vs,,KIA,광주,MS-T,우천취소
05.16(금),18:30,SSG,,vs,,한화,대전(신),KN-T,우천취소
05.16(금),18:30,키움,,vs,,NC,울산,SPO-T,우천취소
05.17(토),14:00,KT,12,vs,4,LG,잠실,S-T,-
05.17(토),14:00,삼성,5,vs,7,롯데,사직,K-2T,-
05.17(토),14:00,두산,2,vs,5,KIA,광주,SPO-2T,-
05.17(토),14:00,SSG,0,vs,1,한화,대전(신),KN-T,-
05.17(토),14:00,키움,2,vs,3,NC,울산,SS-T,-
05.17(토),17:00,KT,7,vs,6,LG,잠실,SPO-T,-
05.17(토),17:00,삼성,7,vs,8,롯데,사직,MS-T,-
05.17(토),17:00,두산,1,vs,4,KIA,광주,SPO-2T,-
05.17(토),17:00,SSG,5,vs,2,한화,대전(신),KN-T,-
05.17(토),17:00,키움,3,vs,2,NC,울산,SS-T,-
05.18(일),14:00,KT,1,vs,5,LG,잠실,SS-T,-
05.18(일),14:00,삼성,3,vs,6,롯데,사직,SPO-2T,-
05.18(일),14:00,두산,4,vs,5,KIA,광주,MS-T,-
05.18(일),14:00,SSG,7,vs,3,한화,대전(신),KN-T,-
05.18(일),14:00,키움,0,vs,5,NC,울산,SPO-T,-
05.20(화),18:30,SSG,5,vs,3,두산,잠실,SS-T,-
05.20(화),18:30,LG,17,vs,9,롯데,사직,SPO-T,-
05.20(화),18:30,KIA,3,vs,5,KT,수원,SPO-2T,-
05.20(화),18:30,삼성,6,vs,3,키움,고척,MS-T,-
05.20(화),18:30,한화,4,vs,1,NC,울산,KN-T,-
05.21(수),18:30,SSG,9,vs,1,두산,잠실,SS-T,-
05.21(수),18:30,LG,7,vs,7,롯데,사직,SPO-T,-
05.21(수),18:30,KIA,1,vs,3,KT,수원,SPO-2T,-
05.21(수),18:30,삼성,6,vs,1,키움,고척,MS-T,-
05.21(수),18:30,한화,2,vs,5,NC,울산,KN-T,-
05.22(목),18:30,SSG,5,vs,6,두산,잠실,SS-T,-
05.22(목),18:30,LG,4,vs,11,롯데,사직,SPO-T,-
05.22(목),18:30,KIA,8,vs,3,KT,수원,SPO-2T,-
05.22(목),18:30,삼성,2,vs,0,키움,고척,MS-T,-
05.22(목),18:30,한화,3,vs,4,NC,울산,KN-T,-
05.23(금),18:30,NC,1,vs,1,두산,잠실,SPO-2T,-
05.23(금),18:30,LG,3,vs,2,SSG,문학,SPO-T,-
05.23(금),18:30,KIA,7,vs,6,삼성,대구,KN-T,-
05.23(금),18:30,KT,7,vs,5,키움,고척,MS-T,-
05.23(금),18:30,롯데,2,vs,4,한화,대전(신),SS-T,-
05.24(토),14:00,KT,10,vs,4,키움,고척,S-T,-
05.24(토),14:00,롯데,8,vs,6,한화,대전(신),K-2T,-
05.24(토),17:00,NC,5,vs,1,두산,잠실,SPO-2T; MS-T,-
05.24(토),17:00,LG,4,vs,5,SSG,문학,SPO-T; KN-T,-
05.24(토),17:00,KIA,4,vs,8,삼성,대구,SS-T,-
05.25(일),14:00,NC,3,vs,5,두산,잠실,KN-T,-
05.25(일),14:00,LG,9,vs,3,SSG,문학,SPO-T,-
05.25(일),14:00,KIA,2,vs,3,삼성,대구,SS-T,-
05.25(일),14:00,KT,2,vs,0,키움,고척,SPO-2T; MS-T,-
05.25(일),14:00,롯데,7,vs,8,한화,대전(신),M-T,-
05.27(화),18:30,한화,1,vs,2,LG,잠실,MS-T,-
05.27(화),18:30,NC,1,vs,1,SSG,문학,KN-T,-
05.27(화),18:30,롯데,3,vs,7,삼성,대구,SPO-T,-
05.27(화),18:30,두산,1,vs,2,KT,수원,SPO-2T,-
05.27(화),18:30,키움,5,vs,7,KIA,광주,SS-T,-
05.28(수),18:30,한화,6,vs,5,LG,잠실,MS-T,-
05.28(수),18:30,NC,5,vs,13,SSG,문학,KN-T,-
