일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
08.01(금),18:30,넥센,3,4,LG,잠실,KN-T,-
08.01(금),18:30,NC,6,13,SK,문학,SS-T; IB-T,-
08.01(금),18:30,삼성,6,4,KIA,광주,MS-T,-
08.01(금),18:30,두산,6,9,한화,대전,XTM-T; SPO-T,-
08.02(토),18:00,넥센,8,0,LG,잠실,KN-T,-
08.02(토),18:00,NC,1,9,SK,문학,SS-T; IB-T,-
08.02(토),18:00,삼성,,,KIA,광주,MS-T,우천취소
08.02(토),18:00,두산,,,한화,대전,XTM-T; SPO-T,우천취소
08.03(일),18:00,넥센,,,LG,잠실,KN-T,우천취소
08.03(일),18:00,NC,,,SK,문학,SS-T; IB-T,우천취소
08.03(일),18:00,삼성,,,KIA,광주,MS-T,우천취소
08.03(일),18:00,두산,2,4,한화,대전,XTM-T; SPO-T,-
08.04(월),18:30,넥센,4,6,LG,잠실,KN-T,-
08.04(월),18:30,NC,,,SK,문학,SS-T; IB-T,우천취소
08.04(월),18:30,삼성,,,KIA,광주,,우천취소
08.04(월),18:30,두산,,,한화,대전,XTM-T; SPO-T,우천취소
08.05(화),18:30,SK,3,8,넥센,목동,KN-T,-
08.05(화),18:30,KIA,2,8,두산,잠실,MS-T,-
08.05(화),18:30,NC,3,1,롯데,사직,SS-T; IB-T,-
08.05(화),18:30,삼성,14,1,한화,청주,XTM-T; SPO-T,-
08.06(수),18:30,SK,,,넥센,목동,KN-T,우천취소
08.06(수),18:30,KIA,,,두산,잠실,MS-T,우천취소
08.06(수),18:30,NC,4,10,롯데,사직,SS-T; IB-T,-
08.06(수),18:30,삼성,2,4,한화,청주,XTM-T; SPO-T,-
08.07(목),18:30,LG,9,8,NC,마산,XTM-T; SPO-T,-
08.07(목),18:30,넥센,6,5,두산,잠실,KN-T,-
08.07(목),18:30,KIA,2,7,SK,문학,MS-T,-
08.07(목),18:30,롯데,,,삼성,대구,SS-T; IB-T,우천취소
08.08(금),18:30,LG,9,6,NC,마산,XTM-T; SPO-T,-
08.08(금),18:30,넥센,15,10,두산,잠실,KN-T,-
08.08(금),18:30,KIA,3,2,SK,문학,MS-T,-
08.08(금),18:30,롯데,9,10,삼성,대구,SS-T; IB-T,-
08.09(토),18:00,SK,9,6,NC,마산,KN-T,-
08.09(토),18:00,삼성,9,8,넥센,목동,MS-T,-
08.09(토),18:00,한화,1,0,LG,잠실,XTM-T; SPO-T,-
08.09(토),18:00,롯데,3,7,KIA,광주,SS-T; IB-T,-
08.10(일),18:00,SK,,,NC,마산,KN-T,우천취소
08.10(일),18:00,삼성,,,넥센,목동,MS-T,우천취소
08.10(일),18:00,한화,,,LG,잠실,XTM-T; SPO-T,우천취소
