일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
06.01(토),17:00,NC,1,5,LG,잠실,KN-T,-
06.01(토),17:00,한화,6,0,SK,문학,SPO-2T,-
06.01(토),17:00,삼성,2,5,롯데,사직,SS-T,-
06.01(토),17:00,두산,3,13,KT,수원,SPO-T,-
06.01(토),17:00,키움,4,0,KIA,광주,MS-T,-
06.02(일),17:00,NC,4,1,LG,잠실,KN-T,-
06.02(일),17:00,한화,2,5,SK,문학,SPO-2T,-
06.02(일),17:00,삼성,8,3,롯데,사직,SS-T,-
06.02(일),17:00,두산,7,4,KT,수원,SPO-T,-
06.02(일),17:00,키움,6,5,KIA,광주,MS-T,-
06.04(화),18:30,KT,4,8,LG,잠실,SS-T,-
06.04(화),18:30,NC,1,3,삼성,대구,SPO-2T,-
06.04(화),18:30,두산,7,2,KIA,광주,SPO-T; G-CMB,-
06.04(화),18:30,SK,2,1,키움,고척,KN-T,-
06.04(화),18:30,한화,2,3,롯데,울산,MS-T,-
06.05(수),18:30,KT,2,9,LG,잠실,SS-T,-
06.05(수),18:30,NC,3,4,삼성,대구,SPO-2T,-
06.05(수),18:30,두산,5,4,KIA,광주,SPO-T; G-CMB,-
06.05(수),18:30,SK,6,2,키움,고척,KN-T,-
06.05(수),18:30,한화,6,3,롯데,울산,MS-T,-
06.06(목),14:00,KT,7,8,LG,잠실,S-T,-
06.06(목),14:00,두산,3,12,KIA,광주,M-T; G-CMB,-
06.06(목),14:00,한화,4,3,롯데,울산,K-2T,-
06.06(목),17:00,NC,0,6,삼성,대구,MS-T; SPO-T,-
06.06(목),17:00,SK,2,6,키움,고척,KN-T; SS-T; SPO-2T,-
06.07(금),18:30,키움,1,7,두산,잠실,KN-T,-
06.07(금),18:30,삼성,2,4,SK,문학,SPO-2T,-
06.07(금),18:30,롯데,1,2,KT,수원,SS-T,-
06.07(금),18:30,LG,2,3,한화,대전,SPO-T; D-CMB,-
06.07(금),19:00,KIA,1,2,NC,창원,MS-T,-
06.08(토),17:00,키움,5,4,두산,잠실,KN-T,-
06.08(토),17:00,삼성,0,8,SK,문학,SPO-2T,-
06.08(토),17:00,KIA,4,5,NC,창원,MS-T,-
06.08(토),17:00,롯데,2,6,KT,수원,SS-T,-
06.08(토),17:00,LG,3,2,한화,대전,SPO-T; D-CMB,-
06.09(일),17:00,키움,4,0,두산,잠실,KN-T,-
06.09(일),17:00,삼성,9,0,SK,문학,SPO-2T,-
06.09(일),17:00,KIA,3,4,NC,창원,MS-T,-
06.09(일),17:00,롯데,0,2,KT,수원,SS-T,-
06.09(일),17:00,LG,3,1,한화,대전,SPO-T; D-CMB,-
06.11(화),18:30,롯데,1,1,LG,잠실,MS-T,-
06.11(화),18:30,키움,9,8,NC,창원,SS-T,-
06.11(화),18:30,SK,13,1,KT,수원,SPO-2T,-
06.11(화),18:30,삼성,1,7,KIA,광주,KN-T,-
06.11(화),18:30,두산,1,4,한화,대전,SPO-T,-
06.12(수),18:30,롯데,3,4,LG,잠실,MS-T,-
06.12(수),18:30,키움,5,4,NC,창원,SS-T,-
06.12(수),18:30,SK,6,3,KT,수원,SPO-2T,-
06.12(수),18:30,삼성,3,7,KIA,광주,KN-T,-
06.12(수),18:30,두산,9,6,한화,대전,SPO-T,-
06.13(목),18:30,롯데,3,4,LG,잠실,MS-T,-
06.13(목),18:30,키움,1,3,NC,창원,SS-T,-
06.13(목),18:30,SK,1,5,KT,수원,SPO-2T,-
06.13(목),18:30,삼성,2,3,KIA,광주,KN-T,-
06.13(목),18:30,두산,7,2,한화,대전,SPO-T,-
06.14(금),18:30,LG,4,7,두산,잠실,SPO-T,-
06.14(금),18:30,NC,3,7,SK,문학,SS-T,-
06.14(금),18:30,KT,4,7,삼성,대구,SPO-2T,-
06.14(금),18:30,한화,7,8,키움,고척,MS-T,-
