일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
05.01(금),18:30,넥센,3,1,LG,잠실,KN-T,-
05.01(금),18:30,두산,4,12,삼성,대구,,-
05.01(금),18:30,NC,4,2,KT,수원,MS-T,-
05.01(금),18:30,SK,3,1,KIA,광주,SPO-T,-
05.01(금),18:30,롯데,5,7,한화,대전,SS-T; IB-T,-
05.02(토),17:00,넥센,4,3,LG,잠실,KN-T,-
05.02(토),17:00,두산,3,5,삼성,대구,,-
05.02(토),17:00,NC,12,2,KT,수원,MS-T,-
05.02(토),17:00,SK,2,5,KIA,광주,SPO-T,-
05.02(토),17:00,롯데,3,5,한화,대전,SS-T; IB-T,-
05.03(일),14:00,넥센,6,2,LG,잠실,KN-T,-
05.03(일),14:00,NC,11,2,KT,수원,MS-T,-
05.03(일),14:00,SK,,,KIA,광주,SPO-T,우천취소
05.03(일),14:00,롯데,6,3,한화,대전,SS-T; IB-T,-
05.03(일),17:00,두산,,,삼성,대구,,우천취소
05.05(화),14:00,KIA,3,7,NC,마산,MS-T; ; SPO-T,-
05.05(화),14:00,삼성,4,9,넥센,목동,K-2T,-
05.05(화),14:00,LG,3,10,두산,잠실,M-T,-
05.05(화),14:00,SK,11,4,롯데,사직,S-T,-
05.05(화),14:00,KT,8,15,한화,대전,KN-T; SS-T; ; IB-T,-
05.06(수),18:30,KIA,4,5,NC,마산,MS-T,-
05.06(수),18:30,삼성,5,3,넥센,목동,KN-T,-
05.06(수),18:30,LG,4,5,두산,잠실,SPO-T,-
05.06(수),18:30,SK,5,3,롯데,사직,,-
05.06(수),18:30,KT,8,5,한화,대전,SS-T; IB-T,-
05.07(목),18:30,KIA,4,2,NC,마산,MS-T,-
05.07(목),18:30,삼성,13,4,넥센,목동,KN-T,-
05.07(목),18:30,LG,6,4,두산,잠실,SPO-T,-
05.07(목),18:30,SK,3,2,롯데,사직,,-
05.07(목),18:30,KT,7,6,한화,대전,SS-T; IB-T,-
05.08(금),18:30,KIA,4,5,넥센,목동,SPO-T,-
05.08(금),18:30,롯데,3,4,NC,마산,SS-T; IB-T,-
05.08(금),18:30,한화,10,6,두산,잠실,MS-T,-
05.08(금),18:30,삼성,0,3,SK,문학,,-
05.08(금),18:30,LG,3,7,KT,수원,KN-T,-
05.09(토),17:00,KIA,5,7,넥센,목동,SPO-T,-
05.09(토),17:00,롯데,3,6,NC,마산,SS-T; IB-T,-
05.09(토),17:00,한화,3,4,두산,잠실,MS-T,-
05.09(토),17:00,삼성,3,1,SK,문학,,-
05.09(토),17:00,LG,2,3,KT,수원,KN-T,-
05.10(일),14:00,KIA,11,6,넥센,목동,SPO-T,-
05.10(일),14:00,롯데,2,6,NC,마산,SS-T; IB-T,-
05.10(일),14:00,한화,0,6,두산,잠실,MS-T,-
05.10(일),14:00,삼성,5,7,SK,문학,,-
05.10(일),17:00,LG,6,2,KT,수원,KN-T,-
05.12(화),18:30,NC,,,LG,잠실,SPO-T,우천취소
