BASE_DE,BASE_YEAR,BASE_MT,BASE_DAY,CTPRVN_CD,CTPRVN_NM,KLEA_VIEWNG_NMPR_CO,KBO_VIEWNG_NMPR_CO,KBL_VIEWNG_NMPR_CO,WKBL_VIEWNG_NMPR_CO,KOVO_VIEWNG_NMPR_CO,SPORTS_VIEWNG_NMPR_CO,KLEA_MATCH_CO,KBO_MATCH_CO,KBL_MATCH_CO,WKBL_MATCH_CO,KOVO_MATCH_CO,SPORTS_MATCH_CO,COLCT_DE,UPDT_DE
"2025"0402,"2025",04,02,11,서울,0.00000,25008.00000,0.00000,0.00000,0.00000,25008.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0403,"2025",04,03,41,경기,0.00000,25881.00000,0.00000,0.00000,0.00000,25881.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0403,"2025",04,03,30,대전,0.00000,49677.00000,0.00000,0.00000,0.00000,49677.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0403,"2025",04,03,29,광주,0.00000,38478.00000,0.00000,0.00000,0.00000,38478.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0403,"2025",04,03,11,서울,0.00000,27393.00000,0.00000,0.00000,0.00000,27393.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0404,"2025",04,04,27,대구,0.00000,72000.00000,0.00000,0.00000,0.00000,72000.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0404,"2025",04,04,11,서울,0.00000,86733.00000,0.00000,0.00000,0.00000,86733.00000,0,6,0,0,0,6,"20250715","20250715"
"2025"0404,"2025",04,04,28,인천,0.00000,39969.00000,0.00000,0.00000,0.00000,39969.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0404,"2025",04,04,26,부산,0.00000,51879.00000,1356.00000,0.00000,0.00000,53235.00000,0,3,1,0,0,4,"20250715","20250715"
"2025"0405,"2025",04,05,27,대구,0.00000,72000.00000,2174.00000,0.00000,0.00000,74174.00000,0,3,1,0,0,4,"20250715","20250715"
"2025"0405,"2025",04,05,11,서울,2136.00000,26685.00000,0.00000,0.00000,0.00000,28821.00000,1,3,0,0,0,4,"20250715","20250715"
"2025"0405,"2025",04,05,26,부산,2081.00000,65421.00000,0.00000,0.00000,0.00000,67502.00000,1,3,0,0,0,4,"20250715","20250715"
"2025"0406,"2025",04,06,27,대구,0.00000,72000.00000,0.00000,0.00000,0.00000,72000.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0406,"2025",04,06,11,서울,0.00000,92373.00000,4005.00000,0.00000,0.00000,96378.00000,0,6,1,0,0,7,"20250715","20250715"
"2025"0406,"2025",04,06,28,인천,0.00000,56037.00000,0.00000,0.00000,0.00000,56037.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0406,"2025",04,06,26,부산,0.00000,67995.00000,0.00000,0.00000,0.00000,67995.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0408,"2025",04,08,11,서울,0.00000,94314.00000,3122.00000,0.00000,0.00000,97436.00000,0,6,1,0,0,7,"20250715","20250715"
