일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
08.01(목),18:30,키움,5,11,LG,잠실,SPO-2T,-
08.01(목),18:30,KIA,1,10,SK,문학,MS-T,-
08.01(목),18:30,롯데,9,4,삼성,대구,SS-T,-
08.01(목),18:30,두산,3,2,NC,창원,SPO-T; GM-T,-
08.01(목),18:30,한화,3,1,KT,수원,KN-T,-
08.03(토),18:00,삼성,10,13,LG,잠실,SPO-T,-
08.03(토),18:00,두산,1,2,롯데,사직,MS-T,-
08.03(토),18:00,NC,1,5,KIA,광주,KN-T; G-CMB,-
08.03(토),18:00,KT,7,1,키움,고척,SS-T,-
08.03(토),18:00,SK,3,0,한화,대전,SPO-2T; D-CMB,-
08.04(일),17:00,삼성,2,1,LG,잠실,SPO-T,-
08.04(일),17:00,NC,0,1,KIA,광주,KN-T; G-CMB,-
08.04(일),17:00,KT,5,3,키움,고척,SS-T,-
08.04(일),17:00,SK,2,8,한화,대전,SPO-2T; D-CMB,-
08.04(일),18:00,두산,4,9,롯데,사직,MS-T,-
08.06(화),18:30,한화,3,8,두산,잠실,SPO-2T,-
08.06(화),18:30,KT,3,0,SK,문학,KN-T,-
08.06(화),18:30,삼성,,,NC,창원,MS-T,우천취소
08.06(화),18:30,LG,17,4,KIA,광주,SPO-T; G-CMB,-
08.06(화),18:30,키움,,,롯데,울산,SS-T,우천취소
08.07(수),18:30,한화,7,5,두산,잠실,SPO-2T,-
08.07(수),18:30,KT,2,5,SK,문학,KN-T,-
08.07(수),18:30,삼성,1,2,NC,창원,MS-T,-
08.07(수),18:30,LG,5,10,KIA,광주,SPO-T; G-CMB,-
08.07(수),18:30,키움,16,4,롯데,울산,SS-T,-
08.08(목),18:30,KT,2,7,두산,잠실,KN-T,-
08.08(목),18:30,롯데,8,0,삼성,대구,MS-T,-
08.08(목),18:30,LG,2,13,NC,창원,SPO-2T,-
08.08(목),18:30,한화,2,5,KIA,광주,SPO-T; G-CMB,-
