일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
07.02(화),18:30,넥센,0,2,NC,마산,,-
07.02(화),18:30,한화,,,LG,잠실,MS-T,우천취소
07.02(화),18:30,KIA,8,2,SK,문학,XTM-T; SPO-T,-
07.02(화),18:30,삼성,6,4,롯데,사직,KN-T,-
07.03(수),18:30,넥센,3,4,NC,마산,,-
07.03(수),18:30,한화,8,9,LG,잠실,MS-T,-
07.03(수),18:30,KIA,3,4,SK,문학,XTM-T; SPO-T,-
07.03(수),18:30,삼성,2,9,롯데,사직,KN-T,-
07.04(목),18:30,넥센,,,NC,마산,,우천취소
07.04(목),18:30,한화,,,LG,잠실,MS-T,우천취소
07.04(목),18:30,KIA,,,SK,문학,XTM-T; SPO-T,우천취소
07.04(목),18:30,삼성,,,롯데,사직,KN-T,우천취소
07.05(금),18:30,LG,10,12,넥센,목동,MS-T,-
07.05(금),18:30,롯데,,,KIA,무등,XTM-T; SPO-T,우천취소
07.05(금),18:30,삼성,6,9,두산,잠실,KN-T,-
07.05(금),18:30,SK,,,한화,대전,,우천취소
07.06(토),18:00,LG,3,6,넥센,목동,MS-T,-
07.06(토),18:00,롯데,6,8,KIA,무등,XTM-T; SPO-T,-
07.06(토),18:00,삼성,2,4,두산,잠실,KN-T,-
07.06(토),18:00,SK,3,9,한화,대전,,-
07.07(일),18:00,LG,2,11,넥센,목동,MS-T,-
07.07(일),18:00,롯데,,,KIA,무등,XTM-T; SPO-T,우천취소
07.07(일),18:00,삼성,8,2,두산,잠실,KN-T,-
07.07(일),18:00,SK,,,한화,대전,,우천취소
07.09(화),18:30,롯데,1,3,넥센,목동,,-
07.09(화),18:30,NC,1,2,LG,잠실,XTM-T; SPO-T,-
07.09(화),18:30,SK,9,3,삼성,대구,KN-T,-
07.09(화),18:30,두산,5,0,한화,대전,MS-T,-
07.10(수),18:30,롯데,6,2,넥센,목동,,-
07.10(수),18:30,NC,1,8,LG,잠실,XTM-T; SPO-T,-
07.10(수),18:30,SK,4,5,삼성,대구,KN-T,-
07.10(수),18:30,두산,6,2,한화,대전,MS-T,-
07.11(목),18:30,롯데,,,넥센,목동,,우천취소
07.11(목),18:30,NC,2,4,LG,잠실,XTM-T; SPO-T,-
07.11(목),18:30,SK,5,1,삼성,대구,KN-T,-
07.11(목),18:30,두산,0,6,한화,대전,MS-T,-
07.12(금),18:30,롯데,1,2,NC,마산,XTM-T; SPO-T,-
07.12(금),18:30,KIA,,,두산,잠실,,우천취소
07.12(금),18:30,LG,,,SK,문학,MS-T,우천취소
07.12(금),18:30,한화,2,7,삼성,대구,KN-T,-
07.13(토),18:00,롯데,7,8,NC,마산,XTM-T; SPO-T,-
07.13(토),18:00,KIA,2,9,두산,잠실,,-
07.13(토),18:00,LG,10,1,SK,문학,MS-T,-
07.13(토),18:00,한화,2,6,삼성,대구,KN-T,-
07.14(일),18:00,롯데,1,10,NC,마산,XTM-T; SPO-T,-
07.14(일),18:00,KIA,,,두산,잠실,,우천취소
07.14(일),18:00,LG,,,SK,문학,MS-T,우천취소
07.14(일),18:00,한화,,,삼성,대구,KN-T,우천취소
07.16(화),18:30,한화,8,3,KIA,무등,,-
07.16(화),18:30,NC,1,5,두산,잠실,MS-T,-
07.16(화),18:30,넥센,5,6,SK,문학,KN-T; SPO-T,-
07.16(화),18:30,LG,5,3,롯데,사직,XTM-T; SPO-T,-
07.17(수),18:30,한화,2,6,KIA,무등,,-
07.17(수),18:30,NC,0,4,두산,잠실,XTM-T; SPO-T,-
