"MATCH_SEQ_NO","MATCH_DE","BASE_YEAR","BASE_MT","BASE_DAY","GRP_NM","LEA_NM","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO","COLCT_DE","UPDT_DE"
63,"20230416","2023","04","16",KBO,정규리그,LG,두산,잠실,20090.00000,"20250716","20250716"
64,"20230418","2023","04","18",KBO,정규리그,롯데,KIA,사직,3829.00000,"20250716","20250716"
65,"20230418","2023","04","18",KBO,정규리그,LG,NC,잠실,6574.00000,"20250716","20250716"
66,"20230418","2023","04","18",KBO,정규리그,한화,두산,한밭,4012.00000,"20250716","20250716"
67,"20230418","2023","04","18",KBO,정규리그,KT,SSG,수원,3398.00000,"20250716","20250716"
68,"20230418","2023","04","18",KBO,정규리그,키움,삼성,고척,3104.00000,"20250716","20250716"
69,"20230419","2023","04","19",KBO,정규리그,롯데,KIA,사직,4869.00000,"20250716","20250716"
70,"20230419","2023","04","19",KBO,정규리그,LG,NC,잠실,7090.00000,"20250716","20250716"
71,"20230419","2023","04","19",KBO,정규리그,한화,두산,한밭,4212.00000,"20250716","20250716"
72,"20230419","2023","04","19",KBO,정규리그,KT,SSG,수원,3405.00000,"20250716","20250716"
73,"20230419","2023","04","19",KBO,정규리그,키움,삼성,고척,3869.00000,"20250716","20250716"
74,"20230420","2023","04","20",KBO,정규리그,롯데,KIA,사직,6423.00000,"20250716","20250716"
75,"20230420","2023","04","20",KBO,정규리그,LG,NC,잠실,9090.00000,"20250716","20250716"
76,"20230420","2023","04","20",KBO,정규리그,한화,두산,한밭,4122.00000,"20250716","20250716"
77,"20230420","2023","04","20",KBO,정규리그,KT,SSG,수원,4472.00000,"20250716","20250716"
78,"20230420","2023","04","20",KBO,정규리그,키움,삼성,고척,3918.00000,"20250716","20250716"
79,"20230421","2023","04","21",KBO,정규리그,두산,KT,잠실,6896.00000,"20250716","20250716"
80,"20230421","2023","04","21",KBO,정규리그,한화,LG,한밭,6004.00000,"20250716","20250716"
81,"20230421","2023","04","21",KBO,정규리그,NC,롯데,창원,12613.00000,"20250716","20250716"
82,"20230421","2023","04","21",KBO,정규리그,KIA,삼성,광주,6870.00000,"20250716","20250716"
83,"20230421","2023","04","21",KBO,정규리그,SSG,키움,문학,12374.00000,"20250716","20250716"
84,"20230422","2023","04","22",KBO,정규리그,두산,KT,잠실,13410.00000,"20250716","20250716"
85,"20230422","2023","04","22",KBO,정규리그,한화,LG,한밭,11152.00000,"20250716","20250716"
86,"20230422","2023","04","22",KBO,정규리그,NC,롯데,창원,15130.00000,"20250716","20250716"
87,"20230422","2023","04","22",KBO,정규리그,KIA,삼성,광주,12990.00000,"20250716","20250716"
88,"20230422","2023","04","22",KBO,정규리그,SSG,키움,문학,16535.00000,"20250716","20250716"
89,"20230423","2023","04","23",KBO,정규리그,두산,KT,잠실,10151.00000,"20250716","20250716"
90,"20230423","2023","04","23",KBO,정규리그,한화,LG,한밭,9023.00000,"20250716","20250716"
91,"20230423","2023","04","23",KBO,정규리그,NC,롯데,창원,13286.00000,"20250716","20250716"
92,"20230423","2023","04","23",KBO,정규리그,KIA,삼성,광주,10026.00000,"20250716","20250716"
93,"20230423","2023","04","23",KBO,정규리그,SSG,키움,문학,15878.00000,"20250716","20250716"
94,"20230425","2023","04","25",KBO,정규리그,키움,KT,고척,2956.00000,"20250716","20250716"
95,"20230425","2023","04","25",KBO,정규리그,KIA,NC,광주,2216.00000,"20250716","20250716"
96,"20230425","2023","04","25",KBO,정규리그,LG,SSG,잠실,7344.00000,"20250716","20250716"
97,"20230426","2023","04","26",KBO,정규리그,롯데,한화,사직,7905.00000,"20250716","20250716"
98,"20230426","2023","04","26",KBO,정규리그,키움,KT,고척,2489.00000,"20250716","20250716"
99,"20230426","2023","04","26",KBO,정규리그,KIA,NC,광주,4798.00000,"20250716","20250716"
100,"20230426","2023","04","26",KBO,정규리그,삼성,두산,대구,9213.00000,"20250716","20250716"
101,"20230426","2023","04","26",KBO,정규리그,LG,SSG,잠실,10419.00000,"20250716","20250716"
102,"20230427","2023","04","27",KBO,정규리그,롯데,한화,사직,10393.00000,"20250716","20250716"
103,"20230427","2023","04","27",KBO,정규리그,키움,KT,고척,3024.00000,"20250716","20250716"
104,"20230427","2023","04","27",KBO,정규리그,KIA,NC,광주,6017.00000,"20250716","20250716"
105,"20230427","2023","04","27",KBO,정규리그,삼성,두산,대구,8473.00000,"20250716","20250716"
106,"20230427","2023","04","27",KBO,정규리그,LG,SSG,잠실,13061.00000,"20250716","20250716"
107,"20230428","2023","04","28",KBO,정규리그,LG,KIA,잠실,22695.00000,"20250716","20250716"
108,"20230428","2023","04","28",KBO,정규리그,한화,NC,한밭,7242.00000,"20250716","20250716"
109,"20230428","2023","04","28",KBO,정규리그,SSG,두산,문학,14909.00000,"20250716","20250716"
110,"20230428","2023","04","28",KBO,정규리그,KT,삼성,수원,7314.00000,"20250716","20250716"
111,"20230428","2023","04","28",KBO,정규리그,롯데,키움,사직,14343.00000,"20250716","20250716"
112,"20230429","2023","04","29",KBO,정규리그,LG,KIA,잠실,23750.00000,"20250716","20250716"
113,"20230429","2023","04","29",KBO,정규리그,한화,NC,한밭,7813.00000,"20250716","20250716"
114,"20230429","2023","04","29",KBO,정규리그,SSG,두산,문학,20180.00000,"20250716","20250716"
115,"20230429","2023","04","29",KBO,정규리그,KT,삼성,수원,12039.00000,"20250716","20250716"
116,"20230430","2023","04","30",KBO,정규리그,LG,KIA,잠실,23750.00000,"20250716","20250716"
117,"20230430","2023","04","30",KBO,정규리그,한화,NC,한밭,10442.00000,"20250716","20250716"
118,"20230430","2023","04","30",KBO,정규리그,SSG,두산,문학,21026.00000,"20250716","20250716"
119,"20230430","2023","04","30",KBO,정규리그,KT,삼성,수원,14582.00000,"20250716","20250716"
120,"20230430","2023","04","30",KBO,정규리그,롯데,키움,사직,22990.00000,"20250716","20250716"
121,"20230502","2023","05","02",KBO,정규리그,두산,한화,잠실,9834.00000,"20250716","20250716"
122,"20230502","2023","05","02",KBO,정규리그,SSG,KT,문학,6950.00000,"20250716","20250716"
123,"20230502","2023","05","02",KBO,정규리그,NC,LG,창원,3939.00000,"20250716","20250716"
124,"20230502","2023","05","02",KBO,정규리그,KIA,롯데,광주,8892.00000,"20250716","20250716"
125,"20230502","2023","05","02",KBO,정규리그,삼성,키움,대구,10624.00000,"20250716","20250716"
126,"20230503","2023","05","03",KBO,정규리그,두산,한화,잠실,14271.00000,"20250716","20250716"
127,"20230503","2023","05","03",KBO,정규리그,SSG,KT,문학,7703.00000,"20250716","20250716"
128,"20230503","2023","05","03",KBO,정규리그,NC,LG,창원,4874.00000,"20250716","20250716"
129,"20230503","2023","05","03",KBO,정규리그,KIA,롯데,광주,13815.00000,"20250716","20250716"
130,"20230503","2023","05","03",KBO,정규리그,삼성,키움,대구,13394.00000,"20250716","20250716"
131,"20230504","2023","05","04",KBO,정규리그,두산,한화,잠실,10825.00000,"20250716","20250716"
132,"20230504","2023","05","04",KBO,정규리그,SSG,KT,문학,7529.00000,"20250716","20250716"
133,"20230504","2023","05","04",KBO,정규리그,삼성,키움,대구,12076.00000,"20250716","20250716"
134,"20230505","2023","05","05",KBO,정규리그,키움,SSG,고척,16000.00000,"20250716","20250716"
135,"20230506","2023","05","06",KBO,정규리그,키움,SSG,고척,11063.00000,"20250716","20250716"
136,"20230507","2023","05","07",KBO,정규리그,한화,KT,한밭,8551.00000,"20250716","20250716"
137,"20230507","2023","05","07",KBO,정규리그,두산,LG,잠실,22073.00000,"20250716","20250716"
138,"20230507","2023","05","07",KBO,정규리그,키움,SSG,고척,7623.00000,"20250716","20250716"
139,"20230509","2023","05","09",KBO,정규리그,KT,NC,수원,2764.00000,"20250716","20250716"
140,"20230509","2023","05","09",KBO,정규리그,롯데,두산,사직,11643.00000,"20250716","20250716"
141,"20230509","2023","05","09",KBO,정규리그,KIA,SSG,광주,8916.00000,"20250716","20250716"
142,"20230509","2023","05","09",KBO,정규리그,한화,삼성,한밭,5014.00000,"20250716","20250716"
143,"20230509","2023","05","09",KBO,정규리그,LG,키움,잠실,10421.00000,"20250716","20250716"
144,"20230510","2023","05","10",KBO,정규리그,KT,NC,수원,3734.00000,"20250716","20250716"
145,"20230510","2023","05","10",KBO,정규리그,롯데,두산,사직,11435.00000,"20250716","20250716"
146,"20230510","2023","05","10",KBO,정규리그,KIA,SSG,광주,8481.00000,"20250716","20250716"
147,"20230510","2023","05","10",KBO,정규리그,한화,삼성,한밭,5865.00000,"20250716","20250716"
148,"20230510","2023","05","10",KBO,정규리그,LG,키움,잠실,12125.00000,"20250716","20250716"
149,"20230511","2023","05","11",KBO,정규리그,KT,NC,수원,3934.00000,"20250716","20250716"
150,"20230511","2023","05","11",KBO,정규리그,롯데,두산,사직,13350.00000,"20250716","20250716"
151,"20230511","2023","05","11",KBO,정규리그,KIA,SSG,광주,8898.00000,"20250716","20250716"
152,"20230511","2023","05","11",KBO,정규리그,한화,삼성,한밭,6007.00000,"20250716","20250716"
153,"20230511","2023","05","11",KBO,정규리그,LG,키움,잠실,11773.00000,"20250716","20250716"
154,"20230512","2023","05","12",KBO,정규리그,SSG,한화,문학,14395.00000,"20250716","20250716"
155,"20230512","2023","05","12",KBO,정규리그,두산,KIA,잠실,20563.00000,"20250716","20250716"
156,"20230512","2023","05","12",KBO,정규리그,삼성,LG,대구,13765.00000,"20250716","20250716"
157,"20230512","2023","05","12",KBO,정규리그,KT,롯데,수원,10937.00000,"20250716","20250716"
158,"20230512","2023","05","12",KBO,정규리그,키움,NC,고척,3866.00000,"20250716","20250716"
159,"20230513","2023","05","13",KBO,정규리그,SSG,한화,문학,23000.00000,"20250716","20250716"
160,"20230513","2023","05","13",KBO,정규리그,두산,KIA,잠실,23750.00000,"20250716","20250716"
161,"20230513","2023","05","13",KBO,정규리그,삼성,LG,대구,21817.00000,"20250716","20250716"
162,"20230513","2023","05","13",KBO,정규리그,KT,롯데,수원,18700.00000,"20250716","20250716"
163,"20230513","2023","05","13",KBO,정규리그,키움,NC,고척,6573.00000,"20250716","20250716"
164,"20230514","2023","05","14",KBO,정규리그,SSG,한화,문학,20757.00000,"20250716","20250716"
165,"20230514","2023","05","14",KBO,정규리그,두산,KIA,잠실,23750.00000,"20250716","20250716"
166,"20230514","2023","05","14",KBO,정규리그,삼성,LG,대구,18569.00000,"20250716","20250716"
167,"20230514","2023","05","14",KBO,정규리그,KT,롯데,수원,15470.00000,"20250716","20250716"
168,"20230514","2023","05","14",KBO,정규리그,키움,NC,고척,5634.00000,"20250716","20250716"
169,"20230516","2023","05","16",KBO,정규리그,삼성,KIA,대구,9112.00000,"20250716","20250716"
170,"20230516","2023","05","16",KBO,정규리그,LG,KT,잠실,8567.00000,"20250716","20250716"
171,"20230516","2023","05","16",KBO,정규리그,한화,롯데,한밭,6138.00000,"20250716","20250716"
172,"20230516","2023","05","16",KBO,정규리그,키움,두산,고척,5662.00000,"20250716","20250716"
173,"20230516","2023","05","16",KBO,정규리그,NC,SSG,창원,4113.00000,"20250716","20250716"
174,"20230517","2023","05","17",KBO,정규리그,삼성,KIA,대구,10979.00000,"20250716","20250716"
175,"20230517","2023","05","17",KBO,정규리그,LG,KT,잠실,9838.00000,"20250716","20250716"
176,"20230517","2023","05","17",KBO,정규리그,한화,롯데,한밭,6269.00000,"20250716","20250716"
177,"20230517","2023","05","17",KBO,정규리그,키움,두산,고척,5232.00000,"20250716","20250716"
178,"20230517","2023","05","17",KBO,정규리그,NC,SSG,창원,4344.00000,"20250716","20250716"
179,"20230518","2023","05","18",KBO,정규리그,LG,KT,잠실,9155.00000,"20250716","20250716"
180,"20230518","2023","05","18",KBO,정규리그,한화,롯데,한밭,6116.00000,"20250716","20250716"
181,"20230518","2023","05","18",KBO,정규리그,키움,두산,고척,5742.00000,"20250716","20250716"
182,"20230519","2023","05","19",KBO,정규리그,LG,한화,잠실,19798.00000,"20250716","20250716"
183,"20230519","2023","05","19",KBO,정규리그,KT,두산,수원,6817.00000,"20250716","20250716"
184,"20230519","2023","05","19",KBO,정규리그,롯데,SSG,사직,19011.00000,"20250716","20250716"
185,"20230519","2023","05","19",KBO,정규리그,NC,삼성,창원,8493.00000,"20250716","20250716"
186,"20230519","2023","05","19",KBO,정규리그,KIA,키움,광주,11290.00000,"20250716","20250716"
187,"20230520","2023","05","20",KBO,정규리그,LG,한화,잠실,23750.00000,"20250716","20250716"
188,"20230520","2023","05","20",KBO,정규리그,KT,두산,수원,13253.00000,"20250716","20250716"
189,"20230520","2023","05","20",KBO,정규리그,롯데,SSG,사직,22990.00000,"20250716","20250716"
190,"20230520","2023","05","20",KBO,정규리그,NC,삼성,창원,14870.00000,"20250716","20250716"
191,"20230520","2023","05","20",KBO,정규리그,KIA,키움,광주,19030.00000,"20250716","20250716"
192,"20230521","2023","05","21",KBO,정규리그,LG,한화,잠실,22054.00000,"20250716","20250716"
