순위,시즌,대회,대회명,경기번호,일자,홈팀,상대,경기결과,경기장,관중수,원정팀,비고
64,2025,K리그1,하나은행 K리그1 2025,78,2025/05/11,광주,전북,0 : 1,광주 월드컵,"8,444","2,608",주말
65,2025,K리그1,하나은행 K리그1 2025,45,2025/04/12,포항,안양,2 : 1,포항 스틸야드,"8,354",522,주말
66,2025,K리그1,하나은행 K리그1 2025,41,2025/04/06,안양,강원,2 : 0,안양 종합,"8,127",899,주말
67,2025,K리그1,하나은행 K리그1 2025,76,2025/05/11,제주,울산,1 : 2,제주 월드컵,"8,012","1,076",주말
68,2025,K리그1,하나은행 K리그1 2025,93,2025/05/27,대구,전북,0 : 4,대구iM뱅크PARK,"7,994",620,
69,2025,K리그1,하나은행 K리그1 2025,106,2025/06/14,수원FC,안양,1 : 2,수원 종합,"7,524","2,054",주말
70,2025,K리그1,하나은행 K리그1 2025,62,2025/05/02,포항,김천,1 : 2,포항 스틸야드,"7,405",139,
71,2025,K리그1,하나은행 K리그1 2025,124,2025/06/28,안양,광주,1 : 2,안양 종합,"7,253",635,주말
72,2025,K리그1,하나은행 K리그1 2025,16,2025/03/02,대전,수원FC,1 : 0,대전 월드컵,"7,220",472,주말
73,2025,K리그1,하나은행 K리그1 2025,55,2025/04/26,수원FC,전북,1 : 2,수원 종합,"7,131","2,075",주말
74,2025,K리그1,하나은행 K리그1 2025,122,2025/06/27,대전,제주,1 : 1,대전 월드컵,"7,097",177,
75,2025,K리그1,하나은행 K리그1 2025,80,2025/05/17,강원,울산,1 : 1,춘천 송암,"6,920",930,주말
76,2025,K리그1,하나은행 K리그1 2025,108,2025/04/01,울산,대전,2 : 3,울산 문수,"6,902",363,
77,2025,K리그1,하나은행 K리그1 2025,107,2025/06/14,제주,대구,2 : 1,제주 월드컵,"6,542",893,주말
78,2025,K리그1,하나은행 K리그1 2025,12,2025/02/23,강원,포항,2 : 1,춘천 송암,"6,539",532,주말
79,2025,K리그1,하나은행 K리그1 2025,75,2025/05/10,안양,대구,2 : 2,안양 종합,"6,365",686,주말
80,2025,K리그1,하나은행 K리그1 2025,67,2025/05/05,광주,김천,1 : 0,광주 월드컵,"6,238",224,
81,2025,K리그1,하나은행 K리그1 2025,85,2025/05/23,제주,전북,0 : 0,제주 월드컵,"6,224","1,230",
82,2025,K리그1,하나은행 K리그1 2025,103,2025/06/13,강원,전북,0 : 3,춘천 송암,"6,219",929,
83,2025,K리그1,하나은행 K리그1 2025,116,2025/06/21,포항,제주,2 : 1,포항 스틸야드,"6,204",196,주말
84,2025,K리그1,하나은행 K리그1 2025,86,2025/05/23,안양,포항,0 : 2,안양 종합,"6,124",676,
85,2025,K리그1,하나은행 K리그1 2025,57,2025/04/26,안양,제주,2 : 1,안양 종합,"5,939",271,주말
86,2025,K리그1,하나은행 K리그1 2025,92,2025/05/27,대전,포항,1 : 3,대전 월드컵,"5,833",424,
87,2025,K리그1,하나은행 K리그1 2025,7,2025/02/22,제주,김천,2 : 3,제주 월드컵,"5,733",76,주말
88,2025,K리그1,하나은행 K리그1 2025,114,2025/04/23,안양,울산,0 : 1,안양 종합,"5,592",762,
89,2025,K리그1,하나은행 K리그1 2025,28,2025/03/16,수원FC,울산,1 : 1,수원 종합,"5,557","1,734",주말
90,2025,K리그1,하나은행 K리그1 2025,53,2025/04/20,제주,포항,2 : 0,제주 월드컵,"5,531",439,주말
91,2025,K리그1,하나은행 K리그1 2025,112,2025/06/18,제주,광주,0 : 1,제주 월드컵,"5,307",211,
92,2025,K리그1,하나은행 K리그1 2025,66,2025/05/03,강원,수원FC,0 : 0,춘천 송암,"5,105",311,주말
93,2025,K리그1,하나은행 K리그1 2025,46,2025/04/13,강원,광주,1 : 0,춘천 송암,"5,080",254,주말
94,2025,K리그1,하나은행 K리그1 2025,113,2025/06/18,대전,김천,0 : 0,대전 월드컵,"5,016",112,
95,2025,K리그1,하나은행 K리그1 2025,17,2025/03/02,강원,제주,0 : 0,춘천 송암,"5,009",176,주말
96,2025,K리그1,하나은행 K리그1 2025,3,2025/02/15,광주,수원FC,0 : 0,광주 월드컵,"4,690",382,주말
97,2025,K리그1,하나은행 K리그1 2025,25,2025/03/15,제주,대전,1 : 3,제주 월드컵,"4,651",533,주말
98,2025,K리그1,하나은행 K리그1 2025,90,2025/05/25,광주,강원,0 : 1,광주 월드컵,"4,554",204,주말
99,2025,K리그1,하나은행 K리그1 2025,23,2025/03/22,광주,포항,2 : 3,광주 월드컵,"4,544",535,주말
100,2025,K리그1,하나은행 K리그1 2025,51,2025/04/19,안양,수원FC,3 : 1,안양 종합,"4,508",472,주말
101,2025,K리그1,하나은행 K리그1 2025,42,2025/04/06,광주,제주,1 : 0,광주 월드컵,"3,858",133,주말
102,2025,K리그1,하나은행 K리그1 2025,121,2025/06/27,김천,전북,1 : 2,김천 종합,"3,840","1,260",
103,2025,K리그1,하나은행 K리그1 2025,38,2025/04/05,김천,대구,2 : 0,김천 종합,"3,740","1,794",주말
104,2025,K리그1,하나은행 K리그1 2025,77,2025/05/11,강원,김천,0 : 4,춘천 송암,"3,628",62,주말
105,2025,K리그1,하나은행 K리그1 2025,84,2025/05/18,수원FC,대전,3 : 0,수원 종합,"3,579",916,주말
106,2025,K리그1,하나은행 K리그1 2025,123,2025/06/28,수원FC,강원,1 : 2,수원 종합,"3,401",962,주말
107,2025,K리그1,하나은행 K리그1 2025,15,2025/03/01,광주,안양,2 : 1,광주 월드컵,"3,319",632,주말
108,2025,K리그1,하나은행 K리그1 2025,59,2025/04/27,김천,울산,2 : 0,김천 종합,"3,300","1,429",주말
109,2025,K리그1,하나은행 K리그1 2025,29,2025/03/16,김천,광주,0 : 0,김천 종합,"3,193",231,주말
110,2025,K리그1,하나은행 K리그1 2025,95,2025/05/28,강원,안양,1 : 3,춘천 송암,"3,135",288,
111,2025,K리그1,하나은행 K리그1 2025,72,2025/05/06,수원FC,대구,2 : 1,수원 종합,"3,114",632,
112,2025,K리그1,하나은행 K리그1 2025,120,2025/06/22,광주,대전,2 : 2,광주 월드컵,"3,055",518,주말
113,2025,K리그1,하나은행 K리그1 2025,96,2025/05/28,광주,울산,1 : 1,광주 월드컵,"2,933",309,
114,2025,K리그1,하나은행 K리그1 2025,40,2025/04/05,수원FC,포항,1 : 1,수원 종합,"2,924",756,주말
