날짜,시간,경기종류,장소,홈팀,홈점수,원정팀,원정점수,중계채널
2025-01-01,14:00,정규시즌,수원 KT 아레나,KT,83,KCC,80,""
2025-01-01,16:00,정규시즌,잠실실내체육관,삼성,76,SK,80,""
2025-01-02,19:00,정규시즌,원주종합체육관,DB,88,소노,94,""
2025-01-02,19:00,정규시즌,안양 정관장 아레나,정관장,84,LG,80,""
2025-01-03,19:00,정규시즌,부산사직체육관,KCC,74,SK,77,""
2025-01-04,14:00,D리그 1차,이천 LG 챔피언스파크,LG,97,상무,87,""
2025-01-04,16:10,D리그 1차,이천 LG 챔피언스파크,현대모비스,71,DB,77,""
2025-01-04,19:00,정규시즌,대구체육관,한국가스공사,81,정관장,70,""
2025-01-04,19:00,정규시즌,잠실실내체육관,삼성,61,KT,103,""
2025-01-05,19:00,정규시즌,잠실학생체육관,SK,87,소노,61,""
2025-01-06,14:00,정규시즌,창원체육관,LG,78,한국가스공사,82,""
2025-01-06,14:00,정규시즌,울산동천체육관,현대모비스,83,KT,82,""
2025-01-06,16:00,정규시즌,잠실실내체육관,삼성,73,DB,87,""
2025-01-07,14:00,정규시즌,잠실학생체육관,SK,83,정관장,71,""
2025-01-07,14:00,정규시즌,부산사직체육관,KCC,83,소노,74,""
2025-01-07,16:00,정규시즌,창원체육관,LG,90,현대모비스,79,""
2025-01-08,19:00,정규시즌,원주종합체육관,DB,94,KT,86,""
2025-01-08,19:00,정규시즌,대구체육관,한국가스공사,77,삼성,71,""
2025-01-09,19:00,정규시즌,창원체육관,LG,57,SK,64,""
2025-01-09,19:00,정규시즌,부산사직체육관,KCC,91,현대모비스,86,""
2025-01-10,14:00,D리그 1차,이천 LG 챔피언스파크,DB,70,한국가스공사,65,""
2025-01-10,16:15,D리그 1차,이천 LG 챔피언스파크,상무,101,KT,100,""
2025-01-11,14:00,D리그 1차,이천 LG 챔피언스파크,DB,68,LG,72,""
2025-01-11,16:00,D리그 1차,이천 LG 챔피언스파크,한국가스공사,79,현대모비스,91,""
2025-01-11,19:00,정규시즌,부산사직체육관,KCC,90,SK,75,""
2025-01-14,14:00,올스타게임,고양 소노 아레나,크블몽 팀,128,공아지 팀,135,""
2025-01-15,14:00,D리그 1차,이천 LG 챔피언스파크,한국가스공사,68,상무,89,""
2025-01-15,16:00,D리그 1차,이천 LG 챔피언스파크,KCC,97,SK,80,""
2025-01-16,14:00,D리그 1차,이천 LG 챔피언스파크,SK,85,한국가스공사,83,""
2025-01-16,16:00,D리그 1차,이천 LG 챔피언스파크,KT,89,LG,85,""
2025-01-17,19:00,정규시즌,부산사직체육관,KCC,84,DB,87,""
2025-01-17,19:00,정규시즌,고양 소노 아레나,소노,93,정관장,86,""
2025-01-18,19:00,정규시즌,대구체육관,한국가스공사,80,KT,69,""
2025-01-18,19:00,정규시즌,잠실학생체육관,SK,94,현대모비스,97,""
2025-01-19,19:00,정규시즌,부산사직체육관,KCC,95,LG,101,""
2025-01-19,19:00,정규시즌,안양 정관장 아레나,정관장,86,삼성,77,""
2025-01-20,14:00,정규시즌,울산동천체육관,현대모비스,91,한국가스공사,88,""
2025-01-20,14:00,정규시즌,잠실학생체육관,SK,76,DB,68,""
2025-01-20,16:00,정규시즌,고양 소노 아레나,소노,73,KT,92,""
2025-01-21,14:00,정규시즌,원주종합체육관,DB,93,LG,73,""
2025-01-21,14:00,정규시즌,잠실실내체육관,삼성,74,KCC,90,""
2025-01-21,16:00,정규시즌,안양 정관장 아레나,정관장,114,현대모비스,90,""
2025-01-22,19:00,정규시즌,잠실학생체육관,SK,75,한국가스공사,88,""
2025-01-23,14:00,D리그 1차,이천 LG 챔피언스파크,LG,89,KT,76,""
2025-01-23,16:00,D리그 1차,이천 LG 챔피언스파크,SK,106,KCC,109,""
2025-01-23,19:00,정규시즌,원주종합체육관,DB,91,현대모비스,99,""
2025-01-23,19:00,정규시즌,고양 소노 아레나,소노,87,삼성,79,""
2025-01-25,19:00,정규시즌,수원 KT 아레나,KT,68,SK,65,""
2025-01-25,19:00,정규시즌,대구체육관,한국가스공사,100,KCC,98,""
2025-01-26,19:00,정규시즌,창원체육관,LG,100,삼성,74,""
2025-01-26,19:00,정규시즌,울산동천체육관,현대모비스,93,소노,85,""
2025-01-27,14:00,정규시즌,수원 KT 아레나,KT,94,정관장,78,""
2025-01-27,14:00,정규시즌,대구체육관,한국가스공사,98,DB,73,""
2025-01-27,16:00,정규시즌,잠실학생체육관,SK,87,KCC,92,""
2025-01-28,14:00,정규시즌,수원 KT 아레나,KT,68,LG,71,""
2025-01-28,14:00,정규시즌,울산동천체육관,현대모비스,116,삼성,78,""
2025-01-28,16:00,정규시즌,고양 소노 아레나,소노,77,한국가스공사,76,""
2025-01-29,19:00,정규시즌,부산사직체육관,KCC,108,정관장,99,""
2025-01-30,14:00,D리그 1차,이천 LG 챔피언스파크,한국가스공사,48,KT,57,""
2025-01-30,16:00,D리그 1차,이천 LG 챔피언스파크,현대모비스,90,상무,107,""
2025-01-30,19:00,정규시즌,고양 소노 아레나,소노,70,LG,74,""
2025-01-30,19:00,정규시즌,잠실실내체육관,삼성,73,DB,108,""
