날짜,시간,경기종류,장소,홈팀,홈점수,원정팀,원정점수,중계채널
2025-03-01,14:00,정규시즌,원주종합체육관,DB,82,소노,92,"tvN SPORTS, TVING"
2025-03-01,14:00,정규시즌,잠실실내체육관,삼성,63,한국가스공사,66,"IB SPORTS, TVING"
2025-03-01,16:00,정규시즌,창원체육관,LG,55,정관장,70,"tvN SPORTS, TVING"
2025-03-02,14:00,정규시즌,잠실학생체육관,SK,85,KCC,77,"tvN SPORTS, TVING"
2025-03-02,14:00,정규시즌,울산동천체육관,현대모비스,56,KT,62,"IB SPORTS, TVING"
2025-03-02,16:00,정규시즌,고양 소노 아레나,소노,79,한국가스공사,88,"tvN SPORTS, TVING"
2025-03-03,14:00,정규시즌,원주종합체육관,DB,67,LG,63,"tvN SPORTS, TVING"
2025-03-03,16:00,정규시즌,잠실실내체육관,삼성,76,정관장,89,"IB SPORTS, TVING"
2025-03-04,19:00,정규시즌,수원 KT 아레나,KT,75,한국가스공사,74,"tvN SPORTS, TVING"
2025-03-05,19:00,정규시즌,잠실실내체육관,삼성,66,SK,75,"IB SPORTS, TVING"
2025-03-06,19:00,정규시즌,울산동천체육관,현대모비스,93,DB,84,"tvN SPORTS, TVING"
2025-03-07,19:00,정규시즌,대구체육관,한국가스공사,72,LG,79,"tvN SPORTS, TVING"
2025-03-07,19:00,정규시즌,고양 소노 아레나,소노,56,SK,71,"IB SPORTS, TVING"
2025-03-08,14:00,정규시즌,원주종합체육관,DB,75,삼성,83,"IB SPORTS, TVING"
2025-03-08,16:00,정규시즌,안양 정관장 아레나,정관장,74,현대모비스,81,"tvN SPORTS, TVING"
2025-03-09,14:00,정규시즌,잠실학생체육관,SK,89,한국가스공사,69,"IB SPORTS, TVING"
2025-03-09,16:00,정규시즌,창원체육관,LG,91,소노,79,"tvN SPORTS, TVING"
2025-03-10,19:00,정규시즌,안양 정관장 아레나,정관장,77,DB,69,"tvN SPORTS, TVING"
2025-03-11,19:00,정규시즌,울산동천체육관,현대모비스,63,삼성,61,"tvN SPORTS, TVING"
2025-03-12,19:00,정규시즌,대구체육관,한국가스공사,88,정관장,76,"IB SPORTS, TVING"
2025-03-13,19:00,정규시즌,부산사직체육관,KCC,77,삼성,83,"tvN SPORTS, TVING"
2025-03-13,19:00,정규시즌,수원 KT 아레나,KT,69,소노,63,"IB SPORTS, TVING"
2025-03-14,19:00,정규시즌,창원체육관,LG,84,현대모비스,81,"IB SPORTS, TVING"
2025-03-14,19:00,정규시즌,잠실학생체육관,SK,80,DB,88,"tvN SPORTS, TVING"
2025-03-15,14:00,정규시즌,대구체육관,한국가스공사,70,KCC,57,"tvN SPORTS, TVING"
2025-03-15,14:00,정규시즌,잠실실내체육관,삼성,83,KT,73,"IB SPORTS, TVING"
2025-03-15,16:00,정규시즌,고양 소노 아레나,소노,84,정관장,86,"tvN SPORTS, TVING"
