일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
05.01(화),18:30,현대,8,3,LG,잠실,,-
05.01(화),18:30,두산,2,3,SK,문학,,-
05.01(화),18:30,KIA,8,1,롯데,사직,,-
05.02(수),18:00,한화,6,2,삼성,시민,,-
05.02(수),18:30,현대,2,6,LG,잠실,,-
05.02(수),18:30,두산,4,5,SK,문학,,-
05.02(수),18:30,KIA,0,5,롯데,사직,,-
05.03(목),18:00,한화,8,3,삼성,시민,,-
05.03(목),18:30,현대,6,5,LG,잠실,,-
05.03(목),18:30,두산,2,1,SK,문학,,-
05.03(목),18:30,KIA,4,1,롯데,사직,,-
05.04(금),18:30,LG,4,11,두산,잠실,,-
05.04(금),18:30,삼성,3,4,롯데,사직,,-
05.04(금),18:30,SK,4,11,현대,수원,,-
05.04(금),18:30,KIA,0,4,한화,대전,,-
05.05(토),14:00,LG,5,9,두산,잠실,,-
05.05(토),14:00,삼성,1,5,롯데,사직,,-
05.05(토),14:00,SK,15,7,현대,수원,,-
05.05(토),14:00,KIA,3,15,한화,대전,,-
05.06(일),14:00,LG,2,8,두산,잠실,,-
05.06(일),14:00,삼성,2,0,롯데,사직,,-
05.06(일),14:00,SK,3,7,현대,수원,,-
05.06(일),14:00,KIA,5,13,한화,대전,,-
05.08(화),18:30,LG,6,2,KIA,무등,,-
05.08(화),18:30,삼성,1,3,두산,잠실,,-
05.08(화),18:30,롯데,2,4,SK,문학,,-
05.08(화),18:30,한화,5,6,현대,수원,,-
05.10(목),18:30,LG,7,5,KIA,무등,,-
05.10(목),18:30,삼성,3,3,두산,잠실,,-
05.10(목),18:30,롯데,4,3,SK,문학,,-
05.10(목),18:30,한화,6,1,현대,수원,,-
05.11(금),18:00,현대,6,2,삼성,시민,,-
05.11(금),18:30,SK,9,6,KIA,무등,,-
05.11(금),18:30,롯데,4,4,LG,잠실,,-
05.11(금),18:30,두산,8,4,한화,대전,,-
05.12(토),17:00,SK,2,5,KIA,무등,,-
05.12(토),17:00,두산,2,9,한화,대전,,-
05.13(일),14:00,현대,2,4,삼성,시민,,-
05.13(일),14:00,SK,2,0,KIA,무등,,-
05.13(일),14:00,롯데,2,5,LG,잠실,,-
05.13(일),14:00,두산,3,1,한화,대전,,-
05.15(화),18:30,두산,5,6,롯데,마산,,-
05.15(화),18:30,SK,8,4,LG,잠실,,-
05.15(화),18:30,KIA,8,3,현대,수원,,-
05.15(화),18:30,삼성,6,1,한화,대전,,-
05.17(목),18:30,두산,2,4,롯데,마산,,-
05.17(목),18:30,SK,5,6,LG,잠실,,-
05.17(목),18:30,KIA,4,3,현대,수원,,-
05.17(목),18:30,삼성,3,0,한화,대전,,-
05.18(금),18:00,LG,1,0,삼성,시민,,-
05.18(금),18:30,KIA,3,7,두산,잠실,,-
05.18(금),18:30,현대,1,4,SK,문학,,-
05.18(금),18:30,한화,8,6,롯데,사직,,-
05.19(토),17:00,LG,5,3,삼성,시민,,-
05.19(토),17:00,KIA,6,0,두산,잠실,,-
05.19(토),17:00,현대,4,5,SK,문학,,-
05.19(토),17:00,한화,2,1,롯데,사직,,-
05.20(일),13:30,한화,4,1,롯데,사직,,-
05.20(일),14:00,LG,0,9,삼성,시민,,-
05.20(일),14:00,KIA,3,6,두산,잠실,,-
05.20(일),14:00,현대,2,3,SK,문학,,-
05.22(화),18:00,SK,3,9,삼성,시민,,-
05.22(화),18:30,롯데,9,10,KIA,무등,,-
05.22(화),18:30,두산,5,6,LG,잠실,,-
05.22(화),18:30,현대,6,10,한화,청주,,-
05.23(수),18:00,SK,1,1,삼성,시민,,-
05.23(수),18:30,롯데,7,3,KIA,무등,,-
05.23(수),18:30,두산,15,1,LG,잠실,,-
05.23(수),18:30,현대,2,6,한화,청주,,-
05.24(목),14:00,롯데,5,2,KIA,무등,,-
05.24(목),14:00,SK,6,9,삼성,시민,,-
05.24(목),14:00,현대,8,4,한화,청주,,-
05.25(금),18:30,롯데,4,9,LG,잠실,,-
05.25(금),18:30,KIA,6,5,SK,문학,,-
05.25(금),18:30,삼성,2,3,현대,수원,,-
05.25(금),18:30,두산,3,5,한화,대전,,-
05.26(토),17:00,롯데,4,4,LG,잠실,,-
05.26(토),17:00,KIA,3,7,SK,문학,,-
05.26(토),17:00,삼성,3,1,현대,수원,,-
05.26(토),17:00,두산,3,1,한화,대전,,-
05.27(일),14:00,롯데,6,0,LG,잠실,,-
05.27(일),14:00,KIA,4,4,SK,문학,,-
05.27(일),14:00,삼성,1,3,현대,수원,,-
05.27(일),14:00,두산,6,5,한화,대전,,-
05.29(화),18:00,LG,5,0,삼성,시민,,-
05.29(화),18:30,현대,5,2,KIA,무등,,-
05.29(화),18:30,SK,0,7,두산,잠실,,-
05.29(화),18:30,한화,9,4,롯데,사직,,-
05.30(수),18:00,LG,2,8,삼성,시민,,-
05.30(수),18:30,현대,4,1,KIA,무등,,-
05.30(수),18:30,SK,3,4,두산,잠실,,-
05.30(수),18:30,한화,9,2,롯데,사직,,-
05.31(목),18:00,LG,7,6,삼성,시민,,-
05.31(목),18:30,현대,0,3,KIA,무등,,-
05.31(목),18:30,SK,4,5,두산,잠실,,-
05.31(목),18:30,한화,5,2,롯데,사직,,-
