날짜,시간,경기종류,장소,홈팀,홈점수,원정팀,원정점수,중계채널
2025-10-05,14:00,KBL컵대회,제천체육관,상무,80,삼성,87,"tvN SPORTS, TVING"
2025-10-05,16:00,KBL컵대회,제천체육관,소노,74,현대모비스,90,"tvN SPORTS, TVING"
2025-10-06,14:00,KBL컵대회,제천체육관,KT,84,KCC,74,"tvN SPORTS, TVING"
2025-10-06,16:00,KBL컵대회,제천체육관,SK,81,DB,107,"tvN SPORTS, TVING"
2025-10-07,14:00,KBL컵대회,제천체육관,정관장,77,소노,83,"tvN SPORTS, TVING"
2025-10-07,16:00,KBL컵대회,제천체육관,한국가스공사,76,상무,64,"tvN SPORTS, TVING"
2025-10-08,14:00,KBL컵대회,제천체육관,LG,65,KT,76,"tvN SPORTS, TVING"
2025-10-08,16:00,KBL컵대회,제천체육관,DB,75,SK,84,"tvN SPORTS, TVING"
2025-10-09,14:00,KBL컵대회,제천체육관,삼성,73,한국가스공사,88,"tvN SPORTS, TVING"
2025-10-09,16:00,KBL컵대회,제천체육관,현대모비스,92,정관장,70,"tvN SPORTS, TVING"
2025-10-10,14:00,KBL컵대회,제천체육관,KCC,92,LG,88,"tvN SPORTS, TVING"
2025-10-12,14:00,KBL컵대회,제천체육관,현대모비스,75,DB,81,"tvN SPORTS, TVING"
2025-10-12,16:00,KBL컵대회,제천체육관,한국가스공사,68,KT,75,"tvN SPORTS, TVING"
2025-10-13,14:00,KBL컵대회,제천체육관,DB,77,KT,67,"tvN SPORTS, TVING"
2025-10-19,14:00,정규시즌,부산사직체육관,KCC,77,KT,72,"tvN SPORTS, TVING"
2025-10-19,14:00,정규시즌,원주종합체육관,DB,88,삼성,83,"IB SPORTS, TVING"
2025-10-19,16:00,정규시즌,창원체육관,LG,70,한국가스공사,67,"tvN SPORTS, TVING"
2025-10-20,14:00,정규시즌,수원 KT 아레나,KT,72,삼성,63,"tvN SPORTS, TVING"
2025-10-20,14:00,정규시즌,잠실학생체육관,SK,95,정관장,71,"IB SPORTS, TVING"
2025-10-20,16:00,정규시즌,울산동천체육관,현대모비스,82,소노,100,"tvN SPORTS, TVING"
2025-10-21,19:00,정규시즌,창원체육관,LG,89,KCC,84,"tvN SPORTS, TVING"
2025-10-22,19:00,정규시즌,잠실학생체육관,SK,77,DB,72,"tvN SPORTS, TVING"
2025-10-23,19:00,정규시즌,부산사직체육관,KCC,69,소노,79,"tvN SPORTS, TVING"
2025-10-24,19:00,정규시즌,원주종합체육관,DB,62,한국가스공사,92,"tvN SPORTS, TVING"
2025-10-24,19:00,정규시즌,창원체육관,LG,82,정관장,75,"IB SPORTS, TVING"
2025-10-25,19:00,정규시즌,부산사직체육관,KCC,76,현대모비스,96,"tvN SPORTS, TVING"
2025-10-25,19:00,정규시즌,수원 KT 아레나,KT,77,SK,75,"IB SPORTS, TVING"
2025-10-26,14:00,정규시즌,대구체육관,한국가스공사,76,삼성,70,"IB SPORTS, TVING"
2025-10-26,14:00,정규시즌,고양 소노 아레나,소노,82,LG,77,"tvN SPORTS, TVING"
2025-10-26,16:00,정규시즌,안양 정관장 아레나,정관장,68,DB,60,"tvN SPORTS, TVING"
2025-10-27,14:00,정규시즌,잠실실내체육관,삼성,73,SK,76,"IB SPORTS, TVING"
2025-10-27,14:00,정규시즌,수원 KT 아레나,KT,89,현대모비스,91,"tvN SPORTS, TVING"
2025-10-27,16:00,정규시즌,원주종합체육관,DB,70,KCC,77,"tvN SPORTS, TVING"
2025-10-28,19:00,정규시즌,고양 소노 아레나,소노,83,정관장,70,"tvN SPORTS, TVING"
2025-10-29,19:00,정규시즌,잠실실내체육관,삼성,73,KCC,77,"TVING"
2025-10-30,19:00,정규시즌,안양 정관장 아레나,정관장,64,한국가스공사,97,"tvN SPORTS, TVING"
2025-10-31,19:00,정규시즌,고양 소노 아레나,소노,61,KT,69,"tvN SPORTS, TVING"
2025-10-31,19:00,정규시즌,잠실실내체육관,삼성,80,현대모비스,83,"IB SPORTS, TVING"
