일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
09.02(화),18:30,넥센,,,LG,잠실,KN-T,우천취소
09.02(화),18:30,한화,7,7,SK,문학,XTM-T; SPO-T,-
09.02(화),18:30,NC,10,10,삼성,대구,MS-T,-
09.02(화),18:30,두산,,,KIA,광주,SS-T; IB-T,우천취소
09.03(수),18:30,넥센,,,LG,잠실,KN-T,우천취소
09.03(수),18:30,한화,,,SK,문학,XTM-T; SPO-T,우천취소
09.03(수),18:30,NC,,,삼성,대구,MS-T,우천취소
09.03(수),18:30,두산,,,KIA,광주,SS-T; IB-T,우천취소
09.04(목),18:30,NC,5,13,넥센,목동,KN-T,-
09.04(목),18:30,두산,3,3,LG,잠실,XTM-T; SPO-T,-
09.04(목),18:30,롯데,6,4,SK,문학,SS-T; IB-T,-
09.04(목),18:30,한화,0,4,삼성,대구,MS-T,-
09.05(금),18:10,두산,3,5,LG,잠실,K-2T,-
09.05(금),18:30,NC,1,10,넥센,목동,KN-T; SS-T,-
09.05(금),18:30,롯데,3,12,SK,문학,MS-T,-
09.05(금),18:30,한화,0,8,삼성,대구,XTM-T; SPO-T,-
09.06(토),17:00,KIA,9,0,NC,마산,MS-T,-
09.06(토),17:00,롯데,10,5,넥센,목동,XTM-T; SPO-T,-
09.06(토),17:00,SK,7,2,두산,잠실,SS-T; IB-T,-
09.06(토),17:00,LG,5,9,한화,대전,KN-T,-
09.07(일),14:00,KIA,3,6,NC,마산,MS-T,-
09.07(일),14:00,롯데,6,7,넥센,목동,XTM-T; SPO-T,-
09.07(일),14:00,SK,12,3,두산,잠실,SS-T; IB-T,-
09.07(일),14:00,LG,3,5,한화,대전,KN-T,-
09.09(화),14:00,한화,8,13,넥센,목동,MS-T,-
09.09(화),14:00,삼성,3,6,NC,마산,KN-T,-
09.09(화),14:00,SK,10,8,롯데,사직,XTM-T; SPO-T,-
09.09(화),14:00,LG,7,10,KIA,광주,SS-T; IB-T,-
09.10(수),14:00,한화,2,4,넥센,목동,MS-T,-
09.10(수),14:00,삼성,4,2,NC,마산,KN-T,-
09.10(수),14:00,SK,5,11,롯데,사직,XTM-T; SPO-T,-
09.10(수),14:00,LG,12,6,KIA,광주,SS-T; IB-T,-
09.11(목),18:30,롯데,5,1,NC,마산,SS-T; IB-T,-
09.11(목),18:30,한화,6,11,두산,잠실,KN-T,-
09.11(목),18:30,넥센,2,11,SK,문학,XTM-T; SPO-T,-
09.11(목),18:30,KIA,4,5,삼성,대구,MS-T,-
09.12(금),18:30,롯데,0,6,NC,마산,SS-T; IB-T,-
09.12(금),18:30,한화,1,6,두산,잠실,KN-T,-
09.12(금),18:30,넥센,0,3,SK,문학,XTM-T; SPO-T,-
09.12(금),18:30,KIA,4,14,삼성,대구,MS-T,-
09.13(토),17:00,삼성,0,1,LG,잠실,MS-T,-
09.13(토),17:00,NC,11,4,SK,문학,SS-T; IB-T,-
09.13(토),17:00,두산,4,3,롯데,사직,KN-T,-
09.13(토),17:00,KIA,3,1,한화,대전,XTM-T; SPO-T,-
09.14(일),14:00,삼성,3,12,LG,잠실,KN-T,-
09.14(일),14:00,NC,3,5,SK,문학,SS-T; IB-T,-
09.14(일),14:00,두산,3,4,롯데,사직,XTM-T; SPO-T,-
09.14(일),14:00,KIA,6,10,한화,대전,MS-T,-
