일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
10.02(화),18:30,KT,6,10,LG,잠실,KN-T; MS-T,-
10.02(화),18:30,롯데,8,6,SK,문학,SPO-T; SPO-2T,-
10.02(화),18:30,NC,6,5,KIA,광주,SS-T; G-CMB,-
10.03(수),14:00,KT,4,3,LG,잠실,KN-T; MS-T,-
10.03(수),14:00,KIA,5,20,삼성,대구,SS-T,-
10.03(수),14:00,롯데,6,7,한화,대전,SPO-T; SPO-2T; D-CMB,-
10.04(목),18:30,KIA,7,3,SK,문학,KN-T; SS-T,-
10.04(목),18:30,롯데,7,2,한화,대전,MS-T; SPO-T; SPO-2T; D-CMB,-
10.05(금),18:30,KIA,,,SK,문학,KN-T; MS-T,우천취소
10.05(금),18:30,두산,,,롯데,사직,SS-T; SPO-T; SPO-2T,우천취소
10.06(토),15:00,KIA,8,4,SK,문학,KN-T; SS-T; SPO-2T,-
10.06(토),17:00,넥센,5,6,NC,마산,SPO-T,-
10.06(토),17:00,LG,3,1,두산,잠실,KN-T,-
10.06(토),17:00,한화,5,8,롯데,사직,MS-T,-
10.06(토),17:00,삼성,1,6,KT,수원,SS-T,-
10.06(토),,KIA,5,7,SK,문학,,-
10.07(일),14:00,롯데,8,2,NC,마산,KN-T; SS-T; SPO-T,-
10.07(일),14:00,KIA,4,7,두산,잠실,MS-T; SPO-2T,-
10.09(화),14:00,삼성,8,4,SK,문학,MS-T; SPO-T; SPO-2T,-
10.09(화),14:00,KIA,10,11,롯데,사직,S-T,-
10.09(화),14:00,한화,10,6,KT,수원,KN-T; SS-T,-
10.10(수),15:00,KT,10,1,롯데,사직,KN-T; MS-T; SS-T; SPO-T; SPO-2T,-
10.10(수),18:22,KT,7,0,롯데,사직,SS-T; SPO-T,-
10.10(수),18:30,SK,12,5,두산,잠실,KN-T; SPO-2T,-
10.10(수),18:30,한화,1,6,KIA,광주,MS-T; G-CMB,-
10.11(목),18:30,SK,3,8,두산,잠실,KN-T; MS-T; SS-T,-
10.11(목),18:30,롯데,4,0,KIA,광주,SPO-T; SPO-2T; G-CMB,-
10.12(금),18:30,NC,2,13,두산,잠실,MS-T; SPO-2T,-
10.12(금),18:30,넥센,10,5,KT,수원,KN-T,-
10.12(금),18:30,롯데,4,6,KIA,광주,SPO-T; G-CMB,-
10.13(토),17:00,KT,4,3,두산,잠실,SPO-2T,-
10.13(토),17:00,LG,3,2,SK,문학,SS-T,-
10.13(토),17:00,넥센,5,12,삼성,대구,KN-T,-
10.13(토),17:00,롯데,5,1,KIA,광주,SPO-T,-
10.13(토),17:00,NC,8,10,한화,대전,MS-T; D-CMB,-
10.14(일),14:00,두산,5,1,롯데,사직,SPO-2T,-
