일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
06.02(화),18:30,두산,9,3,KIA,무등,,-
06.02(화),18:30,히어로즈,2,9,삼성,시민,,-
06.02(화),18:30,한화,11,10,LG,잠실,,-
06.02(화),18:30,롯데,2,3,SK,문학,,-
06.03(수),18:30,두산,2,5,KIA,무등,,-
06.03(수),18:30,히어로즈,2,10,삼성,시민,,-
06.03(수),18:30,한화,11,10,LG,잠실,,-
06.03(수),18:30,롯데,1,2,SK,문학,,-
06.04(목),18:30,두산,5,4,KIA,무등,,-
06.04(목),18:30,히어로즈,5,6,삼성,시민,,-
06.04(목),18:30,한화,4,0,LG,잠실,,-
06.04(목),18:30,롯데,9,4,SK,문학,,-
06.05(금),18:30,LG,8,7,히어로즈,목동,,-
06.05(금),18:30,삼성,1,3,KIA,무등,,-
06.05(금),18:30,롯데,7,8,두산,잠실,,-
06.05(금),18:30,SK,3,4,한화,대전,,-
06.06(토),17:00,LG,4,11,히어로즈,목동,,-
06.06(토),17:00,삼성,1,2,KIA,무등,,-
06.06(토),17:00,롯데,8,0,두산,잠실,,-
06.06(토),17:00,SK,14,5,한화,대전,,-
06.07(일),17:00,LG,1,7,히어로즈,목동,,-
06.07(일),17:00,삼성,3,4,KIA,무등,,-
06.07(일),17:00,롯데,1,0,두산,잠실,,-
06.07(일),17:00,SK,5,4,한화,대전,,-
06.09(화),18:30,LG,0,4,두산,잠실,,-
06.09(화),18:30,삼성,5,3,SK,문학,,-
06.09(화),18:30,한화,3,9,롯데,사직,,-
06.10(수),18:30,KIA,2,4,히어로즈,목동,,-
06.10(수),18:30,LG,8,0,두산,잠실,,-
06.10(수),18:30,삼성,5,7,SK,문학,,-
06.10(수),18:30,한화,0,5,롯데,사직,,-
06.11(목),18:30,KIA,9,6,히어로즈,목동,,-
06.11(목),18:30,LG,3,4,두산,잠실,,-
06.11(목),18:30,삼성,5,3,SK,문학,,-
06.11(목),18:30,한화,6,12,롯데,사직,,-
06.12(금),18:30,한화,6,16,KIA,무등,,-
06.12(금),18:30,두산,15,3,삼성,시민,,-
06.12(금),18:30,SK,7,6,LG,잠실,,-
06.12(금),18:30,히어로즈,9,13,롯데,사직,,-
06.13(토),17:00,한화,8,3,KIA,무등,,-
06.13(토),17:00,두산,17,5,삼성,시민,,-
06.13(토),17:00,SK,2,3,LG,잠실,,-
06.13(토),17:00,히어로즈,7,0,롯데,사직,,-
06.14(일),17:00,한화,2,5,KIA,무등,,-
06.14(일),17:00,두산,5,1,삼성,시민,,-
06.14(일),17:00,SK,3,5,LG,잠실,,-
06.14(일),17:00,히어로즈,15,5,롯데,사직,,-
06.16(화),18:30,롯데,2,10,삼성,시민,,-
06.16(화),18:30,SK,3,6,히어로즈,목동,,-
06.16(화),18:30,KIA,2,1,두산,잠실,,-
06.16(화),18:30,LG,6,3,한화,대전,,-
06.17(수),18:30,롯데,1,0,삼성,시민,,-
06.17(수),18:30,SK,6,5,히어로즈,목동,,-
06.17(수),18:30,KIA,4,5,두산,잠실,,-
06.17(수),18:30,LG,4,12,한화,대전,,-
06.18(목),18:30,롯데,9,6,삼성,시민,,-
06.18(목),18:30,SK,1,6,히어로즈,목동,,-
06.18(목),18:30,KIA,4,2,두산,잠실,,-
06.18(목),18:30,LG,12,6,한화,대전,,-
06.19(금),18:30,한화,4,1,히어로즈,목동,,-
06.19(금),18:30,삼성,4,5,LG,잠실,,-
06.19(금),18:30,두산,4,8,SK,문학,,-
06.19(금),18:30,KIA,3,6,롯데,사직,,-
06.20(토),17:00,KIA,1,7,롯데,사직,,-
06.21(일),14:00,한화,6,9,히어로즈,목동,,-
06.21(일),14:00,삼성,1,8,LG,잠실,,-
06.21(일),14:00,두산,11,2,SK,문학,,-
06.21(일),14:00,한화,5,8,히어로즈,목동,,-
06.21(일),14:00,삼성,5,6,LG,잠실,,-
06.21(일),14:00,두산,3,8,SK,문학,,-
06.21(일),17:00,KIA,7,4,롯데,사직,,-
06.23(화),18:30,한화,2,3,삼성,시민,,-
06.23(화),18:30,SK,11,1,KIA,무등,,-
06.23(화),18:30,히어로즈,11,8,LG,잠실,,-
06.23(화),18:30,두산,3,7,롯데,사직,,-
06.24(수),18:30,한화,7,9,삼성,시민,,-
06.24(수),18:30,SK,3,3,KIA,무등,,-
06.24(수),18:30,히어로즈,2,6,LG,잠실,,-
06.24(수),18:30,두산,5,4,롯데,사직,,-
06.25(목),18:30,한화,5,10,삼성,시민,,-
06.25(목),18:30,SK,5,6,KIA,무등,,-
06.25(목),18:30,히어로즈,2,1,LG,잠실,,-
06.25(목),18:30,두산,1,4,롯데,사직,,-
06.26(금),18:30,히어로즈,3,0,KIA,무등,,-
06.26(금),18:30,삼성,4,5,두산,잠실,,-
06.26(금),18:30,LG,3,6,SK,문학,,-
06.26(금),18:30,롯데,6,4,한화,대전,,-
06.27(토),17:00,히어로즈,10,2,KIA,무등,,-
06.27(토),17:00,삼성,12,7,두산,잠실,,-
06.27(토),17:00,LG,1,3,SK,문학,,-
06.27(토),17:00,롯데,4,3,한화,대전,,-
06.28(일),17:00,히어로즈,1,5,KIA,무등,,-
06.28(일),17:00,삼성,6,2,두산,잠실,,-
06.28(일),17:00,LG,2,8,SK,문학,,-
06.28(일),17:00,롯데,2,0,한화,대전,,-
06.30(화),18:30,두산,4,3,히어로즈,목동,,-
06.30(화),18:30,롯데,5,6,LG,잠실,,-
06.30(화),18:30,한화,2,4,SK,문학,,-
