MATCH_SEQ_NO,MATCH_DE,HOME_TEAM_NM,AWAY_TEAM_NM,STDM_NM,SPORTS_VIEWNG_NMPR_CO
149,20230511,KT,NC,수원,3934.0
150,20230511,롯데,두산,사직,13350.0
151,20230511,KIA,SSG,광주,8898.0
152,20230511,한화,삼성,한밭,6007.0
153,20230511,LG,키움,잠실,11773.0
154,20230512,SSG,한화,문학,14395.0
155,20230512,두산,KIA,잠실,20563.0
156,20230512,삼성,LG,대구,13765.0
157,20230512,KT,롯데,수원,10937.0
158,20230512,키움,NC,고척,3866.0
159,20230513,SSG,한화,문학,23000.0
160,20230513,두산,KIA,잠실,23750.0
161,20230513,삼성,LG,대구,21817.0
162,20230513,KT,롯데,수원,18700.0
163,20230513,키움,NC,고척,6573.0
164,20230514,SSG,한화,문학,20757.0
165,20230514,두산,KIA,잠실,23750.0
166,20230514,삼성,LG,대구,18569.0
167,20230514,KT,롯데,수원,15470.0
168,20230514,키움,NC,고척,5634.0
169,20230516,삼성,KIA,대구,9112.0
170,20230516,LG,KT,잠실,8567.0
171,20230516,한화,롯데,한밭,6138.0
172,20230516,키움,두산,고척,5662.0
173,20230516,NC,SSG,창원,4113.0
174,20230517,삼성,KIA,대구,10979.0
175,20230517,LG,KT,잠실,9838.0
176,20230517,한화,롯데,한밭,6269.0
177,20230517,키움,두산,고척,5232.0
178,20230517,NC,SSG,창원,4344.0
179,20230518,LG,KT,잠실,9155.0
180,20230518,한화,롯데,한밭,6116.0
181,20230518,키움,두산,고척,5742.0
182,20230519,LG,한화,잠실,19798.0
183,20230519,KT,두산,수원,6817.0
184,20230519,롯데,SSG,사직,19011.0
185,20230519,NC,삼성,창원,8493.0
186,20230519,KIA,키움,광주,11290.0
187,20230520,LG,한화,잠실,23750.0
188,20230520,KT,두산,수원,13253.0
189,20230520,롯데,SSG,사직,22990.0
190,20230520,NC,삼성,창원,14870.0
191,20230520,KIA,키움,광주,19030.0
192,20230521,LG,한화,잠실,22054.0
193,20230521,KT,두산,수원,10521.0
194,20230521,롯데,SSG,사직,22990.0
195,20230521,NC,삼성,창원,10910.0
196,20230521,KIA,키움,광주,14617.0
197,20230523,한화,KIA,한밭,6376.0
198,20230523,SSG,LG,문학,12508.0
199,20230523,롯데,NC,사직,15047.0
200,20230523,두산,삼성,잠실,10733.0
201,20230523,KT,키움,수원,4203.0
202,20230524,한화,KIA,한밭,7004.0
203,20230524,SSG,LG,문학,16829.0
204,20230524,롯데,NC,사직,14244.0
205,20230524,두산,삼성,잠실,11108.0
206,20230524,KT,키움,수원,5173.0
207,20230525,한화,KIA,한밭,8186.0
208,20230525,SSG,LG,문학,17575.0
209,20230525,롯데,NC,사직,15221.0
210,20230525,두산,삼성,잠실,11005.0
211,20230525,KT,키움,수원,5235.0
212,20230526,NC,한화,창원,5952.0
213,20230526,삼성,KT,대구,12874.0
214,20230526,KIA,LG,광주,10954.0
215,20230526,키움,롯데,고척,11692.0
216,20230526,두산,SSG,잠실,10428.0
217,20230527,NC,한화,창원,9558.0
218,20230527,삼성,KT,대구,17305.0
219,20230527,KIA,LG,광주,17931.0
220,20230527,키움,롯데,고척,16000.0
221,20230528,삼성,KT,대구,14523.0
222,20230528,KIA,LG,광주,17015.0
223,20230528,키움,롯데,고척,16000.0
224,20230530,KIA,KT,광주,5352.0
225,20230530,LG,롯데,잠실,20330.0
226,20230530,NC,두산,창원,3180.0
227,20230530,SSG,삼성,문학,10232.0
228,20230530,한화,키움,한밭,4486.0
