일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
06.01(화),18:30,KT,8,1,LG,잠실,MS-T,-
06.01(화),18:30,삼성,0,1,SSG,문학,SPO-T,-
06.01(화),18:30,두산,4,3,NC,창원,KN-T,-
06.01(화),18:30,롯데,3,0,키움,고척,SS-T,-
06.01(화),18:30,KIA,1,9,한화,대전,SPO-2T; D-CMB,-
06.02(수),18:30,KT,5,6,LG,잠실,MS-T,-
06.02(수),18:30,삼성,8,7,SSG,문학,SPO-T,-
06.02(수),18:30,두산,5,9,NC,창원,KN-T,-
06.02(수),18:30,롯데,4,2,키움,고척,SS-T,-
06.02(수),18:30,KIA,5,3,한화,대전,D-CMB,-
06.03(목),18:30,KT,,,LG,잠실,MS-T,우천취소
06.03(목),18:30,삼성,,,SSG,문학,SPO-T,우천취소
06.03(목),18:30,두산,,,NC,창원,KN-T,우천취소
06.03(목),18:30,롯데,4,9,키움,고척,SS-T,-
06.03(목),18:30,KIA,,,한화,대전,D-CMB,우천취소
06.04(금),18:30,SSG,2,3,두산,잠실,SPO-T,-
06.04(금),18:30,롯데,15,0,KT,수원,SS-T,-
06.04(금),18:30,LG,3,4,KIA,광주,KN-T; G-CMB,-
06.04(금),18:30,삼성,6,3,키움,고척,SPO-2T,-
06.04(금),19:00,한화,3,6,NC,창원,MS-T,-
06.05(토),17:00,SSG,5,8,두산,잠실,SPO-T,-
06.05(토),17:00,한화,1,6,NC,창원,MS-T,-
06.05(토),17:00,롯데,1,8,KT,수원,SS-T,-
06.05(토),17:00,LG,8,2,KIA,광주,KN-T; G-CMB,-
06.05(토),17:00,삼성,2,6,키움,고척,,-
06.06(일),17:00,SSG,4,1,두산,잠실,SPO-T,-
06.06(일),17:00,한화,13,10,NC,창원,MS-T,-
06.06(일),17:00,롯데,8,7,KT,수원,SS-T,-
06.06(일),17:00,LG,10,0,KIA,광주,KN-T; G-CMB,-
06.06(일),17:00,삼성,3,1,키움,고척,,-
06.08(화),18:30,NC,1,2,LG,잠실,SPO-2T,-
06.08(화),18:30,KT,4,2,SSG,문학,SPO-T,-
06.08(화),18:30,두산,9,18,롯데,사직,KN-T,-
06.08(화),18:30,KIA,0,7,삼성,대구,MS-T,-
06.08(화),18:30,키움,2,4,한화,대전,SS-T; D-CMB,-
