일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
04.01(토),14:00,한화,6,5,두산,잠실,S-T,-
04.01(토),14:00,KIA,9,7,삼성,대구,K-2T,-
04.01(토),14:00,LG,8,3,넥센,고척,M-T,-
04.01(토),17:00,롯데,3,0,NC,마산,KN-T; MS-T,-
04.01(토),17:00,KT,2,0,SK,문학,SPO-T,-
04.02(일),14:00,롯데,12,4,NC,마산,SS-T,-
04.02(일),14:00,한화,4,5,두산,잠실,MS-T,-
04.02(일),14:00,KT,8,1,SK,문학,,-
04.02(일),14:00,KIA,3,16,삼성,대구,KN-T,-
04.02(일),14:00,LG,9,2,넥센,고척,SPO-T,-
04.04(화),18:30,삼성,0,11,LG,잠실,,-
04.04(화),18:30,넥센,2,5,롯데,사직,SS-T,-
04.04(화),18:30,SK,1,6,KIA,광주,KN-T,-
04.04(화),18:30,NC,0,6,한화,대전,MS-T,-
04.04(화),19:00,두산,2,0,KT,수원,SPO-T,-
04.05(수),18:30,삼성,,,LG,잠실,,우천취소
04.05(수),18:30,넥센,,,롯데,사직,SS-T,우천취소
04.05(수),18:30,두산,,,KT,수원,SPO-T,우천취소
04.05(수),18:30,SK,,,KIA,광주,KN-T,우천취소
04.05(수),18:30,NC,,,한화,대전,MS-T,우천취소
04.06(목),18:30,삼성,0,4,LG,잠실,,-
04.06(목),18:30,넥센,3,12,롯데,사직,SS-T,-
04.06(목),18:30,두산,1,5,KT,수원,SPO-T,-
04.06(목),18:30,SK,4,6,KIA,광주,KN-T,-
04.06(목),18:30,NC,5,2,한화,대전,MS-T,-
04.07(금),18:30,넥센,7,3,두산,잠실,SS-T,-
04.07(금),18:30,NC,5,3,SK,문학,SPO-T,-
04.07(금),18:30,LG,6,4,롯데,사직,KN-T,-
04.07(금),18:30,삼성,2,3,KT,수원,MS-T,-
04.07(금),18:30,한화,2,4,KIA,광주,,-
04.08(토),17:00,넥센,13,10,두산,잠실,SS-T,-
04.08(토),17:00,NC,2,9,SK,문학,SPO-T,-
04.08(토),17:00,LG,6,8,롯데,사직,KN-T,-
04.08(토),17:00,삼성,0,1,KT,수원,MS-T,-
04.08(토),17:00,한화,4,3,KIA,광주,,-
04.09(일),14:00,넥센,13,2,두산,잠실,SS-T,-
04.09(일),14:00,NC,5,8,SK,문학,SPO-T,-
04.09(일),14:00,LG,1,7,롯데,사직,KN-T,-
04.09(일),14:00,삼성,0,3,KT,수원,MS-T,-
04.09(일),14:00,한화,2,3,KIA,광주,,-
04.11(화),18:30,LG,3,4,NC,마산,MS-T,-
04.11(화),18:30,KIA,4,16,두산,잠실,,-
04.11(화),18:30,롯데,6,4,SK,문학,KN-T,-
04.11(화),18:30,한화,11,8,삼성,대구,SPO-T,-
04.11(화),18:30,KT,2,12,넥센,고척,SS-T,-
04.12(수),18:30,LG,0,5,NC,마산,MS-T,-
04.12(수),18:30,KIA,8,4,두산,잠실,,-
04.12(수),18:30,롯데,1,2,SK,문학,KN-T,-
04.12(수),18:30,한화,5,3,삼성,대구,SPO-T,-
04.12(수),18:30,KT,3,5,넥센,고척,SS-T,-
04.13(목),18:30,LG,1,3,NC,마산,MS-T,-
04.13(목),18:30,KIA,4,3,두산,잠실,,-
04.13(목),18:30,롯데,10,11,SK,문학,KN-T,-
04.13(목),18:30,한화,1,5,삼성,대구,SPO-T,-
04.13(목),18:30,KT,7,6,넥센,고척,SS-T,-
04.14(금),18:30,두산,10,6,NC,마산,MS-T,-
04.14(금),18:30,KT,2,5,LG,잠실,SS-T,-
04.14(금),18:30,삼성,6,9,롯데,사직,SPO-T,-
04.14(금),18:30,넥센,2,3,KIA,광주,KN-T; G-CMB,-
04.14(금),18:30,SK,6,2,한화,대전,D-CMB,-
04.15(토),17:00,두산,11,2,NC,마산,MS-T,-
04.15(토),17:00,KT,1,0,LG,잠실,SS-T,-
04.15(토),17:00,삼성,4,6,롯데,사직,SPO-T,-
04.15(토),17:00,넥센,2,5,KIA,광주,KN-T; G-CMB,-
04.15(토),17:00,SK,12,4,한화,대전,D-CMB,-
04.16(일),14:00,두산,0,4,NC,마산,MS-T,-
04.16(일),14:00,KT,5,12,LG,잠실,SS-T,-
04.16(일),14:00,삼성,3,0,롯데,사직,SPO-T,-
04.16(일),14:00,넥센,6,7,KIA,광주,KN-T; G-CMB,-
04.16(일),14:00,SK,10,1,한화,대전,D-CMB,-
04.18(화),18:30,삼성,3,3,두산,잠실,KN-T,-
04.18(화),18:30,넥센,4,7,SK,문학,MS-T,-
04.18(화),18:30,NC,8,3,롯데,사직,,-
04.18(화),18:30,KIA,5,0,KT,수원,SPO-T,-
04.18(화),18:30,LG,2,3,한화,대전,SS-T; D-CMB,-
04.19(수),18:30,삼성,1,2,두산,잠실,KN-T,-
04.19(수),18:30,넥센,3,5,SK,문학,MS-T,-
04.19(수),18:30,NC,8,2,롯데,사직,,-
04.19(수),18:30,KIA,1,3,KT,수원,SPO-T,-
04.19(수),18:30,LG,0,3,한화,대전,SS-T; D-CMB,-
04.20(목),18:30,삼성,2,4,두산,잠실,KN-T,-
04.20(목),18:30,넥센,5,3,SK,문학,MS-T,-
04.20(목),18:30,NC,5,4,롯데,사직,,-
04.20(목),18:30,KIA,9,2,KT,수원,SPO-T,-
04.20(목),18:30,LG,4,3,한화,대전,SS-T; D-CMB,-
04.21(금),18:30,KIA,2,6,LG,잠실,SS-T,-
04.21(금),18:30,두산,4,9,SK,문학,MS-T,-
04.21(금),18:30,NC,4,4,삼성,대구,KN-T,-
04.21(금),18:30,한화,7,2,KT,수원,SPO-T,-
04.21(금),18:30,롯데,1,4,넥센,고척,,-
04.22(토),17:00,KIA,5,4,LG,잠실,SS-T,-
04.22(토),17:00,두산,4,8,SK,문학,MS-T,-
04.22(토),17:00,NC,14,6,삼성,대구,KN-T,-
04.22(토),17:00,한화,9,11,KT,수원,SPO-T,-
04.22(토),17:00,롯데,3,2,넥센,고척,,-
04.23(일),14:00,KIA,1,7,LG,잠실,SS-T,-
04.23(일),14:00,두산,8,4,SK,문학,MS-T,-
04.23(일),14:00,NC,6,3,삼성,대구,KN-T,-
04.23(일),14:00,한화,14,1,KT,수원,SPO-T,-
04.23(일),14:00,롯데,5,6,넥센,고척,,-
04.25(화),18:30,KT,1,2,NC,마산,KN-T,-
04.25(화),18:30,SK,8,3,LG,잠실,SPO-T,-
04.25(화),18:30,한화,2,4,롯데,사직,SS-T,-
04.25(화),18:30,삼성,3,11,KIA,광주,MS-T; G-CMB,-
04.25(화),18:30,두산,9,13,넥센,고척,,-
04.26(수),18:30,KT,4,11,NC,마산,KN-T,-
04.26(수),18:30,SK,0,9,LG,잠실,SPO-T,-
04.26(수),18:30,한화,2,8,롯데,사직,SS-T,-
04.26(수),18:30,삼성,0,7,KIA,광주,MS-T; G-CMB,-
04.26(수),18:30,두산,4,3,넥센,고척,,-
04.27(목),18:30,KT,0,3,NC,마산,KN-T,-
04.27(목),18:30,SK,2,4,LG,잠실,SPO-T,-
04.27(목),18:30,한화,6,1,롯데,사직,SS-T,-
04.27(목),18:30,삼성,9,16,KIA,광주,MS-T; G-CMB,-
04.27(목),18:30,두산,3,7,넥센,고척,,-
04.28(금),18:30,롯데,0,2,두산,잠실,SPO-T,-
04.28(금),18:30,SK,7,5,삼성,대구,,-
04.28(금),18:30,LG,2,1,KT,수원,KN-T,-
04.28(금),18:30,NC,3,9,KIA,광주,MS-T; G-CMB,-
04.28(금),18:30,넥센,13,2,한화,대전,SS-T; D-CMB,-
04.29(토),17:00,롯데,3,5,두산,잠실,SPO-T,-
04.29(토),17:00,SK,5,12,삼성,대구,,-
04.29(토),17:00,LG,0,6,KT,수원,KN-T,-
04.29(토),17:00,NC,8,6,KIA,광주,MS-T; G-CMB,-
04.29(토),17:00,넥센,7,3,한화,대전,SS-T; D-CMB,-
04.30(일),14:00,롯데,6,0,두산,잠실,SPO-T,-
04.30(일),14:00,SK,13,2,삼성,대구,,-
04.30(일),14:00,LG,7,5,KT,수원,KN-T,-
04.30(일),14:00,NC,12,1,KIA,광주,MS-T; G-CMB,-
04.30(일),14:00,넥센,5,4,한화,대전,SS-T; D-CMB,-
