일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
05.01(목),18:30,LG,5,10,NC,마산,KN-T,-
05.01(목),18:30,넥센,2,1,두산,잠실,SS-T; IB-T,-
05.01(목),18:30,SK,2,20,KIA,광주,MS-T,-
05.01(목),18:30,롯데,0,3,한화,대전,XTM-T; SPO-T,-
05.03(토),17:00,두산,8,3,LG,잠실,SS-T; IB-T,-
05.03(토),17:00,롯데,6,5,SK,문학,XTM-T; SPO-T,-
05.03(토),17:00,NC,6,1,삼성,대구,KN-T,-
05.03(토),17:00,넥센,3,2,KIA,광주,MS-T,-
05.04(일),14:00,두산,0,10,LG,잠실,SS-T; IB-T,-
05.04(일),14:00,롯데,16,4,SK,문학,XTM-T; SPO-T,-
05.04(일),14:00,NC,3,4,삼성,대구,KN-T,-
05.04(일),14:00,넥센,7,8,KIA,광주,MS-T,-
05.05(월),14:00,두산,7,2,LG,잠실,K-2T,-
05.05(월),14:00,롯데,5,9,SK,문학,KN-T; XTM-T; SPO-T,-
05.05(월),14:00,NC,2,3,삼성,대구,S-T,-
05.05(월),14:00,넥센,16,8,KIA,광주,MS-T; SS-T; IB-T,-
05.06(화),14:00,NC,6,3,넥센,목동,KN-T; MS-T,-
05.06(화),14:00,한화,4,5,LG,잠실,XTM-T; SPO-T,-
05.06(화),14:00,삼성,8,4,SK,문학,M-T,-
05.06(화),14:00,두산,10,19,롯데,사직,SS-T; PM-T; IB-T,-
05.07(수),18:30,NC,24,5,넥센,목동,KN-T,-
05.07(수),18:30,한화,8,7,LG,잠실,XTM-T; SPO-T,-
05.07(수),18:30,삼성,5,4,SK,문학,MS-T,-
05.07(수),18:30,두산,6,10,롯데,사직,SS-T; IB-T,-
05.08(목),18:30,NC,3,4,넥센,목동,KN-T,-
05.08(목),18:30,한화,6,2,LG,잠실,XTM-T; SPO-T,-
05.08(목),18:30,삼성,5,0,SK,문학,MS-T,-
05.08(목),18:30,두산,15,6,롯데,사직,SS-T; IB-T,-
05.09(금),18:30,LG,5,6,넥센,목동,KN-T,-
05.09(금),18:30,롯데,3,1,NC,마산,XTM-T; SPO-T,-
05.09(금),18:30,삼성,12,2,두산,잠실,MS-T,-
05.09(금),18:30,KIA,3,2,한화,대전,SS-T; IB-T,-
05.10(토),17:00,LG,4,2,넥센,목동,KN-T,-
05.10(토),17:00,롯데,2,4,NC,마산,XTM-T; SPO-T,-
05.10(토),17:00,삼성,2,17,두산,잠실,MS-T,-
05.10(토),17:00,KIA,11,5,한화,대전,SS-T; IB-T,-
05.11(일),14:00,LG,1,8,넥센,목동,KN-T,-
05.11(일),14:00,롯데,1,10,NC,마산,XTM-T; SPO-T,-
05.11(일),14:00,삼성,1,8,두산,잠실,MS-T,-
05.11(일),14:00,KIA,5,2,한화,대전,SS-T; IB-T,-
05.13(화),18:30,KIA,5,6,NC,마산,SS-T; IB-T,-
05.13(화),18:30,롯데,0,5,LG,잠실,KN-T,-
05.13(화),18:30,두산,9,6,SK,문학,MS-T,-
05.13(화),18:30,한화,1,7,삼성,대구,XTM-T; SPO-T,-
05.14(수),18:30,KIA,5,9,NC,마산,SS-T; IB-T,-
05.14(수),18:30,롯데,1,2,LG,잠실,KN-T,-
05.14(수),18:30,두산,12,2,SK,문학,MS-T,-
05.14(수),18:30,한화,3,10,삼성,대구,XTM-T; SPO-T,-
05.15(목),18:30,KIA,6,5,NC,마산,SS-T; IB-T,-
05.15(목),18:30,롯데,9,4,LG,잠실,KN-T,-
05.15(목),18:30,두산,10,1,SK,문학,MS-T,-
05.15(목),18:30,한화,3,3,삼성,대구,XTM-T; SPO-T,-
05.16(금),18:30,NC,3,8,두산,잠실,XTM-T; SPO-T,-
05.16(금),18:30,넥센,3,4,롯데,사직,SS-T; IB-T,-
05.16(금),18:30,삼성,4,3,KIA,광주,KN-T,-
05.16(금),18:30,SK,3,5,한화,대전,MS-T,-
05.17(토),17:00,NC,2,3,두산,잠실,XTM-T; SPO-T,-
05.17(토),17:00,넥센,14,2,롯데,사직,SS-T; IB-T,-
05.17(토),17:00,삼성,14,7,KIA,광주,KN-T,-
05.17(토),17:00,SK,8,4,한화,대전,MS-T,-
05.18(일),14:00,NC,9,4,두산,잠실,XTM-T; SPO-T,-
05.18(일),14:00,넥센,6,11,롯데,사직,SS-T; PM-T; IB-T,-
05.18(일),14:00,삼성,8,2,KIA,광주,KN-T,-
05.18(일),14:00,SK,2,5,한화,대전,MS-T,-
05.20(화),18:30,한화,1,3,넥센,목동,SS-T; IB-T,-
05.20(화),18:30,SK,2,8,NC,마산,XTM-T; SPO-T,-
05.20(화),18:30,LG,7,10,KIA,광주,MS-T,-
05.20(화),18:30,롯데,2,7,삼성,포항,KN-T,-
05.21(수),18:30,한화,9,7,넥센,목동,SS-T; IB-T,-
05.21(수),18:30,SK,10,2,NC,마산,XTM-T; SPO-T,-
05.21(수),18:30,LG,4,0,KIA,광주,MS-T,-
05.21(수),18:30,롯데,5,7,삼성,포항,KN-T,-
05.22(목),18:30,한화,16,3,넥센,목동,SS-T; IB-T,-
05.22(목),18:30,SK,3,2,NC,마산,XTM-T; SPO-T,-
05.22(목),18:30,LG,12,6,KIA,광주,MS-T,-
05.22(목),18:30,롯데,5,6,삼성,포항,KN-T,-
05.23(금),18:30,한화,5,11,두산,잠실,SS-T; IB-T,-
05.23(금),18:30,LG,10,6,SK,문학,XTM-T; SPO-T,-
05.23(금),18:30,넥센,3,6,삼성,대구,KN-T,-
05.23(금),18:30,KIA,2,3,롯데,울산,MS-T,-
05.24(토),17:00,한화,12,8,두산,잠실,SS-T; IB-T,-
05.24(토),17:00,LG,4,6,SK,문학,XTM-T; SPO-T,-
05.24(토),17:00,넥센,4,5,삼성,대구,KN-T,-
05.24(토),17:00,KIA,4,1,롯데,울산,MS-T,-
05.25(일),14:00,한화,6,9,두산,잠실,SS-T; IB-T,-
05.25(일),14:00,LG,6,9,SK,문학,XTM-T; SPO-T,-
05.25(일),14:00,넥센,2,18,삼성,대구,KN-T; TM-T,-
05.25(일),14:00,KIA,7,5,롯데,울산,MS-T; UM-T; PM-T,-
05.27(화),18:30,SK,5,10,넥센,목동,SS-T; IB-T,-
05.27(화),18:30,삼성,4,5,LG,잠실,XTM-T; SPO-T,-
05.27(화),18:30,두산,5,8,KIA,광주,MS-T,-
05.27(화),18:30,NC,18,9,한화,대전,KN-T,-
05.28(수),18:30,SK,5,7,넥센,목동,SS-T; IB-T,-
05.28(수),18:30,삼성,7,4,LG,잠실,XTM-T; SPO-T,-
05.28(수),18:30,두산,10,6,KIA,광주,MS-T,-
05.28(수),18:30,NC,18,1,한화,대전,KN-T,-
05.29(목),18:30,SK,9,4,넥센,목동,SS-T; IB-T,-
05.29(목),18:30,삼성,4,2,LG,잠실,XTM-T; SPO-T,-
05.29(목),18:30,두산,15,10,KIA,광주,MS-T,-
05.29(목),18:30,NC,15,7,한화,대전,KN-T,-
05.30(금),18:30,LG,5,11,넥센,목동,KN-T,-
05.30(금),18:30,롯데,1,6,두산,잠실,XTM-T; SPO-T,-
05.30(금),18:30,NC,8,6,KIA,광주,MS-T,-
05.30(금),18:30,SK,6,1,한화,대전,SS-T; IB-T,-
05.31(토),17:00,LG,9,5,넥센,목동,KN-T,-
05.31(토),17:00,롯데,23,1,두산,잠실,XTM-T; SPO-T,-
05.31(토),17:00,NC,8,7,KIA,광주,MS-T,-
05.31(토),17:00,SK,7,3,한화,대전,SS-T; IB-T,-
