일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
07.01(금),18:30,삼성,,,NC,마산,SS-T,우천취소
07.01(금),18:30,SK,,,LG,잠실,,우천취소
07.01(금),18:30,KT,,,롯데,사직,MS-T,우천취소
07.01(금),18:30,KIA,7,10,넥센,고척,SPO-T,-
07.01(금),18:30,두산,,,한화,대전,KN-T; D-CMB,우천취소
07.02(토),18:00,삼성,,,NC,마산,SS-T,우천취소
07.02(토),18:00,SK,4,2,LG,잠실,,-
07.02(토),18:00,KT,,,롯데,사직,MS-T,우천취소
07.02(토),18:00,KIA,5,8,넥센,고척,SPO-T,-
07.02(토),18:00,두산,4,1,한화,대전,KN-T; D-CMB,-
07.03(일),18:00,삼성,,,NC,마산,SS-T,우천취소
07.03(일),18:00,SK,9,7,LG,잠실,,-
07.03(일),18:00,KT,,,롯데,사직,MS-T,우천취소
07.03(일),18:00,KIA,6,7,넥센,고척,SPO-T,-
07.03(일),18:00,두산,,,한화,대전,KN-T; D-CMB,우천취소
07.05(화),18:30,롯데,,,NC,마산,SS-T,우천취소
07.05(화),18:30,넥센,,,두산,잠실,,우천취소
07.05(화),18:30,한화,,,SK,문학,MS-T,우천취소
07.05(화),18:30,LG,3,7,삼성,대구,SPO-T,-
07.05(화),18:30,KIA,,,KT,수원,KN-T,우천취소
07.06(수),18:30,롯데,3,12,NC,마산,SS-T,-
07.06(수),18:30,넥센,6,5,두산,잠실,,-
07.06(수),18:30,한화,13,2,SK,문학,MS-T,-
07.06(수),18:30,LG,,,삼성,대구,SPO-T,우천취소
07.06(수),18:30,KIA,7,0,KT,수원,KN-T,-
07.07(목),18:30,롯데,4,8,NC,마산,SS-T,-
07.07(목),18:30,넥센,1,4,두산,잠실,,-
07.07(목),18:30,한화,14,4,SK,문학,MS-T,-
07.07(목),18:30,LG,11,12,삼성,대구,SPO-T,-
07.07(목),18:30,KIA,5,2,KT,수원,KN-T,-
07.08(금),18:30,KIA,12,6,두산,잠실,SPO-T,-
07.08(금),18:30,KT,3,8,SK,문학,,-
07.08(금),18:30,LG,5,8,롯데,사직,KN-T,-
07.08(금),18:30,NC,11,9,넥센,고척,SS-T,-
07.08(금),18:30,삼성,3,6,한화,대전,MS-T; D-CMB,-
07.09(토),18:00,KIA,6,7,두산,잠실,SPO-T,-
07.09(토),18:00,KT,8,6,SK,문학,,-
07.09(토),18:00,LG,12,13,롯데,사직,KN-T,-
07.09(토),18:00,NC,4,7,넥센,고척,SS-T,-
07.09(토),18:00,삼성,4,4,한화,대전,MS-T; D-CMB,-
07.10(일),18:00,KIA,13,3,두산,잠실,SPO-T,-
07.10(일),18:00,KT,7,6,SK,문학,,-
07.10(일),18:00,LG,6,0,롯데,사직,KN-T,-
07.10(일),18:00,NC,7,9,넥센,고척,SS-T,-
07.10(일),18:00,삼성,6,10,한화,대전,MS-T; D-CMB,-
07.12(화),18:30,두산,9,5,NC,마산,KN-T,-
07.12(화),18:30,한화,4,5,LG,잠실,,-
07.12(화),18:30,넥센,7,5,KT,수원,SS-T,-
07.12(화),18:30,SK,7,3,KIA,광주,SPO-T; G-CMB,-
07.12(화),18:30,롯데,4,8,삼성,포항,MS-T,-
07.13(수),18:30,두산,2,6,NC,마산,KN-T,-
07.13(수),18:30,한화,7,5,LG,잠실,,-
07.13(수),18:30,넥센,11,8,KT,수원,SS-T,-
07.13(수),18:30,SK,3,4,KIA,광주,SPO-T; G-CMB,-
07.13(수),18:30,롯데,13,12,삼성,포항,MS-T,-
07.14(목),18:30,두산,3,4,NC,마산,KN-T,-
07.14(목),18:30,한화,7,4,LG,잠실,,-
07.14(목),18:30,넥센,10,5,KT,수원,SS-T,-
07.14(목),18:30,SK,11,4,KIA,광주,SPO-T; G-CMB,-
07.14(목),18:30,롯데,4,2,삼성,포항,MS-T,-
07.19(화),18:30,SK,5,4,NC,마산,SS-T,-
07.19(화),18:30,삼성,1,3,두산,잠실,SPO-T,-
07.19(화),18:30,KIA,6,1,롯데,사직,,-
07.19(화),18:30,LG,12,6,넥센,고척,KN-T,-
07.19(화),18:30,KT,7,17,한화,대전,MS-T; D-CMB,-
07.20(수),18:30,SK,2,4,NC,마산,SS-T,-
07.20(수),18:30,삼성,5,4,두산,잠실,SPO-T,-
07.20(수),18:30,KIA,6,9,롯데,사직,,-
07.20(수),18:30,LG,3,7,넥센,고척,KN-T,-
07.20(수),18:30,KT,4,1,한화,대전,MS-T; D-CMB,-
07.21(목),18:30,SK,4,7,NC,마산,SS-T,-
07.21(목),18:30,삼성,6,3,두산,잠실,SPO-T,-
07.21(목),18:30,KIA,1,10,롯데,사직,,-
07.21(목),18:30,LG,4,7,넥센,고척,KN-T,-
07.21(목),18:30,KT,1,8,한화,대전,MS-T; D-CMB,-
07.22(금),18:30,두산,14,3,LG,잠실,SPO-T,-
07.22(금),18:30,넥센,6,7,SK,문학,SS-T,-
07.22(금),18:30,한화,2,10,롯데,사직,,-
07.22(금),18:30,삼성,6,7,KT,수원,KN-T,-
07.22(금),18:30,NC,4,9,KIA,광주,MS-T; G-CMB,-
07.23(토),18:00,두산,7,9,LG,잠실,SPO-T,-
07.23(토),18:00,넥센,10,2,SK,문학,SS-T,-
07.23(토),18:00,한화,6,7,롯데,사직,,-
07.23(토),18:00,삼성,12,2,KT,수원,KN-T,-
07.23(토),18:00,NC,5,0,KIA,광주,MS-T; G-CMB,-
07.24(일),18:00,두산,3,2,LG,잠실,SPO-T,-
07.24(일),18:00,넥센,3,4,SK,문학,SS-T,-
07.24(일),18:00,한화,8,1,롯데,사직,,-
07.24(일),18:00,삼성,1,2,KT,수원,KN-T,-
07.24(일),18:00,NC,8,2,KIA,광주,MS-T; G-CMB,-
07.26(화),18:30,롯데,12,10,LG,잠실,,-
07.26(화),18:30,NC,5,4,삼성,대구,SPO-T,-
07.26(화),18:30,KT,0,13,KIA,광주,MS-T; G-CMB,-
07.26(화),18:30,두산,7,1,넥센,고척,KN-T,-
07.26(화),18:30,SK,9,4,한화,대전,SS-T; D-CMB,-
07.27(수),18:30,롯데,1,7,LG,잠실,,-
07.27(수),18:30,NC,6,10,삼성,대구,SPO-T,-
07.27(수),18:30,KT,3,8,KIA,광주,MS-T; G-CMB,-
07.27(수),18:30,두산,4,9,넥센,고척,KN-T,-
07.27(수),18:30,SK,0,8,한화,대전,SS-T; D-CMB,-
07.28(목),18:30,롯데,2,5,LG,잠실,,-
07.28(목),18:30,NC,9,5,삼성,대구,SPO-T,-
07.28(목),18:30,KT,3,9,KIA,광주,MS-T; G-CMB,-
07.28(목),18:30,두산,1,12,넥센,고척,KN-T,-
07.28(목),18:30,SK,8,12,한화,대전,SS-T; D-CMB,-
07.29(금),18:30,LG,2,1,NC,마산,KN-T,-
