일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
08.02(화),18:30,삼성,,,두산,잠실,KN-T,우천취소
08.02(화),18:30,LG,3,4,롯데,사직,SS-T,-
08.02(화),18:30,KT,,,NC,창원,SPO-T,우천취소
08.02(화),18:30,SSG,7,5,키움,고척,SPO-2T,-
08.02(화),18:30,KIA,4,5,한화,대전,MS-T; D-CMB,-
08.03(수),18:30,삼성,1,3,두산,잠실,KN-T,-
08.03(수),18:30,LG,4,1,롯데,사직,SS-T,-
08.03(수),18:30,KT,15,2,NC,창원,SPO-T,-
08.03(수),18:30,SSG,2,3,키움,고척,SPO-2T,-
08.03(수),18:30,KIA,6,3,한화,대전,MS-T; D-CMB,-
08.04(목),18:30,삼성,9,2,두산,잠실,KN-T,-
08.04(목),18:30,LG,12,2,롯데,사직,SS-T,-
08.04(목),18:30,KT,3,4,NC,창원,SPO-T,-
08.04(목),18:30,SSG,6,5,키움,고척,SPO-2T,-
08.04(목),18:30,KIA,1,4,한화,대전,MS-T; D-CMB,-
08.05(금),18:30,키움,8,7,LG,잠실,SPO-2T,-
08.05(금),18:30,삼성,3,1,SSG,문학,MS-T,-
08.05(금),18:30,NC,2,7,롯데,사직,SS-T,-
08.05(금),18:30,한화,1,5,KT,수원,KN-T,-
08.05(금),18:30,두산,5,3,KIA,광주,SPO-T; G-CMB,-
08.06(토),18:00,키움,3,12,LG,잠실,SPO-2T,-
08.06(토),18:00,삼성,6,7,SSG,문학,MS-T,-
08.06(토),18:00,NC,10,1,롯데,사직,SS-T,-
08.06(토),18:00,한화,2,4,KT,수원,KN-T,-
08.06(토),18:00,두산,7,4,KIA,광주,SPO-T; G-CMB,-
08.07(일),17:00,키움,0,5,LG,잠실,SPO-2T,-
08.07(일),17:00,삼성,6,7,SSG,문학,MS-T,-
08.07(일),17:00,NC,14,0,롯데,사직,SS-T,-
08.07(일),17:00,한화,6,5,KT,수원,KN-T,-
08.07(일),17:00,두산,4,5,KIA,광주,SPO-T; G-CMB,-
08.10(수),18:30,NC,11,0,두산,잠실,SS-T,-
08.10(수),18:30,KT,2,4,SSG,문학,SPO-2T,-
08.10(수),18:30,KIA,2,3,삼성,대구,KN-T,-
08.10(수),18:30,롯데,4,3,키움,고척,MS-T,-
08.10(수),18:30,LG,,,한화,대전,SPO-T; D-CMB,우천취소
08.11(목),18:30,NC,3,2,두산,잠실,SS-T,-
08.11(목),18:30,KT,2,4,SSG,문학,SPO-2T,-
08.11(목),18:30,KIA,,,삼성,대구,KN-T,우천취소
08.11(목),18:30,롯데,3,0,키움,고척,MS-T,-
08.11(목),18:30,LG,,,한화,대전,SPO-T; D-CMB,우천취소
08.12(금),18:30,NC,1,7,두산,잠실,SS-T,-
08.12(금),18:30,KT,9,5,SSG,문학,SPO-2T,-
08.12(금),18:30,KIA,6,7,삼성,대구,KN-T,-
08.12(금),18:30,롯데,4,1,키움,고척,MS-T,-
08.12(금),18:30,LG,6,5,한화,대전,SPO-T; D-CMB,-
08.13(토),18:00,SSG,8,2,두산,잠실,MS-T,-
08.13(토),18:00,LG,,,NC,창원,KN-T,우천취소
08.13(토),18:00,삼성,1,8,KT,수원,SPO-T,-
08.13(토),18:00,롯데,0,9,KIA,광주,SPO-2T; G-CMB,-
08.13(토),18:00,키움,8,6,한화,대전,SS-T; D-CMB,-
08.14(일),17:00,SSG,5,4,두산,잠실,MS-T,-
08.14(일),17:00,LG,2,6,NC,창원,KN-T,-
08.14(일),17:00,삼성,2,3,KT,수원,SPO-T,-
08.14(일),17:00,롯데,5,1,KIA,광주,SPO-2T; G-CMB,-
08.14(일),17:00,키움,12,8,한화,대전,SS-T; D-CMB,-
08.16(화),18:30,삼성,3,6,LG,잠실,SPO-2T,-
08.16(화),18:30,두산,,,롯데,사직,SS-T,우천취소
08.16(화),18:30,한화,,,NC,창원,MS-T,우천취소
08.16(화),18:30,키움,4,5,KT,수원,KN-T,-
08.16(화),18:30,SSG,,,KIA,광주,SPO-T; G-CMB,우천취소
08.17(수),18:30,삼성,7,11,LG,잠실,SPO-2T,-
08.17(수),18:30,두산,6,8,롯데,사직,SS-T,-
08.17(수),18:30,한화,4,6,NC,창원,MS-T,-
08.17(수),18:30,키움,2,3,KT,수원,KN-T,-
08.17(수),18:30,SSG,3,4,KIA,광주,SPO-T; G-CMB,-
08.18(목),18:30,키움,2,10,두산,잠실,MS-T,-
08.18(목),18:30,LG,8,4,SSG,문학,SPO-T,-
08.18(목),18:30,KT,0,1,롯데,사직,SS-T,-
08.18(목),18:30,NC,14,8,KIA,광주,KN-T; G-CMB,-
08.18(목),18:30,삼성,7,4,한화,대전,SPO-2T; D-CMB,-
08.19(금),18:30,키움,,,두산,잠실,MS-T,우천취소
08.19(금),18:30,LG,,,SSG,문학,SPO-T,그라운드사정
