일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
08.01(토),18:00,한화,6,9,LG,잠실,,-
08.01(토),18:00,KIA,3,7,롯데,사직,MS-T,-
08.01(토),18:00,키움,22,7,삼성,대구,KN-T,-
08.01(토),18:00,두산,12,10,NC,창원,SS-T,-
08.01(토),18:00,SK,0,11,KT,수원,SPO-T,-
08.02(일),17:00,한화,,,LG,잠실,,우천취소
08.02(일),17:00,KIA,0,8,롯데,사직,MS-T,-
08.02(일),17:00,키움,4,2,삼성,대구,KN-T,-
08.02(일),17:00,두산,7,4,NC,창원,SS-T,-
08.02(일),17:00,SK,,,KT,수원,SPO-T,우천취소
08.03(월),18:30,한화,,,LG,잠실,,우천취소
08.03(월),18:30,SK,,,KT,수원,SPO-T,우천취소
08.04(화),18:30,삼성,6,3,두산,잠실,KN-T,-
08.04(화),18:30,롯데,8,0,SK,문학,MS-T,-
08.04(화),18:30,LG,15,5,KIA,광주,SPO-T; G-CMB,-
08.04(화),18:30,KT,4,2,키움,고척,SS-T,-
08.04(화),18:30,NC,,,한화,대전,SPO-2T; D-CMB,우천취소
08.05(수),18:30,삼성,2,2,두산,잠실,KN-T,-
08.05(수),18:30,롯데,,,SK,문학,MS-T,우천취소
08.05(수),18:30,LG,6,4,KIA,광주,SPO-T; G-CMB,-
08.05(수),18:30,KT,3,12,키움,고척,SS-T,-
08.05(수),18:30,NC,5,8,한화,대전,SPO-2T; D-CMB,-
08.06(목),18:30,삼성,2,5,두산,잠실,KN-T,-
08.06(목),18:30,롯데,8,2,SK,문학,MS-T,-
08.06(목),18:30,LG,1,13,KIA,광주,SPO-T; G-CMB,-
08.06(목),18:30,KT,2,3,키움,고척,SS-T,-
08.06(목),18:30,NC,4,1,한화,대전,SPO-2T; D-CMB,-
08.07(금),18:30,롯데,8,4,두산,잠실,SPO-T,-
08.07(금),18:30,삼성,2,0,SK,문학,MS-T,-
08.07(금),18:30,NC,,,KIA,광주,SS-T; G-CMB,우천취소
08.07(금),18:30,LG,5,2,키움,고척,KN-T,-
08.07(금),18:30,KT,,,한화,대전,SPO-2T; D-CMB,우천취소
08.08(토),18:00,롯데,1,1,두산,잠실,SPO-T,-
08.08(토),18:00,삼성,2,4,SK,문학,MS-T,-
08.08(토),18:00,NC,2,3,KIA,광주,SS-T; G-CMB,-
08.08(토),18:00,LG,1,5,키움,고척,KN-T,-
08.08(토),18:00,KT,,,한화,대전,SPO-2T; D-CMB,우천취소
08.09(일),17:00,롯데,,,두산,잠실,SPO-T,우천취소
08.09(일),17:00,삼성,,,SK,문학,MS-T,우천취소
08.09(일),17:00,NC,8,1,KIA,광주,SS-T; G-CMB,-
08.09(일),17:00,LG,1,2,키움,고척,KN-T,-
08.09(일),17:00,KT,6,3,한화,대전,SPO-2T; D-CMB,-
08.10(월),18:30,롯데,,,두산,잠실,SPO-T,우천취소
08.10(월),18:30,삼성,,,SK,문학,MS-T,우천취소
08.10(월),18:30,KT,,,한화,대전,SPO-2T; D-CMB,우천취소
08.11(화),18:30,KIA,8,4,LG,잠실,SPO-2T,-
08.11(화),18:30,NC,,,롯데,사직,SS-T,우천취소
08.11(화),18:30,두산,6,1,삼성,대구,SPO-T,-
08.11(화),18:30,SK,1,6,KT,수원,KN-T,-
08.11(화),18:30,한화,7,5,키움,고척,MS-T,-
08.12(수),18:30,KIA,0,8,LG,잠실,SPO-2T,-
08.12(수),18:30,NC,4,8,롯데,사직,SS-T,-
08.12(수),18:30,두산,15,8,삼성,대구,SPO-T,-
08.12(수),18:30,SK,11,2,KT,수원,KN-T,-
08.12(수),18:30,한화,2,3,키움,고척,MS-T,-
08.13(목),18:30,KIA,2,4,LG,잠실,SPO-2T,-
08.13(목),18:30,NC,9,2,롯데,사직,SS-T,-
08.13(목),18:30,두산,2,3,삼성,대구,SPO-T,-
08.13(목),18:30,SK,10,6,KT,수원,KN-T,-
08.13(목),18:30,한화,3,6,키움,고척,MS-T,-
08.14(금),18:30,KT,5,3,두산,잠실,MS-T,-
08.14(금),18:30,키움,1,5,롯데,사직,SPO-2T,-
08.14(금),18:30,LG,10,4,NC,창원,SPO-T,-
08.14(금),18:30,SK,6,7,KIA,광주,KN-T; G-CMB,-
08.14(금),18:30,삼성,10,1,한화,대전,SS-T; D-CMB,-
08.15(토),17:00,KT,5,7,두산,잠실,MS-T,-
08.15(토),17:00,키움,3,1,롯데,사직,SPO-2T,-
08.15(토),17:00,LG,13,4,NC,창원,SPO-T,-
08.15(토),17:00,SK,3,10,KIA,광주,KN-T; G-CMB,-
08.15(토),17:00,삼성,2,0,한화,대전,SS-T; D-CMB,-
08.16(일),17:00,KT,4,1,두산,잠실,MS-T,-
08.16(일),17:00,키움,6,3,롯데,사직,SPO-2T,-
08.16(일),17:00,LG,6,5,NC,창원,SPO-T,-
08.16(일),17:00,SK,5,8,KIA,광주,KN-T; G-CMB,-
08.16(일),17:00,삼성,2,3,한화,대전,SS-T; D-CMB,-
08.18(화),18:30,KIA,5,6,LG,잠실,MS-T,-
08.18(화),18:30,한화,3,9,SK,문학,,-
08.18(화),18:30,두산,9,2,롯데,사직,KN-T,-
08.18(화),18:30,KT,6,3,삼성,대구,SS-T,-
08.18(화),18:30,키움,1,5,NC,창원,SPO-T,-
08.19(수),18:30,KIA,1,10,LG,잠실,MS-T,-
08.19(수),18:30,한화,6,26,SK,문학,,-
08.19(수),18:30,두산,3,7,롯데,사직,KN-T,-
08.19(수),18:30,KT,6,4,삼성,대구,SS-T,-
08.19(수),18:30,키움,6,4,NC,창원,SPO-T,-
08.20(목),18:30,롯데,6,5,두산,잠실,MS-T,-
08.20(목),18:30,삼성,8,3,SK,문학,,-
