순위,시즌,대회,대회명,경기번호,일자,홈팀,상대,경기결과,경기장,관중수,원정팀,비고
1,2024,K리그1,하나은행 K리그1 2024,61,2024/05/04,서울,울산,0 : 1,서울 월드컵,"52,600","6,787",주말
2,2024,K리그1,하나은행 K리그1 2024,12,2024/03/10,서울,인천,0 : 0,서울 월드컵,"51,670","4,307",주말
3,2024,K리그1,하나은행 K리그1 2024,218,2024/11/10,서울,울산,1 : 1,서울 월드컵,"37,288","2,955",주말
4,2024,K리그1,하나은행 K리그1 2024,165,2024/08/24,서울,강원,2 : 0,서울 월드컵,"34,086","3,749",주말
5,2024,K리그1,하나은행 K리그1 2024,192,2024/09/29,서울,수원FC,1 : 0,서울 월드컵,"31,037","1,111",주말
6,2024,K리그1,하나은행 K리그1 2024,15,2024/03/16,서울,제주,2 : 0,서울 월드컵,"29,536","1,028",주말
7,2024,K리그1,하나은행 K리그1 2024,213,2024/11/02,서울,포항,1 : 1,서울 월드컵,"29,377","1,435",주말
8,2024,K리그1,하나은행 K리그1 2024,38,2024/04/13,서울,포항,2 : 4,서울 월드컵,"29,051","2,396",주말
9,2024,K리그1,하나은행 K리그1 2024,91,2024/06/01,울산,전북,1 : 0,울산 문수,"29,007","3,558",주말
10,2024,K리그1,하나은행 K리그1 2024,1,2024/03/01,울산,포항,1 : 0,울산 문수,"28,683","2,321",
11,2024,K리그1,하나은행 K리그1 2024,46,2024/04/20,서울,전북,2 : 3,서울 월드컵,"28,048","4,296",주말
12,2024,K리그1,하나은행 K리그1 2024,76,2024/05/19,서울,대구,1 : 2,서울 월드컵,"27,365","1,840",주말
13,2024,K리그1,하나은행 K리그1 2024,177,2024/09/14,서울,대전,2 : 3,서울 월드컵,"26,790","2,038",주말
14,2024,K리그1,하나은행 K리그1 2024,19,2024/03/30,전북,울산,2 : 2,전주 월드컵,"25,782","2,618",주말
15,2024,K리그1,하나은행 K리그1 2024,106,2024/06/22,서울,수원FC,3 : 0,서울 월드컵,"25,157","1,119",주말
16,2024,K리그1,하나은행 K리그1 2024,2,2024/03/01,전북,대전,1 : 1,전주 월드컵,"24,758","3,332",
17,2024,K리그1,하나은행 K리그1 2024,193,2024/10/06,울산,김천,2 : 1,울산 문수,"24,417",639,주말
18,2024,K리그1,하나은행 K리그1 2024,223,2024/11/23,울산,수원FC,4 : 2,울산 문수,"24,096",416,주말
