일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
05.01(화),18:30,롯데,11,1,넥센,목동,XTM-T; SPO-T,-
05.01(화),18:30,SK,,,KIA,무등,MS-T,우천취소
05.01(화),18:30,한화,2,4,LG,잠실,,-
05.01(화),18:30,두산,,,삼성,대구,KN-T,우천취소
05.02(수),18:30,롯데,4,6,넥센,목동,XTM-T; SPO-T,-
05.02(수),18:30,SK,,,KIA,무등,MS-T,우천취소
05.02(수),18:30,한화,2,6,LG,잠실,,-
05.02(수),18:30,두산,5,3,삼성,대구,KN-T,-
05.03(목),18:30,롯데,4,2,넥센,목동,XTM-T; SPO-T,-
05.03(목),18:30,SK,6,6,KIA,무등,MS-T,-
05.03(목),18:30,한화,4,1,LG,잠실,,-
05.03(목),18:30,두산,0,10,삼성,대구,KN-T,-
05.04(금),18:30,넥센,3,3,KIA,무등,MS-T,-
05.04(금),18:30,두산,6,3,LG,잠실,,-
05.04(금),18:30,롯데,3,5,SK,문학,XTM-T; SPO-T,-
05.04(금),18:30,한화,7,1,삼성,대구,KN-T,-
05.05(토),13:50,롯데,3,1,SK,문학,S-T,-
05.05(토),14:00,넥센,2,3,KIA,무등,MS-T,-
05.05(토),14:00,두산,3,5,LG,잠실,XTM-T; ; SPO-T,-
05.05(토),14:00,한화,0,5,삼성,대구,KN-T,-
05.06(일),14:00,넥센,8,10,KIA,무등,MS-T,-
05.06(일),14:00,두산,3,5,LG,잠실,,-
05.06(일),14:00,롯데,3,5,SK,문학,XTM-T; ; SPO-T,-
05.06(일),14:00,한화,7,3,삼성,대구,KN-T; TM-T,-
05.08(화),18:30,LG,8,2,넥센,목동,KN-T,-
05.08(화),18:30,SK,2,1,두산,잠실,XTM-T; SPO-T,-
05.08(화),18:30,삼성,2,1,롯데,사직,,-
05.08(화),18:30,KIA,2,3,한화,대전,MS-T,-
05.09(수),18:30,LG,6,11,넥센,목동,KN-T,-
05.09(수),18:30,SK,9,5,두산,잠실,XTM-T; SPO-T,-
05.09(수),18:30,삼성,3,0,롯데,사직,,-
05.09(수),18:30,KIA,8,1,한화,대전,MS-T,-
05.10(목),18:30,LG,1,2,넥센,목동,KN-T,-
05.10(목),18:30,SK,8,9,두산,잠실,XTM-T; SPO-T,-
05.10(목),18:30,삼성,2,2,롯데,사직,,-
05.10(목),18:30,KIA,4,1,한화,대전,MS-T; SPO-T,-
05.11(금),18:30,두산,0,1,KIA,무등,,-
05.11(금),18:30,삼성,8,4,LG,잠실,XTM-T; SPO-T,-
05.11(금),18:30,넥센,7,4,SK,문학,KN-T,-
05.11(금),18:30,롯데,9,15,한화,청주,MS-T,-
05.12(토),17:00,두산,8,7,KIA,무등,,-
05.12(토),17:00,삼성,1,2,LG,잠실,XTM-T,-
05.12(토),17:00,넥센,2,3,SK,문학,KN-T; ; ; SPO-T,-
