일자,시간,홈팀,홈점수,VS,원정점수,원정팀,구장,중계,비고
03.22(토),14:00,롯데,2,vs,12,LG,잠실,K-2T,-
03.22(토),14:00,두산,5,vs,6,SSG,문학,MS-T; SPO-T; SPO-2T,-
03.22(토),14:00,키움,5,vs,13,삼성,대구,SS-T; KN-T,-
03.22(토),14:00,한화,4,vs,3,KT,수원,S-T,-
03.22(토),14:00,NC,2,vs,9,KIA,광주,M-T,-
03.23(일),14:00,롯데,2,vs,10,LG,잠실,KN-T,-
03.23(일),14:00,두산,2,vs,5,SSG,문학,SPO-T,-
03.23(일),14:00,키움,7,vs,11,삼성,대구,SPO-2T,-
03.23(일),14:00,한화,4,vs,5,KT,수원,MS-T,-
03.23(일),14:00,NC,5,vs,4,KIA,광주,SS-T,-
03.25(화),18:30,한화,0,vs,5,LG,잠실,SS-T,-
03.25(화),18:30,롯데,3,vs,2,SSG,문학,TVING,-
03.25(화),18:30,NC,5,vs,14,삼성,대구,MS-T,-
03.25(화),18:30,두산,3,vs,8,KT,수원,SPO-2T,-
03.25(화),18:30,키움,6,vs,11,KIA,광주,SPO-T,-
03.26(수),18:30,한화,0,vs,4,LG,잠실,SS-T,-
03.26(수),18:30,롯데,1,vs,3,SSG,문학,TVING,-
03.26(수),18:30,NC,8,vs,6,삼성,대구,MS-T,-
03.26(수),18:30,두산,3,vs,2,KT,수원,SPO-2T,-
03.26(수),18:30,키움,17,vs,10,KIA,광주,SPO-T,-
03.27(목),18:30,한화,1,vs,2,LG,잠실,SS-T,-
03.27(목),18:30,롯데,2,vs,5,SSG,문학,TVING,-
03.27(목),18:30,NC,11,vs,5,삼성,대구,MS-T,-
03.27(목),18:30,두산,3,vs,4,KT,수원,SPO-2T,-
03.27(목),18:30,키움,5,vs,3,KIA,광주,SPO-T,-
03.28(금),18:30,삼성,0,vs,2,두산,잠실,SPO-T,-
03.28(금),18:30,KT,2,vs,0,롯데,사직,TVING,-
03.28(금),18:30,LG,8,vs,4,NC,창원,KN-T,-
03.28(금),18:30,SSG,3,vs,9,키움,고척,MS-T,-
03.28(금),18:30,KIA,2,vs,7,한화,대전(신),SPO-2T,-
03.29(토),14:00,SSG,1,vs,3,키움,고척,S-T,-
03.29(토),14:00,KIA,4,vs,5,한화,대전(신),K-2T,-
03.29(토),17:00,삼성,13,vs,2,두산,잠실,SPO-T; SS-T,-
03.29(토),17:00,KT,1,vs,3,롯데,사직,KN-T; MS-T,-
03.29(토),17:00,LG,14,vs,4,NC,창원,SPO-2T,-
03.30(일),14:00,삼성,3,vs,2,두산,잠실,SPO-T,-
03.30(일),14:00,KT,4,vs,4,롯데,사직,TVING,-
03.30(일),14:00,LG,,vs,,NC,창원,SPO-2T,기타
03.30(일),14:00,SSG,8,vs,2,키움,고척,KN-T; MS-T,-
03.30(일),14:00,KIA,5,vs,3,한화,대전(신),M-T,-
