MATCH_DE,BASE_YEAR,BASE_MT,BASE_DAY,GRP_NM,LEA_NM,HOME_TEAM_NM,AWAY_TEAM_NM,STDM_NM,SPORTS_VIEWNG_NMPR_CO,COLCT_DE,UPDT_DE
20241213,2024,12,13,프로스포츠,KBL,고양 소노,,고양 소노 아레나,2005.00000,20250715,20250715
20241218,2024,12,18,프로스포츠,KBL,고양 소노,,고양 소노 아레나,1751.00000,20250715,20250715
20241221,2024,12,21,프로스포츠,KBL,고양 소노,,고양 소노 아레나,2647.00000,20250715,20250715
20241225,2024,12,25,프로스포츠,KBL,고양 소노,,고양 소노 아레나,4743.00000,20250715,20250715
20250109,2025,01,09,프로스포츠,KBL,고양 소노,,고양 소노 아레나,1914.00000,20250715,20250715
20250111,2025,01,11,프로스포츠,KBL,고양 소노,,고양 소노 아레나,2900.00000,20250715,20250715
20250112,2025,01,12,프로스포츠,KBL,고양 소노,,고양 소노 아레나,3131.00000,20250715,20250715
20250115,2025,01,15,프로스포츠,KBL,고양 소노,,고양 소노 아레나,1403.00000,20250715,20250715
20250125,2025,01,25,프로스포츠,KBL,고양 소노,,고양 소노 아레나,2981.00000,20250715,20250715
20250128,2025,01,28,프로스포츠,KBL,고양 소노,,고양 소노 아레나,2790.00000,20250715,20250715
20250202,2025,02,02,프로스포츠,KBL,고양 소노,,고양 소노 아레나,2968.00000,20250715,20250715
20250211,2025,02,11,프로스포츠,KBL,고양 소노,,고양 소노 아레나,1850.00000,20250715,20250715
20250302,2025,03,02,프로스포츠,KBL,고양 소노,,고양 소노 아레나,3666.00000,20250715,20250715
20250307,2025,03,07,프로스포츠,KBL,고양 소노,,고양 소노 아레나,1730.00000,20250715,20250715
20250315,2025,03,15,프로스포츠,KBL,고양 소노,,고양 소노 아레나,3207.00000,20250715,20250715
20250320,2025,03,20,프로스포츠,KBL,고양 소노,,고양 소노 아레나,921.00000,20250715,20250715
20250322,2025,03,22,프로스포츠,KBL,고양 소노,,고양 소노 아레나,2433.00000,20250715,20250715
20250404,2025,04,04,프로스포츠,KBL,고양 소노,,고양 소노 아레나,1680.00000,20250715,20250715
20250408,2025,04,08,프로스포츠,KBL,고양 소노,,고양 소노 아레나,1880.00000,20250715,20250715
20241020,2024,10,20,프로스포츠,KBL,서울 SK,,잠실학생,5207.00000,20250715,20250715
20241022,2024,10,22,프로스포츠,KBL,서울 SK,,잠실학생,4823.00000,20250715,20250715
