일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
06.01(토),17:00,LG,8,5,두산,잠실,SPO-T,-
06.01(토),17:00,NC,4,2,롯데,사직,KN-T,-
06.01(토),17:00,한화,4,6,삼성,대구,SPO-2T,-
06.01(토),17:00,KT,2,4,KIA,광주,MS-T,-
06.01(토),17:00,SSG,9,0,키움,고척,SS-T,-
06.02(일),14:00,LG,9,1,두산,잠실,M-T,-
06.02(일),14:00,SSG,6,2,키움,고척,SPO-T,-
06.02(일),17:00,NC,4,13,롯데,사직,KN-T; SS-T,-
06.02(일),17:00,한화,0,1,삼성,대구,SPO-2T,-
06.02(일),17:00,KT,11,3,KIA,광주,MS-T,-
06.04(화),18:30,키움,11,3,LG,잠실,SPO-T,-
06.04(화),18:30,삼성,3,1,SSG,문학,SPO-2T,-
06.04(화),18:30,두산,4,1,NC,창원,KN-T,-
06.04(화),18:30,한화,8,2,KT,수원,MS-T,-
06.04(화),18:30,롯데,6,0,KIA,광주,SS-T,-
06.05(수),18:30,키움,2,4,LG,잠실,SPO-T,-
06.05(수),18:30,삼성,3,7,SSG,문학,SPO-2T,-
06.05(수),18:30,두산,4,3,NC,창원,KN-T,-
06.05(수),18:30,한화,12,2,KT,수원,MS-T,-
06.05(수),18:30,롯데,9,3,KIA,광주,SS-T,-
06.06(목),14:00,삼성,0,4,SSG,문학,S-T,-
06.06(목),14:00,롯데,4,5,KIA,광주,K-2T,-
06.06(목),17:00,키움,4,8,LG,잠실,MS-T; SPO-T,-
06.06(목),17:00,두산,8,4,NC,창원,KN-T; SPO-2T,-
06.06(목),17:00,한화,6,0,KT,수원,SS-T,-
06.07(금),18:30,KIA,5,6,두산,잠실,KN-T,-
06.07(금),18:30,SSG,7,11,롯데,사직,MS-T,-
06.07(금),18:30,LG,8,7,KT,수원,SPO-T,-
06.07(금),18:30,삼성,5,7,키움,고척,SPO-2T,-
06.07(금),18:30,NC,6,2,한화,대전,SS-T,-
06.08(토),17:00,KIA,8,9,두산,잠실,KN-T,-
06.08(토),17:00,SSG,,,롯데,사직,MS-T,우천취소
06.08(토),17:00,LG,8,2,KT,수원,SPO-T,-
06.08(토),17:00,삼성,3,10,키움,고척,SPO-2T,-
06.08(토),17:00,NC,4,2,한화,대전,SS-T,-
06.09(일),14:00,삼성,7,1,키움,고척,SPO-2T,-
06.09(일),14:00,SSG,5,1,롯데,사직,MS-T,-
06.09(일),17:00,KIA,8,2,두산,잠실,KN-T,-
06.09(일),17:00,LG,2,11,KT,수원,SPO-T,-
06.09(일),17:00,NC,3,3,한화,대전,SS-T,-
06.09(일),17:00,SSG,3,5,롯데,사직,MS-T,-
06.11(화),18:30,한화,6,1,두산,잠실,SS-T,-
06.11(화),18:30,KIA,6,7,SSG,문학,KN-T,-
06.11(화),18:30,키움,5,2,롯데,사직,MS-T,-
06.11(화),18:30,LG,4,6,삼성,대구,SPO-T,-
06.11(화),18:30,KT,6,8,NC,창원,SPO-2T,-
06.12(수),18:30,한화,4,3,두산,잠실,SS-T,-
06.12(수),18:30,KIA,13,7,SSG,문학,KN-T,-
06.12(수),18:30,키움,2,9,롯데,사직,MS-T,-
06.12(수),18:30,LG,4,5,삼성,대구,SPO-T,-
06.12(수),18:30,KT,11,8,NC,창원,SPO-2T,-
06.13(목),18:30,한화,6,9,두산,잠실,SS-T,-
06.13(목),18:30,KIA,1,7,SSG,문학,KN-T,-
06.13(목),18:30,키움,10,18,롯데,사직,MS-T,-
