"MATCH_SEQ_NO","MATCH_DE","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO"
136,"20230507",한화,KT,한밭,8551.00000
137,"20230507",두산,LG,잠실,22073.00000
138,"20230507",키움,SSG,고척,7623.00000
139,"20230509",KT,NC,수원,2764.00000
140,"20230509",롯데,두산,사직,11643.00000
141,"20230509",KIA,SSG,광주,8916.00000
142,"20230509",한화,삼성,한밭,5014.00000
143,"20230509",LG,키움,잠실,10421.00000
144,"20230510",KT,NC,수원,3734.00000
145,"20230510",롯데,두산,사직,11435.00000
146,"20230510",KIA,SSG,광주,8481.00000
147,"20230510",한화,삼성,한밭,5865.00000
148,"20230510",LG,키움,잠실,12125.00000
149,"20230511",KT,NC,수원,3934.00000
150,"20230511",롯데,두산,사직,13350.00000
151,"20230511",KIA,SSG,광주,8898.00000
152,"20230511",한화,삼성,한밭,6007.00000
153,"20230511",LG,키움,잠실,11773.00000
154,"20230512",SSG,한화,문학,14395.00000
155,"20230512",두산,KIA,잠실,20563.00000
156,"20230512",삼성,LG,대구,13765.00000
157,"20230512",KT,롯데,수원,10937.00000
158,"20230512",키움,NC,고척,3866.00000
159,"20230513",SSG,한화,문학,23000.00000
160,"20230513",두산,KIA,잠실,23750.00000
161,"20230513",삼성,LG,대구,21817.00000
162,"20230513",KT,롯데,수원,18700.00000
163,"20230513",키움,NC,고척,6573.00000
164,"20230514",SSG,한화,문학,20757.00000
165,"20230514",두산,KIA,잠실,23750.00000
166,"20230514",삼성,LG,대구,18569.00000
167,"20230514",KT,롯데,수원,15470.00000
168,"20230514",키움,NC,고척,5634.00000
169,"20230516",삼성,KIA,대구,9112.00000
170,"20230516",LG,KT,잠실,8567.00000
171,"20230516",한화,롯데,한밭,6138.00000
172,"20230516",키움,두산,고척,5662.00000
173,"20230516",NC,SSG,창원,4113.00000
174,"20230517",삼성,KIA,대구,10979.00000
175,"20230517",LG,KT,잠실,9838.00000
176,"20230517",한화,롯데,한밭,6269.00000
177,"20230517",키움,두산,고척,5232.00000
178,"20230517",NC,SSG,창원,4344.00000
179,"20230518",LG,KT,잠실,9155.00000
180,"20230518",한화,롯데,한밭,6116.00000
181,"20230518",키움,두산,고척,5742.00000
182,"20230519",LG,한화,잠실,19798.00000
183,"20230519",KT,두산,수원,6817.00000
184,"20230519",롯데,SSG,사직,19011.00000
185,"20230519",NC,삼성,창원,8493.00000
186,"20230519",KIA,키움,광주,11290.00000
187,"20230520",LG,한화,잠실,23750.00000
188,"20230520",KT,두산,수원,13253.00000
189,"20230520",롯데,SSG,사직,22990.00000
190,"20230520",NC,삼성,창원,14870.00000
191,"20230520",KIA,키움,광주,19030.00000
192,"20230521",LG,한화,잠실,22054.00000
193,"20230521",KT,두산,수원,10521.00000
194,"20230521",롯데,SSG,사직,22990.00000
195,"20230521",NC,삼성,창원,10910.00000
196,"20230521",KIA,키움,광주,14617.00000
197,"20230523",한화,KIA,한밭,6376.00000
198,"20230523",SSG,LG,문학,12508.00000
199,"20230523",롯데,NC,사직,15047.00000
200,"20230523",두산,삼성,잠실,10733.00000
201,"20230523",KT,키움,수원,4203.00000
202,"20230524",한화,KIA,한밭,7004.00000
203,"20230524",SSG,LG,문학,16829.00000
204,"20230524",롯데,NC,사직,14244.00000
205,"20230524",두산,삼성,잠실,11108.00000
206,"20230524",KT,키움,수원,5173.00000
207,"20230525",한화,KIA,한밭,8186.00000
208,"20230525",SSG,LG,문학,17575.00000
209,"20230525",롯데,NC,사직,15221.00000
210,"20230525",두산,삼성,잠실,11005.00000
211,"20230525",KT,키움,수원,5235.00000
212,"20230526",NC,한화,창원,5952.00000
213,"20230526",삼성,KT,대구,12874.00000
214,"20230526",KIA,LG,광주,10954.00000
215,"20230526",키움,롯데,고척,11692.00000
216,"20230526",두산,SSG,잠실,10428.00000
217,"20230527",NC,한화,창원,9558.00000
218,"20230527",삼성,KT,대구,17305.00000
219,"20230527",KIA,LG,광주,17931.00000
220,"20230527",키움,롯데,고척,16000.00000
221,"20230528",삼성,KT,대구,14523.00000
222,"20230528",KIA,LG,광주,17015.00000
223,"20230528",키움,롯데,고척,16000.00000
224,"20230530",KIA,KT,광주,5352.00000
225,"20230530",LG,롯데,잠실,20330.00000
226,"20230530",NC,두산,창원,3180.00000
227,"20230530",SSG,삼성,문학,10232.00000
228,"20230530",한화,키움,한밭,4486.00000
229,"20230531",KIA,KT,광주,7244.00000
230,"20230531",LG,롯데,잠실,21269.00000
231,"20230531",NC,두산,창원,4180.00000
232,"20230531",SSG,삼성,문학,10745.00000
233,"20230531",한화,키움,한밭,4384.00000
234,"20230601",LG,롯데,잠실,22020.00000
235,"20230601",SSG,삼성,문학,9028.00000
236,"20230601",한화,키움,한밭,5040.00000
237,"20230602",롯데,KIA,사직,18996.00000
238,"20230602",LG,NC,잠실,10238.00000
