날짜,시간,경기종류,장소,홈팀,홈점수,원정팀,원정점수,중계채널
2025-12-01,14:00,정규시즌,잠실학생체육관,SK,100,KT,62,"IB SPORTS, TVING"
2025-12-01,14:00,정규시즌,고양 소노 아레나,소노,67,KCC,74,"tvN SPORTS, TVING"
2025-12-01,16:00,정규시즌,대구체육관,한국가스공사,83,정관장,80,"tvN SPORTS, TVING"
2025-12-02,19:00,정규시즌,잠실실내체육관,삼성,71,현대모비스,87,"tvN SPORTS, TVING"
2025-12-03,13:00,D리그 1차,이천 LG 챔피언스파크,LG,82,SK,85,"기타"
2025-12-03,15:15,D리그 1차,이천 LG 챔피언스파크,현대모비스,90,KT,79,"기타"
2025-12-03,19:00,정규시즌,대구체육관,한국가스공사,85,소노,63,"IB SPORTS, TVING"
2025-12-04,19:00,정규시즌,원주종합체육관,DB,98,정관장,67,"IB SPORTS, TVING"
2025-12-05,19:00,정규시즌,울산동천체육관,현대모비스,83,LG,75,"IB SPORTS, TVING"
2025-12-05,19:00,정규시즌,대구체육관,한국가스공사,59,삼성,74,"tvN SPORTS, TVING"
2025-12-06,19:00,정규시즌,안양 정관장 아레나,정관장,69,SK,73,"IB SPORTS, TVING"
2025-12-06,19:00,정규시즌,고양 소노 아레나,소노,64,KT,72,"tvN SPORTS, TVING"
2025-12-07,14:00,정규시즌,울산동천체육관,현대모비스,89,한국가스공사,85,"IB SPORTS, TVING"
2025-12-07,14:00,정규시즌,잠실실내체육관,삼성,61,KCC,78,"tvN SPORTS, TVING"
2025-12-07,16:00,정규시즌,창원체육관,LG,76,DB,74,"tvN SPORTS, TVING"
2025-12-08,14:00,정규시즌,수원 KT 아레나,KT,60,KCC,58,"tvN SPORTS, TVING"
2025-12-08,14:00,정규시즌,고양 소노 아레나,소노,81,SK,92,"IB SPORTS, TVING"
2025-12-08,16:00,정규시즌,울산동천체육관,현대모비스,71,정관장,95,"tvN SPORTS, TVING"
2025-12-09,19:00,정규시즌,대구체육관,한국가스공사,85,LG,78,"tvN SPORTS, TVING"
2025-12-10,19:00,정규시즌,부산사직체육관,KCC,80,SK,74,"tvN SPORTS, TVING"
2025-12-11,19:00,정규시즌,안양 정관장 아레나,정관장,73,삼성,80,"tvN SPORTS, TVING"
2025-12-12,19:00,정규시즌,대구체육관,한국가스공사,78,KCC,100,"IB SPORTS, TVING"
2025-12-12,19:00,정규시즌,울산동천체육관,현대모비스,87,DB,84,"tvN SPORTS, TVING"
