일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
09.01(목),18:30,롯데,1,2,두산,잠실,SS-T,-
09.01(목),18:30,NC,3,2,SSG,문학,SPO-2T,-
09.01(목),18:30,LG,3,1,KT,수원,SPO-T,-
09.01(목),18:30,삼성,4,1,KIA,광주,KN-T; G-CMB,-
09.01(목),18:30,한화,1,7,키움,고척,MS-T,-
09.02(금),18:30,롯데,16,4,두산,잠실,SS-T,-
09.02(금),18:30,NC,3,5,SSG,문학,SPO-2T,-
09.02(금),18:30,LG,2,1,KT,수원,SPO-T,-
09.02(금),18:30,삼성,3,8,KIA,광주,KN-T; G-CMB,-
09.02(금),18:30,한화,0,4,키움,고척,MS-T,-
09.03(토),17:00,삼성,4,1,두산,잠실,SS-T,-
09.03(토),17:00,키움,2,1,SSG,문학,SPO-T,-
09.03(토),17:00,LG,,,롯데,사직,SPO-2T,우천취소
09.03(토),17:00,KT,5,1,KIA,광주,KN-T; G-CMB,-
09.03(토),17:00,NC,3,7,한화,대전,MS-T; D-CMB,-
09.04(일),14:00,삼성,,,두산,잠실,SS-T,우천취소
09.04(일),14:00,키움,,,SSG,문학,SPO-T,우천취소
09.04(일),14:00,LG,14,1,롯데,사직,SPO-2T,-
09.04(일),14:00,KT,6,2,KIA,광주,KN-T; G-CMB,-
09.04(일),14:00,NC,1,10,한화,대전,MS-T; D-CMB,-
09.06(화),18:30,SSG,8,6,LG,잠실,SPO-T,-
09.06(화),18:30,키움,4,11,삼성,대구,SS-T,-
09.06(화),18:30,두산,3,4,NC,창원,KN-T,-
09.06(화),18:30,한화,5,8,KT,수원,SPO-2T,-
09.06(화),18:30,KIA,3,6,롯데,울산,MS-T,-
09.07(수),18:30,SSG,2,2,LG,잠실,SPO-T,-
09.07(수),18:30,키움,1,2,삼성,대구,SS-T,-
09.07(수),18:30,두산,5,16,NC,창원,KN-T,-
09.07(수),18:30,한화,2,4,KT,수원,SPO-2T,-
09.07(수),18:30,KIA,12,6,롯데,울산,MS-T,-
09.08(목),18:30,한화,5,4,두산,잠실,SS-T,-
09.08(목),18:30,KIA,9,4,SSG,문학,KN-T,-
09.08(목),18:30,롯데,2,1,삼성,대구,MS-T,-
09.08(목),18:30,NC,8,3,KT,수원,SPO-2T,-
09.08(목),18:30,LG,2,3,키움,고척,SPO-T,-
09.09(금),14:00,한화,0,11,두산,잠실,SS-T,-
09.09(금),14:00,KIA,16,9,SSG,문학,KN-T,-
09.09(금),14:00,롯데,0,4,삼성,대구,MS-T,-
09.09(금),14:00,NC,17,1,KT,수원,SPO-2T,-
09.09(금),14:00,LG,6,3,키움,고척,SPO-T,-
09.10(토),14:00,KIA,3,0,두산,잠실,M-T,-
09.10(토),17:00,NC,6,3,롯데,사직,MS-T,-
09.10(토),17:00,LG,10,1,삼성,대구,SPO-2T,-
09.10(토),17:00,KT,2,1,키움,고척,SPO-T,-
09.10(토),17:00,SSG,0,5,한화,대전,KN-T; D-CMB,-
09.11(일),14:00,KIA,3,6,두산,잠실,KN-T,-
09.11(일),14:00,NC,11,6,롯데,사직,MS-T,-
09.11(일),14:00,LG,1,3,삼성,대구,SPO-2T,-
09.11(일),14:00,KT,0,5,키움,고척,SS-T,-
09.11(일),14:00,SSG,12,1,한화,대전,SPO-T; D-CMB,-
09.13(화),18:30,LG,5,0,두산,잠실,KN-T,-
09.13(화),18:30,SSG,8,9,롯데,사직,SPO-2T,-
09.13(화),18:30,삼성,3,1,NC,창원,SPO-T,-
09.13(화),18:30,키움,4,1,KIA,광주,SS-T; G-CMB,-
09.13(화),18:30,KT,5,2,한화,대전,MS-T; D-CMB,-
09.14(수),18:30,LG,0,5,두산,잠실,KN-T,-
09.14(수),18:30,SSG,3,1,롯데,사직,SPO-2T,-
09.14(수),18:30,삼성,2,7,NC,창원,SPO-T,-
09.14(수),18:30,키움,2,0,KIA,광주,SS-T; G-CMB,-
09.14(수),18:30,KT,1,4,한화,대전,MS-T; D-CMB,-
09.15(목),18:30,KT,0,2,LG,잠실,SPO-T,-
09.15(목),18:30,키움,2,4,롯데,사직,KN-T,-
09.15(목),18:30,두산,3,13,삼성,대구,MS-T,-
09.15(목),18:30,SSG,0,6,NC,창원,SPO-2T,-
09.15(목),18:30,한화,2,1,KIA,광주,SS-T; G-CMB,-
09.16(금),18:30,KT,,,LG,잠실,SPO-T,우천취소
09.16(금),18:30,키움,12,10,롯데,사직,KN-T,-
09.16(금),18:30,두산,13,11,삼성,대구,MS-T,-
09.16(금),18:30,SSG,10,0,NC,창원,SPO-2T,-
09.16(금),18:30,한화,7,6,KIA,광주,SS-T; G-CMB,-
09.17(토),17:00,한화,1,4,LG,잠실,MS-T,-
09.17(토),17:00,두산,4,1,SSG,문학,SPO-T,-
09.17(토),17:00,KIA,1,10,삼성,대구,KN-T,-
09.17(토),17:00,롯데,2,0,KT,수원,SPO-2T,-
09.17(토),17:00,NC,3,10,키움,고척,SS-T,-
09.18(일),14:00,한화,5,1,LG,잠실,MS-T,-
09.18(일),14:00,두산,13,14,SSG,문학,SPO-T,-
09.18(일),14:00,KIA,6,9,삼성,대구,KN-T,-
09.18(일),14:00,롯데,3,6,KT,수원,SPO-2T,-
09.18(일),14:00,NC,5,1,키움,고척,SS-T,-
09.20(화),18:30,NC,2,8,두산,잠실,SPO-2T,-
09.20(화),18:30,KT,2,4,SSG,문학,MS-T,-
09.20(화),18:30,LG,11,1,KIA,광주,SS-T; G-CMB,-
09.20(화),18:30,삼성,10,2,키움,고척,SPO-T,-
09.20(화),18:30,롯데,8,6,한화,대전,KN-T; D-CMB,-
09.21(수),18:30,NC,5,1,두산,잠실,SPO-2T,-
09.21(수),18:30,KT,4,3,SSG,문학,MS-T,-
09.21(수),18:30,LG,11,2,KIA,광주,SS-T; G-CMB,-
09.21(수),18:30,삼성,4,5,키움,고척,SPO-T,-
09.21(수),18:30,롯데,9,0,한화,대전,KN-T; D-CMB,-
09.22(목),18:30,롯데,7,1,LG,잠실,SPO-T,-
09.22(목),18:30,한화,1,10,SSG,문학,KN-T,-
09.22(목),18:30,KT,9,7,삼성,대구,MS-T,-
09.22(목),18:30,KIA,3,1,NC,창원,SS-T,-
09.22(목),18:30,두산,5,2,키움,고척,SPO-2T,-
09.23(금),18:30,롯데,0,1,LG,잠실,SPO-T,-
09.23(금),18:30,한화,4,5,SSG,문학,KN-T,-
09.23(금),18:30,KT,3,5,삼성,대구,MS-T,-
09.23(금),18:30,KIA,2,5,NC,창원,SS-T,-
09.23(금),18:30,두산,1,5,키움,고척,SPO-2T,-
09.24(토),17:00,한화,2,0,LG,잠실,SPO-T,-
09.24(토),17:00,두산,5,14,SSG,문학,KN-T; SPO-2T,-
09.24(토),17:00,KIA,3,0,NC,창원,SS-T,-
09.24(토),17:00,롯데,5,9,키움,고척,MS-T,-
09.25(일),14:00,한화,3,5,두산,잠실,SS-T,-
09.25(일),14:00,LG,6,2,SSG,문학,SPO-T,-
09.25(일),14:00,KIA,4,3,삼성,대구,KN-T,-
09.25(일),14:00,KT,9,1,NC,창원,MS-T; SPO-2T,-
09.27(화),18:30,키움,5,6,NC,창원,SS-T; SPO-T,-
09.27(화),18:30,두산,4,5,KT,수원,KN-T; SPO-2T,-
09.27(화),18:30,LG,1,0,한화,대전,MS-T; D-CMB,-
09.28(수),18:30,삼성,3,4,NC,창원,MS-T; SPO-T,-
09.28(수),18:30,두산,0,8,KT,수원,SS-T; SPO-2T,-
09.28(수),18:30,LG,4,1,한화,대전,KN-T; D-CMB,-
09.29(목),18:30,KT,5,3,LG,잠실,SS-T,-
09.29(목),18:30,키움,14,9,SSG,문학,SPO-T,-
09.29(목),18:30,NC,0,3,삼성,대구,KN-T,-
09.29(목),18:30,롯데,4,5,KIA,광주,SPO-2T; G-CMB,-
09.29(목),18:30,두산,6,5,한화,대전,MS-T; D-CMB,-
09.30(금),18:30,NC,1,2,LG,잠실,SPO-2T,-
09.30(금),18:30,키움,3,7,SSG,문학,SPO-T,-
09.30(금),18:30,두산,3,11,삼성,대구,MS-T; SS-T,-
09.30(금),18:30,롯데,6,5,한화,대전,KN-T; D-CMB,-
