일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
07.01(금),18:30,한화,4,12,KIA,무등,,-
07.01(금),18:30,SK,5,6,넥센,목동,,-
07.01(금),18:30,두산,6,0,LG,잠실,MS-T,-
07.01(금),18:30,롯데,4,5,삼성,대구,KN-T; SPO-T,-
07.02(토),17:00,한화,11,7,KIA,무등,,-
07.02(토),17:00,SK,3,5,넥센,목동,,-
07.02(토),17:00,두산,4,3,LG,잠실,MS-T,-
07.02(토),17:00,롯데,8,4,삼성,대구,KN-T; SPO-T,-
07.03(일),17:00,한화,1,5,KIA,무등,,-
07.03(일),17:00,SK,,,넥센,목동,,우천취소
07.03(일),17:00,두산,,,LG,잠실,MS-T,우천취소
07.03(일),17:00,롯데,,,삼성,대구,KN-T; SPO-T,우천취소
07.05(화),18:30,넥센,1,3,KIA,군산,,-
07.05(화),18:30,롯데,6,2,두산,잠실,SPO-T,-
07.05(화),18:30,삼성,6,5,SK,문학,KN-T,-
07.05(화),18:30,LG,1,2,한화,대전,MS-T,-
07.06(수),18:30,넥센,1,2,KIA,군산,,-
07.06(수),18:30,롯데,4,1,두산,잠실,SPO-T,-
07.06(수),18:30,삼성,9,5,SK,문학,KN-T,-
07.06(수),18:30,LG,10,7,한화,대전,MS-T,-
07.07(목),18:30,넥센,5,7,KIA,군산,,-
07.07(목),18:30,롯데,,,두산,잠실,SPO-T,우천취소
07.07(목),18:30,삼성,,,SK,문학,KN-T,우천취소
07.07(목),18:30,LG,4,1,한화,대전,MS-T,-
07.08(금),18:30,KIA,1,0,LG,잠실,SPO-T,-
07.08(금),18:30,롯데,2,10,SK,문학,,-
07.08(금),18:30,두산,2,1,삼성,대구,KN-T,-
07.08(금),18:30,넥센,,,한화,대전,MS-T,우천취소
07.09(토),17:00,KIA,3,4,LG,잠실,SPO-T,-
07.09(토),17:00,롯데,1,2,SK,문학,,-
07.09(토),17:00,두산,,,삼성,대구,KN-T,우천취소
07.09(토),17:00,넥센,5,7,한화,대전,MS-T,-
07.10(일),17:00,KIA,6,2,LG,잠실,SPO-T,-
07.10(일),17:00,롯데,,,SK,문학,,우천취소
07.10(일),17:00,두산,,,삼성,대구,KN-T,우천취소
