날짜,시간,경기종류,장소,홈팀,홈점수,원정팀,원정점수,중계채널
2025-01-01,14:00,정규시즌,수원 KT 아레나,KT,86,KCC,68,"tvN SPORTS, TVING"
2025-01-01,14:00,정규시즌,창원체육관,LG,74,SK,77,"IB SPORTS, TVING"
2025-01-01,16:00,정규시즌,안양 정관장 아레나,정관장,59,소노,62,"tvN SPORTS, TVING"
2025-01-02,19:00,정규시즌,잠실실내체육관,삼성,79,DB,80,"tvN SPORTS, TVING"
2025-01-03,19:00,정규시즌,수원 KT 아레나,KT,80,정관장,64,"IB SPORTS, TVING"
2025-01-03,19:00,정규시즌,잠실학생체육관,SK,78,소노,70,"tvN SPORTS, TVING"
2025-01-04,14:00,정규시즌,울산동천체육관,현대모비스,85,LG,64,"IB SPORTS, TVING"
2025-01-04,14:00,정규시즌,잠실실내체육관,삼성,77,한국가스공사,114,"tvN SPORTS, TVING"
2025-01-04,16:00,정규시즌,부산사직체육관,KCC,86,DB,88,"tvN SPORTS, TVING"
2025-01-05,14:00,정규시즌,창원체육관,LG,67,소노,64,"IB SPORTS, TVING"
2025-01-05,14:00,정규시즌,잠실학생체육관,SK,67,KT,63,"tvN SPORTS, TVING"
2025-01-05,16:00,정규시즌,안양 정관장 아레나,정관장,77,한국가스공사,84,"tvN SPORTS, TVING"
2025-01-06,19:00,정규시즌,잠실실내체육관,삼성,86,KCC,72,"tvN SPORTS, TVING"
2025-01-07,13:00,D리그 1차,이천 LG 챔피언스파크,LG,86,상무,89,"기타"
2025-01-07,15:00,D리그 1차,이천 LG 챔피언스파크,KCC,89,삼성,52,"기타"
2025-01-07,19:00,정규시즌,잠실학생체육관,SK,63,한국가스공사,55,"tvN SPORTS, TVING"
2025-01-08,19:00,정규시즌,울산동천체육관,현대모비스,92,정관장,77,"tvN SPORTS, TVING"
2025-01-09,19:00,정규시즌,잠실실내체육관,삼성,92,LG,88,"IB SPORTS, TVING"
2025-01-09,19:00,정규시즌,고양 소노 아레나,소노,68,KCC,93,"tvN SPORTS, TVING"
2025-01-10,19:00,정규시즌,잠실학생체육관,SK,76,현대모비스,70,"IB SPORTS, TVING"
2025-01-10,19:00,정규시즌,대구체육관,한국가스공사,84,DB,61,"tvN SPORTS, TVING"
2025-01-11,14:00,정규시즌,수원 KT 아레나,KT,63,삼성,78,"tvN SPORTS, TVING"
2025-01-11,14:00,정규시즌,안양 정관장 아레나,정관장,82,LG,86,"IB SPORTS, TVING"
2025-01-11,16:00,정규시즌,고양 소노 아레나,소노,70,KCC,73,"tvN SPORTS, TVING"
2025-01-12,14:00,정규시즌,원주종합체육관,DB,69,현대모비스,94,"tvN SPORTS, TVING"
2025-01-12,14:00,정규시즌,안양 정관장 아레나,정관장,74,한국가스공사,67,"IB SPORTS, TVING"
2025-01-12,16:00,정규시즌,고양 소노 아레나,소노,57,SK,84,"tvN SPORTS, TVING"
2025-01-13,19:00,정규시즌,부산사직체육관,KCC,69,삼성,81,"tvN SPORTS, TVING"
2025-01-13,19:00,정규시즌,수원 KT 아레나,KT,70,LG,78,"IB SPORTS, TVING"
2025-01-14,19:00,정규시즌,원주종합체육관,DB,80,한국가스공사,68,"tvN SPORTS, TVING"
2025-01-14,19:00,정규시즌,잠실학생체육관,SK,84,정관장,69,"IB SPORTS, TVING"
2025-01-15,19:00,정규시즌,창원체육관,LG,84,삼성,79,"IB SPORTS, TVING"
2025-01-15,19:00,정규시즌,고양 소노 아레나,소노,84,현대모비스,81,"tvN SPORTS, TVING"
2025-01-16,19:00,정규시즌,잠실학생체육관,SK,74,DB,65,"tvN SPORTS, TVING"
2025-01-16,19:00,정규시즌,대구체육관,한국가스공사,76,KT,74,"IB SPORTS, TVING"
2025-01-17,13:00,D리그 1차,이천 LG 챔피언스파크,KCC,101,상무,99,"기타"
