"MATCH_SEQ_NO","MATCH_DE","BASE_YEAR","BASE_MT","BASE_DAY","GRP_NM","LEA_NM","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO","COLCT_DE","UPDT_DE"
57,"20230930","2023","09","30",KLEAGUE,K리그1,전북,대구,전주 월드컵,14963.00000,"20250715","20250715"
58,"20250325","2025","03","25",KBO,정규리그,삼성,NC,대구,21024.00000,"20250715","20250715"
59,"20230923","2023","09","23",KLEAGUE,K리그1,대전,수원,대전 월드컵,14810.00000,"20250715","20250715"
60,"20250325","2025","03","25",KBO,정규리그,KT,두산,수원,8141.00000,"20250715","20250715"
61,"20230930","2023","09","30",KLEAGUE,K리그1,포항,울산,포항 스틸야드,14640.00000,"20250715","20250715"
62,"20250325","2025","03","25",KBO,정규리그,KIA,키움,광주,15053.00000,"20250715","20250715"
63,"20250326","2025","03","26",KBO,정규리그,LG,한화,잠실,23750.00000,"20250715","20250715"
64,"20230708","2023","07","08",KLEAGUE,K리그1,포항,울산,포항 스틸야드,14486.00000,"20250715","20250715"
65,"20250326","2025","03","26",KBO,정규리그,SSG,롯데,문학,14855.00000,"20250715","20250715"
66,"20230528","2023","05","28",KLEAGUE,K리그1,서울,강원,서울 월드컵,14419.00000,"20250715","20250715"
67,"20250326","2025","03","26",KBO,정규리그,삼성,NC,대구,24000.00000,"20250715","20250715"
68,"20250326","2025","03","26",KBO,정규리그,KT,두산,수원,9607.00000,"20250715","20250715"
69,"20230529","2023","05","29",KLEAGUE,K리그1,포항,전북,포항 스틸야드,14377.00000,"20250715","20250715"
70,"20250326","2025","03","26",KBO,정규리그,KIA,키움,광주,17780.00000,"20250715","20250715"
71,"20230520","2023","05","20",KLEAGUE,K리그1,대전,대구,대전 월드컵,14275.00000,"20250715","20250715"
72,"20250327","2025","03","27",KBO,정규리그,LG,한화,잠실,23750.00000,"20250715","20250715"
73,"20250327","2025","03","27",KBO,정규리그,SSG,롯데,문학,14155.00000,"20250715","20250715"
74,"20230812","2023","08","12",KLEAGUE,K리그1,전북,수원,전주 월드컵,14216.00000,"20250715","20250715"
75,"20250327","2025","03","27",KBO,정규리그,삼성,NC,대구,20781.00000,"20250715","20250715"
76,"20250327","2025","03","27",KBO,정규리그,KT,두산,수원,9024.00000,"20250715","20250715"
77,"20230226","2023","02","26",KLEAGUE,K리그1,포항,대구,포항 스틸야드,14089.00000,"20250715","20250715"
78,"20250327","2025","03","27",KBO,정규리그,KIA,키움,광주,12288.00000,"20250715","20250715"
79,"20230604","2023","06","04",KLEAGUE,K리그1,대전,인천,대전 월드컵,13779.00000,"20250715","20250715"
80,"20250328","2025","03","28",KBO,정규리그,한화,KIA,대전(신),17000.00000,"20250715","20250715"
81,"20250328","2025","03","28",KBO,정규리그,롯데,KT,사직,22665.00000,"20250715","20250715"
82,"20230430","2023","04","30",KLEAGUE,K리그1,대전,제주,대전 월드컵,13777.00000,"20250715","20250715"
83,"20250328","2025","03","28",KBO,정규리그,NC,LG,창원,15510.00000,"20250715","20250715"
84,"20230709","2023","07","09",KLEAGUE,K리그1,대전,수원,대전 월드컵,13685.00000,"20250715","20250715"
85,"20250328","2025","03","28",KBO,정규리그,키움,SSG,고척,11002.00000,"20250715","20250715"
86,"20250328","2025","03","28",KBO,정규리그,두산,삼성,잠실,23750.00000,"20250715","20250715"
87,"20230521","2023","05","21",KLEAGUE,K리그1,전북,수원FC,전주 월드컵,13634.00000,"20250715","20250715"
88,"20250329","2025","03","29",KBO,정규리그,한화,KIA,대전(신),17000.00000,"20250715","20250715"
89,"20231029","2023","10","29",KLEAGUE,K리그2,부산,부천,부산 아시아드,13340.00000,"20250715","20250715"
90,"20250329","2025","03","29",KBO,정규리그,롯데,KT,사직,22665.00000,"20250715","20250715"
91,"20250329","2025","03","29",KBO,정규리그,NC,LG,창원,17943.00000,"20250715","20250715"
92,"20230813","2023","08","13",KLEAGUE,K리그1,대전,서울,대전 월드컵,13290.00000,"20250715","20250715"
93,"20250329","2025","03","29",KBO,정규리그,키움,SSG,고척,13785.00000,"20250715","20250715"
94,"20230603","2023","06","03",KLEAGUE,K리그1,수원,수원FC,수원 월드컵,13104.00000,"20250715","20250715"
95,"20250329","2025","03","29",KBO,정규리그,두산,삼성,잠실,23750.00000,"20250715","20250715"
96,"20250330","2025","03","30",KBO,정규리그,한화,KIA,대전(신),17000.00000,"20250715","20250715"
97,"20230721","2023","07","21",KLEAGUE,K리그1,울산,제주,울산 문수,13073.00000,"20250715","20250715"
98,"20250330","2025","03","30",KBO,정규리그,롯데,KT,사직,22665.00000,"20250715","20250715"
99,"20230401","2023","04","01",KLEAGUE,K리그1,전북,포항,전주 월드컵,12767.00000,"20250715","20250715"
100,"20250330","2025","03","30",KBO,정규리그,키움,SSG,고척,13081.00000,"20250715","20250715"
101,"20230521","2023","05","21",KLEAGUE,K리그1,수원,울산,수원 월드컵,12639.00000,"20250715","20250715"
102,"20250330","2025","03","30",KBO,정규리그,두산,삼성,잠실,23750.00000,"20250715","20250715"
103,"20250402","2025","04","02",KBO,정규리그,KT,LG,수원,7829.00000,"20250715","20250715"
104,"20231203","2023","12","03",KLEAGUE,K리그1,대구,인천,대구iM뱅크PARK,12334.00000,"20250715","20250715"
105,"20250402","2025","04","02",KBO,정규리그,한화,롯데,대전(신),16252.00000,"20250715","20250715"
106,"20231028","2023","10","28",KLEAGUE,K리그1,전북,포항,전주 월드컵,12266.00000,"20250715","20250715"
107,"20250402","2025","04","02",KBO,정규리그,KIA,삼성,광주,12172.00000,"20250715","20250715"
108,"20230319","2023","03","19",KLEAGUE,K리그1,대구,전북,대구iM뱅크PARK,12253.00000,"20250715","20250715"
109,"20250402","2025","04","02",KBO,정규리그,두산,키움,잠실,8336.00000,"20250715","20250715"
110,"20231111","2023","11","11",KLEAGUE,K리그1,대구,광주,대구iM뱅크PARK,12222.00000,"20250715","20250715"
111,"20250403","2025","04","03",KBO,정규리그,KT,LG,수원,8627.00000,"20250715","20250715"
112,"20250403","2025","04","03",KBO,정규리그,한화,롯데,대전(신),16559.00000,"20250715","20250715"
113,"20231021","2023","10","21",KLEAGUE,K리그1,대구,전북,대구iM뱅크PARK,12211.00000,"20250715","20250715"
114,"20250403","2025","04","03",KBO,정규리그,KIA,삼성,광주,12826.00000,"20250715","20250715"
