일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
07.01(토),18:00,KIA,5,3,LG,잠실,MS-T,-
07.01(토),18:00,한화,10,4,삼성,대구,SS-T,-
07.01(토),18:00,NC,6,7,KT,수원,SPO-T,-
07.01(토),18:00,SSG,3,6,키움,고척,SPO-2T,-
07.01(토),18:00,두산,2,1,롯데,울산,KN-T,-
07.02(일),14:00,SSG,9,5,키움,고척,SPO-2T,-
07.02(일),17:00,KIA,1,3,LG,잠실,MS-T,-
07.02(일),17:00,한화,1,2,삼성,대구,SS-T,-
07.02(일),17:00,NC,0,5,KT,수원,SPO-T,-
07.02(일),17:00,두산,4,2,롯데,울산,KN-T,-
07.04(화),18:30,KT,,,LG,잠실,KN-T,우천취소
07.04(화),18:30,KIA,,,SSG,문학,SPO-T,우천취소
07.04(화),18:30,NC,4,8,키움,고척,SPO-2T,-
07.04(화),18:30,롯데,,,한화,대전,MS-T,우천취소
07.04(화),18:30,두산,5,3,삼성,포항,SS-T,-
07.05(수),18:30,KT,8,4,LG,잠실,KN-T,-
07.05(수),18:30,KIA,17,3,SSG,문학,SPO-T,-
07.05(수),18:30,NC,0,2,키움,고척,SPO-2T,-
07.05(수),18:30,롯데,3,5,한화,대전,MS-T,-
07.05(수),18:30,두산,7,4,삼성,포항,SS-T,-
07.06(목),18:30,KT,7,8,LG,잠실,KN-T,-
07.06(목),18:30,KIA,7,6,SSG,문학,SPO-T,-
07.06(목),18:30,NC,5,4,키움,고척,SPO-2T,-
07.06(목),18:30,롯데,4,3,한화,대전,MS-T,-
07.06(목),18:30,두산,5,1,삼성,포항,SS-T,-
07.07(금),18:30,키움,0,10,두산,잠실,KN-T,-
07.07(금),18:30,LG,,,롯데,사직,SPO-2T,우천취소
07.07(금),18:30,삼성,,,NC,창원,SS-T,우천취소
07.07(금),18:30,KIA,6,2,KT,수원,MS-T,-
07.07(금),18:30,SSG,,,한화,대전,SPO-T,우천취소
07.08(토),18:00,키움,2,5,두산,잠실,KN-T,-
07.08(토),18:00,LG,12,3,롯데,사직,SPO-2T,-
07.08(토),18:00,삼성,8,0,NC,창원,SS-T,-
07.08(토),18:00,KIA,7,0,KT,수원,MS-T,-
07.08(토),18:00,SSG,9,7,한화,대전,SPO-T,-
07.09(일),17:00,키움,2,9,두산,잠실,KN-T,-
07.09(일),17:00,LG,4,7,롯데,사직,SPO-2T,-
07.09(일),17:00,삼성,7,0,NC,창원,SS-T,-
07.09(일),17:00,KIA,5,1,KT,수원,MS-T,-
07.09(일),17:00,SSG,0,7,한화,대전,SPO-T,-
07.11(화),18:30,한화,,,LG,잠실,SPO-2T,우천취소
07.11(화),18:30,두산,,,SSG,문학,SPO-T,우천취소
07.11(화),18:30,롯데,,,NC,창원,MS-T,그라운드사정
07.11(화),18:30,삼성,,,KIA,광주,KN-T; G-CMB,우천취소
07.11(화),18:30,KT,4,2,키움,고척,SS-T,-
07.12(수),18:30,한화,2,1,LG,잠실,SPO-2T,-
07.12(수),18:30,두산,4,1,SSG,문학,SPO-T,-
07.12(수),18:30,롯데,2,11,NC,창원,MS-T,-
07.12(수),18:30,삼성,2,3,KIA,광주,KN-T; G-CMB,-
07.12(수),18:30,KT,4,3,키움,고척,SS-T,-
07.13(목),18:30,한화,,,LG,잠실,SPO-2T,우천취소
07.13(목),18:30,두산,,,SSG,문학,SPO-T,우천취소
07.13(목),18:30,롯데,3,13,NC,창원,MS-T,-
07.13(목),18:30,삼성,4,1,KIA,광주,KN-T; G-CMB,-
07.13(목),18:30,KT,9,0,키움,고척,SS-T,-
07.21(금),18:30,SSG,6,4,LG,잠실,SPO-T,-
07.21(금),18:30,키움,0,2,롯데,사직,KN-T,-
07.21(금),18:30,KT,7,2,삼성,대구,SPO-2T,-
07.21(금),18:30,두산,5,2,KIA,광주,MS-T; G-CMB,-
07.21(금),18:30,NC,9,3,한화,대전,SS-T; D-CMB,-
07.22(토),18:00,SSG,,,LG,잠실,SPO-T,우천취소
07.22(토),18:00,키움,5,3,롯데,사직,KN-T,-
07.22(토),18:00,KT,2,5,삼성,대구,SPO-2T,-
07.22(토),18:00,두산,,,KIA,광주,MS-T; G-CMB,우천취소
07.22(토),18:00,NC,7,5,한화,대전,SS-T; D-CMB,-
07.23(일),17:00,SSG,,,LG,잠실,SPO-T,우천취소
07.23(일),17:00,키움,7,6,롯데,사직,KN-T,-
07.23(일),17:00,KT,8,7,삼성,대구,SPO-2T,-
07.23(일),17:00,두산,,,KIA,광주,MS-T; G-CMB,우천취소
07.23(일),17:00,NC,,,한화,대전,SS-T; D-CMB,우천취소
07.25(화),18:30,롯데,5,8,두산,잠실,네이버; Daum카카오; TVING; wavve; 스포키,-
07.25(화),18:30,SSG,1,5,삼성,대구,SPO-T,-
07.25(화),18:30,KIA,3,5,NC,창원,SPO-2T,-
07.25(화),18:30,LG,1,4,KT,수원,KN-T,-
07.25(화),18:30,한화,16,6,키움,고척,MS-T,-
