일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
04.07(토),13:55,KIA,2,6,SK,문학,S-T,-
04.07(토),13:55,한화,1,4,롯데,사직,K-2T,-
04.07(토),14:00,넥센,6,2,두산,잠실,,-
04.07(토),14:00,LG,6,3,삼성,대구,MS-T; XTM-T,-
04.08(일),14:00,넥센,11,13,두산,잠실,KN-T,-
04.08(일),14:00,KIA,1,4,SK,문학,MS-T,-
04.08(일),14:00,한화,5,10,롯데,사직,M-T,-
04.08(일),14:00,LG,3,2,삼성,대구,XTM-T; TM-T,-
04.10(화),18:30,SK,,,넥센,목동,KN-T,우천취소
04.10(화),18:30,삼성,,,KIA,무등,,우천취소
04.10(화),18:30,롯데,,,LG,잠실,MS-T,우천취소
04.10(화),18:30,두산,,,한화,청주,XTM-T; SPO-T,우천취소
04.11(수),18:30,SK,5,1,넥센,목동,KN-T,-
04.11(수),18:30,삼성,0,1,KIA,무등,,-
04.11(수),18:30,롯데,8,3,LG,잠실,MS-T,-
04.11(수),18:30,두산,6,0,한화,청주,XTM-T; SPO-T,-
04.12(목),18:30,SK,2,4,넥센,목동,KN-T,-
04.12(목),18:30,삼성,10,2,KIA,무등,,-
04.12(목),18:30,롯데,0,4,LG,잠실,MS-T,-
04.12(목),18:30,두산,2,8,한화,청주,XTM-T; SPO-T,-
04.13(금),18:30,KIA,8,6,LG,잠실,,-
04.13(금),18:30,한화,0,1,SK,문학,XTM-T; SPO-T,-
04.13(금),18:30,두산,6,1,롯데,사직,MS-T,-
04.13(금),18:30,넥센,0,2,삼성,대구,KN-T,-
04.14(토),17:00,KIA,9,7,LG,잠실,,-
04.14(토),17:00,한화,0,1,SK,문학,XTM-T; ; SPO-T,-
04.14(토),17:00,두산,3,3,롯데,사직,MS-T,-
04.14(토),17:00,넥센,1,4,삼성,대구,KN-T,-
04.15(일),14:00,KIA,3,5,LG,잠실,,-
04.15(일),14:00,한화,6,11,SK,문학,XTM-T; ; SPO-T,-
04.15(일),14:00,두산,0,5,롯데,사직,MS-T; KNN-T,-
04.15(일),14:00,넥센,10,7,삼성,대구,KN-T,-
04.17(화),18:30,KIA,2,1,넥센,목동,,-
04.17(화),18:30,삼성,1,9,두산,잠실,MS-T,-
04.17(화),18:30,SK,2,3,롯데,사직,KN-T,-
04.17(화),18:30,LG,6,7,한화,청주,XTM-T,-
04.18(수),18:30,KIA,1,6,넥센,목동,,-
04.18(수),18:30,삼성,3,4,두산,잠실,MS-T,-
04.18(수),18:30,SK,8,2,롯데,사직,KN-T,-
04.18(수),18:30,LG,6,1,한화,청주,XTM-T,-
04.19(목),18:30,KIA,4,1,넥센,목동,,-
04.19(목),18:30,삼성,2,7,두산,잠실,MS-T,-
04.19(목),18:30,SK,3,6,롯데,사직,KN-T,-
04.19(목),18:30,LG,2,1,한화,청주,XTM-T,-
04.20(금),18:30,롯데,11,7,KIA,무등,KN-T,-
04.20(금),18:30,두산,4,7,넥센,목동,XTM-T,-
04.20(금),18:30,SK,1,4,LG,잠실,MS-T,-
04.20(금),18:30,삼성,9,4,한화,청주,,-
04.21(토),13:50,롯데,,,KIA,무등,S-T,우천취소
04.21(토),17:00,두산,,,넥센,목동,MS-T; XTM-T,우천취소
04.21(토),17:00,SK,,,LG,잠실,,우천취소
04.21(토),17:00,삼성,,,한화,청주,KN-T,우천취소
04.22(일),14:00,롯데,,,KIA,무등,KN-T,우천취소
04.22(일),14:00,두산,,,넥센,목동,XTM-T,우천취소
04.22(일),14:00,SK,,,LG,잠실,MS-T,우천취소
04.22(일),14:00,삼성,8,4,한화,청주,,-
04.24(화),18:30,한화,16,8,KIA,무등,KN-T,-
04.24(화),18:30,넥센,7,3,LG,잠실,MS-T; SPO-T,-
04.24(화),18:30,두산,2,1,SK,문학,,-
04.24(화),18:30,롯데,6,2,삼성,대구,XTM-T; SPO-T,-
04.25(수),18:30,한화,,,KIA,무등,KN-T,우천취소
04.25(수),18:30,넥센,,,LG,잠실,MS-T; SPO-T,우천취소
04.25(수),18:30,두산,,,SK,문학,,우천취소
04.25(수),18:30,롯데,,,삼성,대구,XTM-T; SPO-T,우천취소
04.26(목),18:30,한화,8,0,KIA,무등,KN-T,-
04.26(목),18:30,넥센,9,7,LG,잠실,MS-T; SPO-T,-
04.26(목),18:30,두산,4,2,SK,문학,,-
04.26(목),18:30,롯데,3,6,삼성,대구,XTM-T; SPO-T,-
04.27(금),18:30,KIA,0,2,두산,잠실,KN-T,-
04.27(금),18:30,삼성,4,7,SK,문학,,-
04.27(금),18:30,LG,20,8,롯데,사직,XTM-T; SPO-T,-
04.27(금),18:30,넥센,11,4,한화,청주,MS-T; SPO-T,-
04.28(토),17:00,KIA,9,8,두산,잠실,KN-T,-
04.28(토),17:00,삼성,5,8,SK,문학,,-
04.28(토),17:00,LG,3,5,롯데,사직,XTM-T; SPO-T,-
04.28(토),17:00,넥센,7,5,한화,청주,MS-T; SPO-T,-
04.29(일),14:00,KIA,3,4,두산,잠실,KN-T,-
04.29(일),14:00,삼성,9,4,SK,문학,,-
04.29(일),14:00,LG,0,5,롯데,사직,XTM-T; SPO-T,-
04.29(일),14:00,넥센,3,6,한화,청주,MS-T; SPO-T,-
