일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
08.01(화),18:30,한화,6,7,NC,마산,MS-T,-
08.01(화),18:30,롯데,0,2,LG,잠실,,-
08.01(화),18:30,두산,12,5,삼성,대구,KN-T,-
08.01(화),18:30,KT,15,7,KIA,광주,SPO-T; G-CMB,-
08.01(화),18:30,SK,0,3,넥센,고척,SS-T,-
08.02(수),18:30,한화,6,2,NC,마산,MS-T,-
08.02(수),18:30,롯데,4,5,LG,잠실,,-
08.02(수),18:30,두산,5,2,삼성,대구,KN-T,-
08.02(수),18:30,KT,,,KIA,광주,SPO-T; G-CMB,우천취소
08.02(수),18:30,SK,4,5,넥센,고척,SS-T,-
08.03(목),18:30,한화,2,10,NC,마산,MS-T,-
08.03(목),18:30,롯데,6,9,LG,잠실,,-
08.03(목),18:30,두산,14,4,삼성,대구,KN-T,-
08.03(목),18:30,KT,3,9,KIA,광주,SPO-T; G-CMB,-
08.03(목),18:30,SK,3,11,넥센,고척,SS-T,-
08.04(금),18:30,삼성,4,3,NC,마산,MS-T,-
08.04(금),18:30,두산,11,4,LG,잠실,,-
08.04(금),18:30,넥센,8,10,롯데,사직,KN-T,-
08.04(금),18:30,SK,6,5,KT,수원,SS-T,-
08.04(금),18:30,KIA,3,7,한화,대전,SPO-T; D-CMB,-
08.05(토),18:00,삼성,9,3,NC,마산,MS-T,-
08.05(토),18:00,두산,2,1,LG,잠실,,-
08.05(토),18:00,넥센,4,5,롯데,사직,KN-T,-
08.05(토),18:00,SK,3,4,KT,수원,SS-T,-
08.05(토),18:00,KIA,7,1,한화,대전,SPO-T; D-CMB,-
08.06(일),18:00,삼성,1,4,NC,마산,MS-T,-
08.06(일),18:00,두산,10,3,LG,잠실,,-
08.06(일),18:00,넥센,4,6,롯데,사직,KN-T,-
08.06(일),18:00,SK,3,6,KT,수원,SS-T,-
08.06(일),18:00,KIA,,,한화,대전,SPO-T; D-CMB,우천취소
08.08(화),18:30,한화,1,8,두산,잠실,SPO-T,-
08.08(화),18:30,NC,0,4,SK,문학,MS-T,-
08.08(화),18:30,KT,4,5,롯데,사직,KN-T,-
08.08(화),18:30,LG,10,8,삼성,대구,,-
08.08(화),18:30,넥센,5,3,KIA,광주,SS-T; G-CMB,-
08.09(수),18:30,한화,12,6,두산,잠실,SPO-T,-
08.09(수),18:30,NC,10,5,SK,문학,MS-T,-
08.09(수),18:30,KT,6,7,롯데,사직,KN-T,-
08.09(수),18:30,LG,4,7,삼성,대구,,-
08.09(수),18:30,넥센,1,10,KIA,광주,SS-T; G-CMB,-
08.10(목),18:30,롯데,2,3,NC,마산,KN-T,-
08.10(목),18:30,SK,2,1,LG,잠실,,-
08.10(목),18:30,KIA,,,KT,수원,SS-T,우천취소
08.10(목),18:30,두산,7,4,넥센,고척,MS-T,-
08.10(목),18:30,삼성,,,한화,대전,SPO-T; D-CMB,우천취소
08.11(금),18:30,롯데,5,3,NC,마산,KN-T,-
08.11(금),18:30,SK,2,6,LG,잠실,,-
08.11(금),18:30,KIA,8,9,KT,수원,SS-T,-
08.11(금),18:30,두산,3,6,넥센,고척,MS-T,-
08.11(금),18:30,삼성,3,8,한화,대전,SPO-T; D-CMB,-
08.12(토),18:00,NC,0,3,두산,잠실,KN-T,-
08.12(토),18:00,KT,3,8,SK,문학,,-
08.12(토),18:00,롯데,7,13,삼성,대구,SPO-T,-
08.12(토),18:00,LG,10,11,KIA,광주,SS-T; G-CMB,-
08.12(토),18:00,한화,6,1,넥센,고척,,-
08.13(일),18:00,NC,1,2,두산,잠실,KN-T,-
08.13(일),18:00,KT,11,3,SK,문학,MS-T,-
08.13(일),18:00,롯데,9,7,삼성,대구,SPO-T,-
08.13(일),18:00,LG,,,KIA,광주,SS-T; G-CMB,우천취소
08.13(일),18:00,한화,1,9,넥센,고척,,-
08.15(화),18:00,KT,,,LG,잠실,KN-T,우천취소
08.15(화),18:00,두산,6,8,롯데,사직,SS-T,-
08.15(화),18:00,넥센,,,삼성,대구,,우천취소
08.15(화),18:00,NC,2,4,KIA,광주,MS-T; G-CMB,-
08.15(화),18:00,SK,,,한화,대전,SPO-T; D-CMB,우천취소
08.16(수),18:30,KT,1,2,LG,잠실,KN-T,-
08.16(수),18:30,두산,2,4,롯데,사직,SS-T,-
08.16(수),18:30,넥센,6,5,삼성,대구,,-
08.16(수),18:30,NC,3,4,KIA,광주,MS-T; G-CMB,-
08.16(수),18:30,SK,5,8,한화,대전,SPO-T; D-CMB,-
08.17(목),18:30,한화,1,3,NC,마산,SS-T,-
08.17(목),18:30,KIA,1,4,두산,잠실,MS-T,-
08.17(목),18:30,LG,1,6,SK,문학,,-
08.17(목),18:30,삼성,6,4,KT,수원,KN-T,-
08.17(목),18:30,롯데,5,3,넥센,고척,SPO-T,-
08.18(금),18:30,한화,14,9,NC,마산,SS-T,-
08.18(금),18:30,KIA,1,2,두산,잠실,MS-T,-
08.18(금),18:30,LG,2,8,SK,문학,,-
08.18(금),18:30,삼성,5,1,KT,수원,KN-T,-
08.18(금),18:30,롯데,8,5,넥센,고척,SPO-T,-
08.19(토),18:00,삼성,4,6,LG,잠실,SPO-T,-
08.19(토),18:00,두산,10,4,KT,수원,,-
08.19(토),18:00,SK,13,1,KIA,광주,MS-T; G-CMB,-
08.19(토),18:00,NC,3,4,넥센,고척,KN-T,-
08.19(토),18:00,롯데,0,2,한화,대전,SS-T; D-CMB,-
08.20(일),18:00,삼성,,,LG,잠실,SPO-T,우천취소
08.20(일),18:00,두산,1,2,KT,수원,,-
08.20(일),18:00,SK,,,KIA,광주,MS-T; G-CMB,우천취소
08.20(일),18:00,NC,4,3,넥센,고척,KN-T,-
08.20(일),18:00,롯데,4,3,한화,대전,SS-T; D-CMB,-
08.22(화),18:30,NC,4,3,LG,잠실,,-
08.22(화),18:30,두산,10,6,SK,문학,SPO-T,-
08.22(화),18:30,한화,3,2,KT,수원,SS-T,-
08.22(화),18:30,롯데,7,3,KIA,광주,KN-T; G-CMB,-
08.22(화),18:30,삼성,5,11,넥센,고척,MS-T,-
08.23(수),18:30,NC,3,9,LG,잠실,,-
08.23(수),18:30,두산,4,1,SK,문학,SPO-T,-
08.23(수),18:30,한화,10,9,KT,수원,SS-T,-
08.23(수),18:30,롯데,7,5,KIA,광주,KN-T; G-CMB,-
08.23(수),18:30,삼성,1,5,넥센,고척,MS-T,-
08.24(목),18:30,KT,1,7,NC,마산,,-
08.24(목),18:30,넥센,5,6,두산,잠실,SPO-T,-
08.24(목),18:30,LG,0,11,롯데,사직,MS-T,-
08.24(목),18:30,SK,9,7,삼성,대구,SS-T,-
08.24(목),18:30,KIA,,,한화,대전,KN-T; D-CMB,우천취소
08.25(금),18:30,KT,5,7,NC,마산,,-
08.25(금),18:30,넥센,3,4,두산,잠실,SPO-T,-
08.25(금),18:30,LG,2,8,롯데,사직,MS-T,-
08.25(금),18:30,SK,7,5,삼성,대구,SS-T,-
08.25(금),18:30,KIA,3,6,한화,대전,KN-T; D-CMB,-
08.26(토),18:00,KIA,8,7,NC,마산,KN-T,-
08.26(토),18:00,LG,4,5,두산,잠실,MS-T,-
08.26(토),18:00,한화,1,2,SK,문학,SPO-T,-
08.26(토),18:00,넥센,1,6,롯데,사직,SS-T,-
08.26(토),18:00,KT,8,14,삼성,대구,,-
08.27(일),18:00,KIA,4,5,NC,마산,KN-T,-
08.27(일),18:00,LG,1,1,두산,잠실,MS-T,-
08.27(일),18:00,한화,2,4,SK,문학,SPO-T,-
