일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
05.01(목),18:30,우리,2,0,삼성,시민,,-
05.01(목),18:30,KIA,1,5,두산,잠실,,-
05.01(목),18:30,LG,5,8,롯데,사직,,-
05.01(목),18:30,SK,6,4,한화,대전,,-
05.03(토),13:05,두산,16,4,LG,잠실,,-
05.03(토),17:00,한화,5,13,삼성,시민,,-
05.03(토),17:00,롯데,2,4,KIA,무등,,-
05.03(토),17:00,우리,0,2,SK,문학,,-
05.04(일),14:00,한화,2,4,삼성,시민,,-
05.04(일),17:00,두산,8,3,LG,잠실,,-
05.04(일),17:00,우리,6,1,SK,문학,,-
05.05(월),13:10,두산,4,2,LG,잠실,,-
05.05(월),14:00,한화,8,1,삼성,시민,,-
05.05(월),14:00,롯데,6,3,KIA,무등,,-
05.05(월),14:00,우리,3,1,SK,문학,,-
05.06(화),18:30,두산,11,5,우리,목동,,-
05.06(화),18:30,삼성,6,4,KIA,무등,,-
05.06(화),18:30,SK,7,5,LG,잠실,,-
05.06(화),18:30,한화,4,3,롯데,사직,,-
05.07(수),18:30,두산,6,4,우리,목동,,-
05.07(수),18:30,삼성,1,6,KIA,무등,,-
05.07(수),18:30,SK,7,0,LG,잠실,,-
05.07(수),18:30,한화,6,3,롯데,사직,,-
05.08(목),18:30,두산,5,4,우리,목동,,-
05.08(목),18:30,삼성,0,3,KIA,무등,,-
05.08(목),18:30,SK,6,4,LG,잠실,,-
05.08(목),18:30,한화,5,3,롯데,사직,,-
05.09(금),18:30,KIA,12,1,우리,목동,,-
05.09(금),18:30,SK,8,5,삼성,시민,,-
05.09(금),18:30,롯데,9,2,두산,잠실,,-
05.09(금),18:30,LG,5,11,한화,대전,,-
05.10(토),17:00,KIA,4,1,우리,목동,,-
05.10(토),17:00,SK,4,7,삼성,시민,,-
05.10(토),17:00,롯데,5,3,두산,잠실,,-
05.10(토),17:00,LG,6,7,한화,대전,,-
05.11(일),14:00,SK,10,7,삼성,시민,,-
05.11(일),14:00,LG,6,1,한화,대전,,-
05.11(일),17:00,KIA,3,1,우리,목동,,-
05.11(일),17:00,롯데,1,4,두산,잠실,,-
05.13(화),18:30,삼성,1,4,롯데,마산,,-
05.13(화),18:30,우리,5,2,LG,잠실,,-
05.13(화),18:30,두산,5,3,SK,문학,,-
05.13(화),18:30,KIA,0,1,한화,대전,,-
05.14(수),18:30,삼성,5,3,롯데,마산,,-
05.14(수),18:30,우리,4,0,LG,잠실,,-
05.14(수),18:30,두산,8,3,SK,문학,,-
05.14(수),18:30,KIA,10,4,한화,대전,,-
05.15(목),18:30,삼성,4,3,롯데,마산,,-
05.15(목),18:30,우리,4,6,LG,잠실,,-
05.15(목),18:30,두산,5,1,SK,문학,,-
05.15(목),18:30,KIA,6,5,한화,대전,,-
05.16(금),18:30,LG,4,6,KIA,무등,,-
05.16(금),18:30,삼성,8,3,두산,잠실,,-
05.16(금),18:30,한화,3,7,SK,문학,,-
05.16(금),18:30,우리,7,6,롯데,사직,,-
05.17(토),14:00,우리,2,9,롯데,사직,,-
05.17(토),17:00,LG,5,0,KIA,무등,,-
05.17(토),17:00,삼성,4,11,두산,잠실,,-
05.17(토),17:00,한화,5,4,SK,문학,,-
05.18(일),17:00,LG,11,2,KIA,무등,,-
05.18(일),17:00,우리,2,1,롯데,사직,,-
05.20(화),18:30,LG,1,0,삼성,시민,,-
05.20(화),18:30,롯데,2,3,KIA,무등,,-
05.20(화),18:30,SK,10,9,우리,제주,,-
05.20(화),18:30,한화,5,2,두산,잠실,,-
05.21(수),18:30,LG,3,5,삼성,시민,,-
05.21(수),18:30,롯데,6,5,KIA,무등,,-
05.21(수),18:30,SK,7,3,우리,제주,,-
05.21(수),18:30,한화,2,6,두산,잠실,,-
05.22(목),18:30,LG,6,3,삼성,시민,,-
05.22(목),18:30,롯데,6,2,KIA,무등,,-
05.22(목),18:30,SK,6,1,우리,제주,,-
05.22(목),18:30,한화,3,4,두산,잠실,,-
05.23(금),18:30,KIA,2,4,LG,잠실,,-
05.23(금),18:30,롯데,9,3,SK,문학,,-
05.23(금),18:30,삼성,12,5,한화,대전,,-
05.24(토),17:00,KIA,15,13,LG,잠실,,-
05.24(토),17:00,롯데,7,3,SK,문학,,-
05.24(토),17:00,삼성,11,4,한화,대전,,-
05.25(일),14:00,두산,6,5,우리,제주,,-
05.25(일),14:00,삼성,1,5,한화,대전,,-
05.25(일),17:00,KIA,13,2,LG,잠실,,-
05.25(일),17:00,롯데,7,5,SK,문학,,-
05.27(화),18:30,SK,9,5,KIA,무등,,-
05.27(화),18:30,삼성,15,4,우리,목동,,-
05.27(화),18:30,두산,8,5,LG,잠실,,-
05.27(화),18:30,한화,7,8,롯데,사직,,-
05.28(수),18:30,삼성,4,1,우리,목동,,-
05.28(수),18:30,두산,5,7,LG,잠실,,-
05.29(목),18:30,SK,7,2,KIA,무등,,-
05.29(목),18:30,삼성,7,2,우리,목동,,-
05.29(목),18:30,두산,8,3,LG,잠실,,-
05.29(목),18:30,한화,4,1,롯데,사직,,-
05.30(금),18:30,롯데,4,8,우리,목동,,-
05.30(금),18:30,SK,6,7,삼성,시민,,-
05.30(금),18:30,KIA,10,3,두산,잠실,,-
05.30(금),18:30,LG,6,8,한화,청주,,-
05.31(토),17:00,롯데,11,2,우리,목동,,-
05.31(토),17:00,SK,0,3,삼성,시민,,-
05.31(토),17:00,KIA,8,3,두산,잠실,,-
05.31(토),17:00,LG,11,7,한화,청주,,-
