일자,시간,홈팀,홈점수,VS,원정점수,원정팀,구장,중계,비고
04.01(화),18:30,키움,,vs,,두산,잠실,SS-T,기타
04.01(화),18:30,SSG,,vs,,NC,창원,TVING,기타
04.01(화),18:30,LG,,vs,,KT,수원,SPO-T,기타
04.01(화),18:30,삼성,,vs,,KIA,광주,MS-T,기타
04.01(화),18:30,롯데,,vs,,한화,대전(신),SPO-2T,기타
04.02(수),18:30,키움,3,vs,5,두산,잠실,TVING,-
04.02(수),18:30,SSG,,vs,,NC,창원,KN-T,기타
04.02(수),18:30,LG,5,vs,9,KT,수원,SPO-T,-
04.02(수),18:30,삼성,4,vs,2,KIA,광주,MS-T,-
04.02(수),18:30,롯데,6,vs,2,한화,대전(신),SPO-2T,-
04.03(목),18:30,키움,1,vs,6,두산,잠실,TVING,-
04.03(목),18:30,SSG,,vs,,NC,창원,KN-T,기타
04.03(목),18:30,LG,5,vs,1,KT,수원,SPO-T,-
04.03(목),18:30,삼성,1,vs,3,KIA,광주,MS-T,-
04.03(목),18:30,롯데,4,vs,2,한화,대전(신),SPO-2T,-
04.04(금),18:30,KIA,2,vs,8,LG,잠실,KN-T,-
04.04(금),18:30,KT,2,vs,3,SSG,문학,SPO-T,-
04.04(금),18:30,두산,15,vs,3,롯데,사직,SPO-2T,-
04.04(금),18:30,한화,0,vs,5,삼성,대구,MS-T,-
04.04(금),18:30,NC,1,vs,5,키움,고척,TVING,-
04.05(토),14:00,KIA,,vs,,LG,잠실,S-T,우천취소
04.05(토),14:00,한화,7,vs,6,삼성,대구,K-2T,-
04.05(토),17:00,KT,,vs,,SSG,문학,MS-T; SPO-2T,우천취소
04.05(토),17:00,두산,1,vs,6,롯데,사직,KN-T,-
04.05(토),17:00,NC,7,vs,5,키움,고척,SPO-T; SS-T,-
04.06(일),14:00,KIA,1,vs,5,LG,잠실,M-T,-
04.06(일),14:00,KT,0,vs,1,SSG,문학,SPO-2T,-
04.06(일),14:00,두산,15,vs,12,롯데,사직,MS-T,-
04.06(일),14:00,한화,0,vs,10,삼성,대구,KN-T,-
04.06(일),14:00,NC,8,vs,2,키움,고척,SPO-T,-
04.08(화),18:30,한화,5,vs,6,두산,잠실,SS-T,-
04.08(화),18:30,KIA,5,vs,4,롯데,사직,SPO-T,-
04.08(화),18:30,SSG,3,vs,7,삼성,대구,TVING,-
04.08(화),18:30,NC,2,vs,3,KT,수원,MS-T,-
04.08(화),18:30,LG,13,vs,1,키움,고척,SPO-2T,-
04.09(수),18:30,한화,5,vs,4,두산,잠실,SS-T,-
04.09(수),18:30,KIA,3,vs,1,롯데,사직,SPO-T,-
04.09(수),18:30,SSG,3,vs,1,삼성,대구,KN-T,-
04.09(수),18:30,NC,1,vs,4,KT,수원,MS-T,-
04.09(수),18:30,LG,0,vs,4,키움,고척,SPO-2T,-
04.10(목),18:30,한화,7,vs,2,두산,잠실,SS-T,-
