"MATCH_SEQ_NO","MATCH_DE","BASE_YEAR","BASE_MT","BASE_DAY","GRP_NM","LEA_NM","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO","COLCT_DE","UPDT_DE"
1944,"20240326","2024","03","26",KBO,정규리그,NC,키움,창원,2839.00000,"20250716","20250716"
1945,"20230924","2023","09","24",KLEAGUE,K리그2,김포,충남아산,김포솔터축구장,2461.00000,"20250716","20250716"
1946,"20240327","2024","03","27",KBO,정규리그,SSG,한화,문학,11005.00000,"20250716","20250716"
1947,"20240327","2024","03","27",KBO,정규리그,KIA,롯데,광주,8672.00000,"20250716","20250716"
1948,"20230821","2023","08","21",KLEAGUE,K리그2,경남,천안,창원 축구센터,2445.00000,"20250716","20250716"
1949,"20240327","2024","03","27",KBO,정규리그,KT,두산,수원,5271.00000,"20250716","20250716"
1950,"20231202","2023","12","02",KLEAGUE,플레이오프,김포,경남,김포솔터축구장,2442.00000,"20250716","20250716"
1951,"20240327","2024","03","27",KBO,정규리그,LG,삼성,잠실,18041.00000,"20250716","20250716"
1952,"20230311","2023","03","11",KLEAGUE,K리그2,김포,경남,김포솔터축구장,2435.00000,"20250716","20250716"
1953,"20240327","2024","03","27",KBO,정규리그,NC,키움,창원,3681.00000,"20250716","20250716"
1954,"20230826","2023","08","26",KLEAGUE,K리그2,김포,부산,김포솔터축구장,2418.00000,"20250716","20250716"
1955,"20240328","2024","03","28",KBO,정규리그,SSG,한화,문학,11755.00000,"20250716","20250716"
1956,"20240328","2024","03","28",KBO,정규리그,KT,두산,수원,4304.00000,"20250716","20250716"
1957,"20230301","2023","03","01",KLEAGUE,K리그2,성남,안산,탄천 종합,2411.00000,"20250716","20250716"
1958,"20240328","2024","03","28",KBO,정규리그,LG,삼성,잠실,13420.00000,"20250716","20250716"
1959,"20230815","2023","08","15",KLEAGUE,K리그2,부산,전남,부산 구덕,2395.00000,"20250716","20250716"
1960,"20240329","2024","03","29",KBO,정규리그,두산,KIA,잠실,23750.00000,"20250716","20250716"
1961,"20230527","2023","05","27",KLEAGUE,K리그2,성남,안양,탄천 종합,2351.00000,"20250716","20250716"
1962,"20240329","2024","03","29",KBO,정규리그,한화,KT,한밭,12000.00000,"20250716","20250716"
1963,"20230611","2023","06","11",KLEAGUE,K리그2,충북청주,전남,청주 종합,2293.00000,"20250716","20250716"
1964,"20240329","2024","03","29",KBO,정규리그,키움,LG,고척,8465.00000,"20250716","20250716"
1965,"20240329","2024","03","29",KBO,정규리그,롯데,NC,사직,21554.00000,"20250716","20250716"
1966,"20230429","2023","04","29",KLEAGUE,K리그2,안양,충북청주,안양 종합,2284.00000,"20250716","20250716"
1967,"20240329","2024","03","29",KBO,정규리그,삼성,SSG,대구,21479.00000,"20250716","20250716"
1968,"20230805","2023","08","05",KLEAGUE,K리그2,부산,천안,부산 구덕,2279.00000,"20250716","20250716"
1969,"20240330","2024","03","30",KBO,정규리그,두산,KIA,잠실,23750.00000,"20250716","20250716"
1970,"20230718","2023","07","18",KLEAGUE,K리그2,안양,천안,안양 종합,2275.00000,"20250716","20250716"
1971,"20240330","2024","03","30",KBO,정규리그,한화,KT,한밭,12000.00000,"20250716","20250716"
1972,"20240330","2024","03","30",KBO,정규리그,키움,LG,고척,13462.00000,"20250716","20250716"
1973,"20230520","2023","05","20",KLEAGUE,K리그2,천안,충남아산,천안 종합,2238.00000,"20250716","20250716"
1974,"20240330","2024","03","30",KBO,정규리그,롯데,NC,사직,22754.00000,"20250716","20250716"
1975,"20230819","2023","08","19",KLEAGUE,K리그2,충북청주,김포,청주 종합,2219.00000,"20250716","20250716"
1976,"20240330","2024","03","30",KBO,정규리그,삼성,SSG,대구,24000.00000,"20250716","20250716"
1977,"20230730","2023","07","30",KLEAGUE,K리그2,부천,부산,부천 종합,2189.00000,"20250716","20250716"
1978,"20240331","2024","03","31",KBO,정규리그,두산,KIA,잠실,23750.00000,"20250716","20250716"
1979,"20231029","2023","10","29",KLEAGUE,K리그2,전남,충북청주,광양 전용,2180.00000,"20250716","20250716"
1980,"20240331","2024","03","31",KBO,정규리그,한화,KT,한밭,12000.00000,"20250716","20250716"
1981,"20240331","2024","03","31",KBO,정규리그,키움,LG,고척,11822.00000,"20250716","20250716"
1982,"20230930","2023","09","30",KLEAGUE,K리그2,안양,성남,안양 종합,2174.00000,"20250716","20250716"
1983,"20240331","2024","03","31",KBO,정규리그,롯데,NC,사직,21578.00000,"20250716","20250716"
1984,"20230729","2023","07","29",KLEAGUE,K리그2,성남,전남,탄천 종합,2169.00000,"20250716","20250716"
1985,"20240331","2024","03","31",KBO,정규리그,삼성,SSG,대구,22886.00000,"20250716","20250716"
1986,"20230401","2023","04","01",KLEAGUE,K리그2,안양,충남아산,안양 종합,2156.00000,"20250716","20250716"
1987,"20240402","2024","04","02",KBO,정규리그,KT,KIA,수원,9682.00000,"20250716","20250716"
1988,"20240402","2024","04","02",KBO,정규리그,한화,롯데,한밭,12000.00000,"20250716","20250716"
1989,"20230513","2023","05","13",KLEAGUE,K리그2,부산,부천,부산 아시아드,2150.00000,"20250716","20250716"
1990,"20240402","2024","04","02",KBO,정규리그,LG,NC,잠실,11845.00000,"20250716","20250716"
1991,"20230426","2023","04","26",KLEAGUE,K리그1,광주,제주,광주 전용,2143.00000,"20250716","20250716"
1992,"20240402","2024","04","02",KBO,정규리그,SSG,두산,문학,12379.00000,"20250716","20250716"
1993,"20230716","2023","07","16",KLEAGUE,K리그2,경남,전남,창원 축구센터,2137.00000,"20250716","20250716"
1994,"20240402","2024","04","02",KBO,정규리그,삼성,키움,대구,8541.00000,"20250716","20250716"
1995,"20230507","2023","05","07",KLEAGUE,K리그2,성남,김천,탄천 종합,2123.00000,"20250716","20250716"
1996,"20240403","2024","04","03",KBO,정규리그,KT,KIA,수원,8050.00000,"20250716","20250716"
1997,"20240403","2024","04","03",KBO,정규리그,LG,NC,잠실,10239.00000,"20250716","20250716"
